Date,Canals to Kuraz Sugar Plantations,Flow A,Flow B,Flow C,Gibe-III Evaporation,Gibe-III Release,Koysha Evaporation,Koysha Release,Main Channel,Outflow to Lake Turkana
2029-01-01,25.41,53.61,21.44,15.01,20.76,50.41,0.01,50.41,25.0,40.01
2029-01-02,25.41,53.61,21.44,15.01,20.76,50.41,0.05,50.41,25.0,40.01
2029-01-03,25.41,53.61,21.44,15.01,20.76,50.41,0.09,50.41,25.0,40.01
2029-01-04,25.41,53.61,21.44,15.01,20.755000000000003,50.41,0.125,50.41,25.0,40.01
2029-01-05,25.41,53.61,21.44,15.01,20.75,50.41,0.14500000000000002,50.41,25.0,40.01
2029-01-06,25.41,53.61,21.44,15.01,20.75,50.41,0.175,50.41,25.0,40.01
2029-01-07,25.41,53.61,21.44,15.01,20.75,50.41,0.195,50.41,25.0,40.01
2029-01-08,25.41,53.61,21.44,15.01,20.75,50.41,0.215,50.41,25.0,40.01
2029-01-09,25.41,53.61,21.44,15.01,20.75,50.41,0.235,50.41,25.0,40.01
2029-01-10,25.41,53.61,21.44,15.01,20.74,50.41,0.255,50.41,25.0,40.01
2029-01-11,25.41,53.61,21.44,15.01,20.74,50.41,0.275,50.41,25.0,40.01
2029-01-12,25.41,53.61,21.44,15.01,20.74,50.41,0.295,50.41,25.0,40.01
2029-01-13,25.41,53.61,21.44,15.01,20.74,50.41,0.305,50.41,25.0,40.01
2029-01-14,25.41,53.61,21.44,15.01,20.74,50.41,0.325,50.41,25.0,40.01
2029-01-15,25.41,53.61,21.44,15.01,20.735,50.41,0.345,50.41,25.0,40.01
2029-01-16,25.41,53.61,21.44,15.01,20.73,50.41,0.355,50.41,25.0,40.01
2029-01-17,25.42,53.61,21.44,15.01,20.73,50.42,0.375,50.42,25.0,40.01
2029-01-18,25.42,53.61,21.44,15.01,20.73,50.42,0.39,50.42,25.0,40.01
2029-01-19,25.42,53.61,21.44,15.01,20.73,50.42,0.405,50.42,25.0,40.01
2029-01-20,25.42,53.61,21.44,15.01,20.73,50.42,0.42,50.42,25.0,40.01
2029-01-21,25.42,53.61,21.44,15.01,20.72,50.42,0.435,50.42,25.0,40.01
2029-01-22,25.42,53.61,21.44,15.01,20.72,50.42,0.445,50.42,25.0,40.01
2029-01-23,25.42,53.61,21.44,15.01,20.72,50.42,0.46499999999999997,50.42,25.0,40.01
2029-01-24,25.42,53.61,21.44,15.01,20.72,50.42,0.475,50.42,25.0,40.01
2029-01-25,25.42,53.61,21.44,15.01,20.72,50.42,0.49,50.42,25.0,40.01
2029-01-26,25.42,53.61,21.44,15.01,20.715,50.42,0.505,50.42,25.0,40.01
2029-01-27,25.42,53.61,21.44,15.01,20.71,50.42,0.515,50.42,25.0,40.01
2029-01-28,25.42,53.61,21.44,15.01,20.71,50.42,0.53,50.42,25.0,40.01
2029-01-29,25.42,53.61,21.44,15.01,20.71,50.42,0.545,50.42,25.0,40.01
2029-01-30,25.42,53.61,21.44,15.01,20.71,50.42,0.555,50.42,25.0,40.01
2029-01-31,25.42,53.61,21.44,15.01,20.71,50.42,0.57,50.42,25.0,40.01
2029-02-01,25.73,47.81,19.12,13.39,21.195,50.72,0.595,50.72,24.99,38.38
2029-02-02,25.73,47.81,19.12,13.39,21.19,50.72,0.605,50.72,24.99,38.38
2029-02-03,25.73,47.81,19.12,13.39,21.19,50.72,0.615,50.72,24.99,38.38
2029-02-04,25.73,47.81,19.12,13.39,21.19,50.72,0.63,50.72,24.99,38.38
2029-02-05,25.73,47.81,19.12,13.39,21.185000000000002,50.724999999999994,0.64,50.724999999999994,24.994999999999997,38.385000000000005
2029-02-06,25.73,47.81,19.12,13.39,21.18,50.73,0.65,50.73,25.0,38.39
2029-02-07,25.73,47.81,19.12,13.39,21.18,50.73,0.66,50.73,25.0,38.39
2029-02-08,25.73,47.81,19.12,13.39,21.18,50.73,0.675,50.73,25.0,38.39
2029-02-09,25.73,47.81,19.12,13.39,21.175,50.73,0.685,50.73,25.0,38.39
2029-02-10,25.73,47.81,19.12,13.39,21.17,50.73,0.695,50.73,25.0,38.39
2029-02-11,25.74,47.81,19.12,13.39,21.17,50.73,0.705,50.73,24.99,38.38
2029-02-12,25.74,47.81,19.12,13.39,21.17,50.73,0.715,50.73,24.99,38.38
2029-02-13,25.74,47.81,19.12,13.39,21.16,50.73,0.725,50.73,24.99,38.38
2029-02-14,25.74,47.81,19.12,13.39,21.16,50.73,0.735,50.73,24.99,38.38
2029-02-15,25.74,47.81,19.12,13.39,21.16,50.73,0.745,50.73,24.99,38.38
2029-02-16,25.74,47.81,19.12,13.39,21.16,50.73,0.755,50.73,24.99,38.38
2029-02-17,25.74,47.81,19.12,13.39,21.15,50.73,0.765,50.73,24.99,38.38
2029-02-18,25.74,47.81,19.12,13.39,21.15,50.74,0.775,50.74,25.0,38.39
2029-02-19,25.74,47.81,19.12,13.39,21.15,50.74,0.785,50.74,25.0,38.39
2029-02-20,25.74,47.81,19.12,13.39,21.15,50.74,0.795,50.74,25.0,38.39
2029-02-21,25.74,47.81,19.12,13.39,21.14,50.74,0.805,50.74,25.0,38.39
2029-02-22,25.74,47.81,19.12,13.39,21.14,50.74,0.815,50.74,25.0,38.39
2029-02-23,25.75,47.81,19.12,13.39,21.14,50.74,0.825,50.74,24.99,38.38
2029-02-24,25.75,47.81,19.12,13.39,21.14,50.74,0.835,50.74,24.99,38.38
2029-02-25,25.75,47.81,19.12,13.39,21.13,50.74,0.845,50.74,24.99,38.38
2029-02-26,25.75,47.81,19.12,13.39,21.13,50.74,0.855,50.74,24.99,38.38
2029-02-27,25.75,47.81,19.12,13.39,21.13,50.74,0.865,50.74,24.99,38.38
2029-02-28,25.75,47.81,19.12,13.39,21.13,50.74,0.87,50.74,24.99,38.38
2029-03-01,26.21,40.7,16.28,11.4,38.605000000000004,51.2,1.61,51.2,24.99,36.39
2029-03-02,26.21,40.7,16.28,11.4,38.595,51.2,1.625,51.2,24.99,36.39
2029-03-03,26.21,40.7,16.28,11.4,38.585,51.2,1.64,51.2,24.99,36.39
2029-03-04,26.22,40.7,16.28,11.4,38.575,51.2,1.6549999999999998,51.2,24.98,36.38
2029-03-05,26.22,40.7,16.28,11.4,38.565,51.2,1.665,51.2,24.98,36.38
2029-03-06,26.22,40.7,16.28,11.4,38.555,51.205,1.68,51.205,24.985,36.385000000000005
2029-03-07,26.22,40.7,16.28,11.4,38.545,51.21,1.6949999999999998,51.21,24.99,36.39
2029-03-08,26.22,40.7,16.28,11.4,38.535,51.21,1.705,51.21,24.99,36.39
2029-03-09,26.22,40.7,16.28,11.4,38.53,51.21,1.72,51.21,24.99,36.39
2029-03-10,26.23,40.7,16.28,11.4,38.52,51.21,1.7349999999999999,51.21,24.98,36.38
2029-03-11,26.23,40.7,16.28,11.4,38.51,51.21,1.745,51.21,24.98,36.38
2029-03-12,26.23,40.7,16.28,11.4,38.5,51.21,1.76,51.21,24.98,36.38
2029-03-13,26.23,40.7,16.28,11.4,38.49,51.22,1.77,51.22,24.99,36.39
2029-03-14,26.23,40.7,16.28,11.4,38.48,51.22,1.7850000000000001,51.22,24.99,36.39
2029-03-15,26.23,40.7,16.28,11.4,38.47,51.22,1.795,51.22,24.99,36.39
2029-03-16,26.24,40.7,16.28,11.4,38.46,51.22,1.81,51.22,24.98,36.38
2029-03-17,26.24,40.7,16.28,11.4,38.45,51.22,1.8250000000000002,51.22,24.98,36.38
2029-03-18,26.24,40.7,16.28,11.4,38.44,51.22,1.835,51.22,24.98,36.38
2029-03-19,26.24,40.7,16.28,11.4,38.43,51.224999999999994,1.85,51.224999999999994,24.985,36.385000000000005
2029-03-20,26.24,40.7,16.28,11.4,38.42,51.23,1.86,51.23,24.99,36.39
