Date,Canals to Kuraz Sugar Plantations,Flow A,Flow B,Flow C,Gibe-III Evaporation,Gibe-III Release,Koysha Evaporation,Koysha Release,Main Channel,Outflow to Lake Turkana
2029-01-01,33.44,53.61,21.44,15.01,20.76,57.83,0.01,57.83,24.39,39.4
2029-01-02,33.44,53.61,21.44,15.01,20.76,57.83,0.05,57.83,24.39,39.4
2029-01-03,33.45,53.61,21.44,15.01,20.755000000000003,57.835,0.09,57.835,24.384999999999998,39.394999999999996
2029-01-04,33.45,53.61,21.44,15.01,20.75,57.84,0.125,57.84,24.39,39.4
2029-01-05,33.46,53.61,21.44,15.01,20.75,57.84,0.14500000000000002,57.84,24.38,39.39
2029-01-06,33.46,53.61,21.44,15.01,20.75,57.85,0.175,57.85,24.39,39.4
2029-01-07,33.47,53.61,21.44,15.01,20.744999999999997,57.85,0.195,57.85,24.38,39.39
2029-01-08,33.474999999999994,53.61,21.44,15.01,20.74,57.855000000000004,0.215,57.855000000000004,24.38,39.39
2029-01-09,33.48,53.61,21.44,15.01,20.74,57.86,0.235,57.86,24.38,39.39
2029-01-10,33.48,53.61,21.44,15.01,20.74,57.86,0.255,57.86,24.38,39.39
2029-01-11,33.49,53.61,21.44,15.01,20.73,57.87,0.275,57.87,24.38,39.39
2029-01-12,33.49,53.61,21.44,15.01,20.73,57.87,0.295,57.87,24.38,39.39
2029-01-13,33.495000000000005,53.61,21.44,15.01,20.73,57.875,0.305,57.875,24.38,39.39
2029-01-14,33.5,53.61,21.44,15.01,20.73,57.88,0.325,57.88,24.38,39.39
2029-01-15,33.5,53.61,21.44,15.01,20.72,57.88,0.345,57.88,24.38,39.39
2029-01-16,33.51,53.61,21.44,15.01,20.72,57.89,0.355,57.89,24.38,39.39
2029-01-17,33.51,53.61,21.44,15.01,20.72,57.89,0.375,57.89,24.38,39.39
2029-01-18,33.515,53.61,21.44,15.01,20.72,57.894999999999996,0.39,57.894999999999996,24.38,39.39
2029-01-19,33.52,53.61,21.44,15.01,20.71,57.9,0.405,57.9,24.38,39.39
2029-01-20,33.53,53.61,21.44,15.01,20.71,57.9,0.42,57.9,24.37,39.38
2029-01-21,33.53,53.61,21.44,15.01,20.71,57.91,0.435,57.91,24.38,39.39
2029-01-22,33.54,53.61,21.44,15.01,20.705,57.91,0.445,57.91,24.37,39.38
2029-01-23,33.54,53.61,21.44,15.01,20.7,57.915,0.46499999999999997,57.915,24.375,39.385000000000005
2029-01-24,33.55,53.61,21.44,15.01,20.7,57.92,0.475,57.92,24.37,39.38
2029-01-25,33.55,53.61,21.44,15.01,20.7,57.92,0.49,57.92,24.37,39.38
2029-01-26,33.56,53.61,21.44,15.01,20.695,57.93,0.505,57.93,24.37,39.38
2029-01-27,33.56,53.61,21.44,15.01,20.69,57.93,0.515,57.93,24.37,39.38
2029-01-28,33.565,53.61,21.44,15.01,20.69,57.935,0.53,57.935,24.37,39.38
