Date,Canals to Kuraz Sugar Plantations
2039-01-01,51.66
2039-01-02,51.655
2039-01-03,51.655
2039-01-04,51.655
2039-01-05,51.655
2039-01-06,51.665
2039-01-07,51.665
2039-01-08,51.665
2039-01-09,51.66
2039-01-10,51.665
2039-01-11,51.665
2039-01-12,51.665
2039-01-13,51.665
2039-01-14,51.665
2039-01-15,51.665
2039-01-16,51.675
2039-01-17,51.67
2039-01-18,51.675
2039-01-19,51.675
2039-01-20,51.675
2039-01-21,51.675
2039-01-22,51.68
2039-01-23,51.675
2039-01-24,51.675
2039-01-25,51.675
2039-01-26,51.675
2039-01-27,51.685
2039-01-28,51.685
2039-01-29,51.685
2039-01-30,51.685
2039-01-31,51.685
2039-02-01,52.34
2039-02-02,52.34
2039-02-03,52.34
2039-02-04,52.34
2039-02-05,52.35
2039-02-06,52.35
2039-02-07,52.35
2039-02-08,52.35
2039-02-09,52.35
2039-02-10,52.35
2039-02-11,52.355000000000004
2039-02-12,52.35
2039-02-13,52.35
2039-02-14,52.355000000000004
2039-02-15,52.35
2039-02-16,52.35
2039-02-17,52.37
2039-02-18,52.364999999999995
2039-02-19,52.36
2039-02-20,52.36
2039-02-21,52.36
2039-02-22,52.364999999999995
2039-02-23,52.38
2039-02-24,52.38
2039-02-25,52.38
2039-02-26,52.37
2039-02-27,52.37
2039-02-28,52.37
2039-03-01,53.185
2039-03-02,53.19
2039-03-03,53.19
2039-03-04,53.2
2039-03-05,53.2
2039-03-06,53.2
2039-03-07,53.2
2039-03-08,53.2
2039-03-09,53.215
2039-03-10,53.21
2039-03-11,53.22
2039-03-12,53.224999999999994
2039-03-13,53.22
2039-03-14,53.24
2039-03-15,53.23
2039-03-16,53.239999999999995
2039-03-17,53.245000000000005
2039-03-18,53.25
2039-03-19,53.26
2039-03-20,53.254999999999995
2039-03-21,53.27
2039-03-22,53.27
2039-03-23,53.269999999999996
2039-03-24,53.28
2039-03-25,53.275000000000006
2039-03-26,53.28
2039-03-27,53.28
2039-03-28,53.285
2039-03-29,53.29
2039-03-30,53.29
2039-03-31,53.3
2039-04-01,54.24
2039-04-02,54.25
2039-04-03,54.25
2039-04-04,54.26
2039-04-05,54.265
2039-04-06,54.27
2039-04-07,54.27
2039-04-08,54.27
2039-04-09,54.285
2039-04-10,54.28
2039-04-11,54.295
2039-04-12,54.3
2039-04-13,54.305
2039-04-14,54.32
2039-04-15,54.32
2039-04-16,54.33
2039-04-17,54.33
2039-04-18,54.33
2039-04-19,54.34
2039-04-20,54.34
2039-04-21,54.35
2039-04-22,54.355000000000004
2039-04-23,54.36
2039-04-24,54.364999999999995
2039-04-25,54.37
2039-04-26,54.375
2039-04-27,54.38
2039-04-28,54.38
2039-04-29,54.38
2039-04-30,54.39
2039-05-01,55.42
2039-05-02,55.44
2039-05-03,55.43
2039-05-04,55.45
2039-05-05,55.45
2039-05-06,55.46
2039-05-07,55.46
2039-05-08,55.46
2039-05-09,55.46
2039-05-10,55.46
2039-05-11,55.47
2039-05-12,55.47
2039-05-13,55.474999999999994
2039-05-14,55.48
2039-05-15,55.48
2039-05-16,55.49
2039-05-17,55.49
2039-05-18,55.49
2039-05-19,55.5
2039-05-20,55.5
2039-05-21,55.504999999999995
2039-05-22,55.5
2039-05-23,55.510000000000005
2039-05-24,55.51
2039-05-25,55.519999999999996
2039-05-26,55.525000000000006
2039-05-27,55.53
2039-05-28,55.54
2039-05-29,55.54
2039-05-30,55.55
2039-05-31,55.55
2039-06-01,56.56
2039-06-02,56.55
