Date,Canals to Kuraz Sugar Plantations
2029-01-01,57.82
2029-01-02,57.82
2029-01-03,57.835
2029-01-04,57.83
2029-01-05,57.85
2029-01-06,57.84
2029-01-07,57.86
2029-01-08,57.86
2029-01-09,57.86
2029-01-10,57.86
2029-01-11,57.87
2029-01-12,57.87
2029-01-13,57.875
2029-01-14,57.88
2029-01-15,57.88
2029-01-16,57.89
2029-01-17,57.89
2029-01-18,57.89
2029-01-19,57.89
2029-01-20,57.91
2029-01-21,57.9
2029-01-22,57.92
2029-01-23,57.915
2029-01-24,57.92
2029-01-25,57.92
2029-01-26,57.93
2029-01-27,57.93
2029-01-28,57.935
2029-01-29,57.94
2029-01-30,57.94
2029-01-31,57.95
2029-02-01,58.9
2029-02-02,58.9
2029-02-03,58.91
2029-02-04,58.91
2029-02-05,58.93
2029-02-06,58.93
2029-02-07,58.93
2029-02-08,58.94
2029-02-09,58.94
2029-02-10,58.95
2029-02-11,58.95
2029-02-12,58.96
2029-02-13,58.96
2029-02-14,58.96
2029-02-15,58.97
2029-02-16,58.980000000000004
2029-02-17,58.99
2029-02-18,58.99
2029-02-19,58.99
2029-02-20,59.0
2029-02-21,59.0
2029-02-22,59.004999999999995
2029-02-23,59.01
2029-02-24,59.01
2029-02-25,59.01
2029-02-26,59.025000000000006
2029-02-27,59.03
2029-02-28,59.04
2029-03-01,59.585
2029-03-02,59.59
2029-03-03,59.6
2029-03-04,59.6
2029-03-05,59.614999999999995
2029-03-06,59.63
2029-03-07,59.63
2029-03-08,59.64
2029-03-09,59.644999999999996
2029-03-10,59.65
2029-03-11,59.65
2029-03-12,59.66
2029-03-13,59.675
2029-03-14,59.68
2029-03-15,59.69
2029-03-16,59.695
2029-03-17,59.705
2029-03-18,59.71
2029-03-19,59.71
2029-03-20,59.735
2029-03-21,59.74
2029-03-22,59.74
2029-03-23,59.75
2029-03-24,59.754999999999995
2029-03-25,59.76
2029-03-26,59.769999999999996
2029-03-27,59.785
2029-03-28,59.79
2029-03-29,59.79
2029-03-30,59.8
2029-03-31,59.805
2029-04-01,59.89
2029-04-02,59.894999999999996
2029-04-03,59.905
2029-04-04,59.91
2029-04-05,59.92
2029-04-06,59.93
2029-04-07,59.94
2029-04-08,59.95
2029-04-09,59.955
2029-04-10,59.96
2029-04-11,59.965
2029-04-12,59.99
2029-04-13,59.99
2029-04-14,60.0
2029-04-15,60.01
2029-04-16,60.01
2029-04-17,60.025000000000006
2029-04-18,60.04
2029-04-19,60.045
2029-04-20,60.05
2029-04-21,60.06
2029-04-22,60.06
2029-04-23,60.08
2029-04-24,60.09
2029-04-25,60.095
2029-04-26,60.105000000000004
2029-04-27,60.11
2029-04-28,60.120000000000005
2029-04-29,60.129999999999995
2029-04-30,60.14
2029-05-01,59.76
2029-05-02,59.769999999999996
2029-05-03,59.78
2029-05-04,59.79
2029-05-05,59.795
2029-05-06,59.8
2029-05-07,59.81
2029-05-08,59.81
2029-05-09,59.835
2029-05-10,59.84
2029-05-11,59.84
2029-05-12,59.85
2029-05-13,59.86
2029-05-14,59.86
2029-05-15,59.864999999999995
2029-05-16,59.89
2029-05-17,59.89
2029-05-18,59.894999999999996
2029-05-19,59.905
2029-05-20,59.91
2029-05-21,59.92
2029-05-22,59.93
2029-05-23,59.94
2029-05-24,59.94
2029-05-25,59.95
2029-05-26,59.96
2029-05-27,59.96
2029-05-28,59.965
2029-05-29,59.99
2029-05-30,59.99
2029-05-31,59.995000000000005
2029-06-01,59.27
2029-06-02,59.27
2029-06-03,59.27
2029-06-04,59.28
2029-06-05,59.28
2029-06-06,59.28
2029-06-07,59.28
2029-06-08,59.28
2029-06-09,59.29
2029-06-10,59.295
2029-06-11,59.29
2029-06-12,59.31
2029-06-13,59.305
