Date,Gibe-III,Koysha
2033-01-01,207.83696,178.4996
2033-01-02,207.82781,178.49961
2033-01-03,207.81866,178.49963
2033-01-04,207.80951,178.49964
2033-01-05,207.80035,178.49966
2033-01-06,207.7912,178.49968
2033-01-07,207.78205,178.49969
2033-01-08,207.7729,178.49971
2033-01-09,207.76374,178.49973
2033-01-10,207.75459,178.49974
2033-01-11,207.74544,178.49935
2033-01-12,207.73629,178.49937
2033-01-13,207.72713,178.49938
2033-01-14,207.71797,178.4994
2033-01-15,207.70882,178.49942
2033-01-16,207.69966,178.49943
2033-01-17,207.69051,178.49945
2033-01-18,207.68135,178.49946
2033-01-19,207.6722,178.49948
2033-01-20,207.66305,178.4995
2033-01-21,207.65389,178.49951
2033-01-22,207.64474,178.49953
2033-01-23,207.63558,178.49955
2033-01-24,207.62641,178.49956
2033-01-25,207.61726,178.49958
2033-01-26,207.6081,178.4996
2033-01-27,207.59894,178.49961
2033-01-28,207.58978,178.49963
2033-01-29,207.58063,178.49964
2033-01-30,207.57147,178.49966
2033-01-31,207.56231,178.49968
2033-02-01,207.55315,178.49969
2033-02-02,207.54058,178.49959
2033-02-03,207.52802,178.49948
2033-02-04,207.51547,178.49937
2033-02-05,207.50291,178.49968
2033-02-06,207.49034,178.49957
2033-02-07,207.47778,178.49946
2033-02-08,207.46521,178.49936
2033-02-09,207.45264,178.49966
2033-02-10,207.44008,178.49955
2033-02-11,207.42752,178.49945
2033-02-12,207.41495,178.49975
2033-02-13,207.40237,178.49964
2033-02-14,207.3898,178.49954
2033-02-15,207.37723,178.49943
2033-02-16,207.36465,178.49973
2033-02-17,207.35208,178.49963
2033-02-18,207.33951,178.49952
2033-02-19,207.32694,178.49942
2033-02-20,207.31435,178.49972
2033-02-21,207.30177,178.49961
2033-02-22,207.28919,178.49951
2033-02-23,207.27662,178.4994
2033-02-24,207.26404,178.4997
2033-02-25,207.25146,178.4996
2033-02-26,207.23887,178.49949
2033-02-27,207.22629,178.49938
2033-02-28,207.2137,178.49969
2033-03-01,207.20112,178.49958
2033-03-02,207.17608,178.4916
2033-03-03,207.15104,178.48361
2033-03-04,207.126,178.47563
2033-03-05,207.10096,178.46765
2033-03-06,207.0759,178.45968
2033-03-07,207.05085,178.4517
2033-03-08,207.0258,178.44373
2033-03-09,207.00073,178.43575
2033-03-10,206.97567,178.42778
2033-03-11,206.95061,178.41981
2033-03-12,206.92554,178.41183
2033-03-13,206.90046,178.40386
2033-03-14,206.87539,178.3959
2033-03-15,206.85031,178.38794
2033-03-16,206.82522,178.37997
2033-03-17,206.80014,178.372
2033-03-18,206.77505,178.36404
2033-03-19,206.74995,178.35608
2033-03-20,206.72485,178.34812
2033-03-21,206.69976,178.34016
2033-03-22,206.67465,178.3322
2033-03-23,206.64954,178.32424
2033-03-24,206.62443,178.31629
2033-03-25,206.59931,178.30833
2033-03-26,206.5742,178.30037
2033-03-27,206.54908,178.29242
2033-03-28,206.52395,178.28448
2033-03-29,206.49882,178.27653
2033-03-30,206.4737,178.26858
2033-03-31,206.44856,178.26063
2033-04-01,206.42342,178.25268
2033-04-02,206.39457,178.23693
2033-04-03,206.36572,178.22118
2033-04-04,206.33686,178.20543
2033-04-05,206.308,178.18968
2033-04-06,206.27913,178.17394
2033-04-07,206.25027,178.15821
2033-04-08,206.22141,178.14247
2033-04-09,206.19254,178.12674
2033-04-10,206.16367,178.11102
2033-04-11,206.13481,178.09529
2033-04-12,206.10593,178.07957
2033-04-13,206.07706,178.06386
2033-04-14,206.04818,178.04815
2033-04-15,206.0193,178.03244
2033-04-16,205.99042,178.01673
2033-04-17,205.96154,178.00103
2033-04-18,205.93265,177.98533
2033-04-19,205.90377,177.96964
2033-04-20,205.87488,177.95394
2033-04-21,205.84599,177.93826
2033-04-22,205.8171,177.92258
2033-04-23,205.7882,177.90689
2033-04-24,205.7593,177.89122
2033-04-25,205.73041,177.87555
2033-04-26,205.7015,177.85988
2033-04-27,205.67261,177.84421
2033-04-28,205.6437,177.82855
2033-04-29,205.61479,177.8129
2033-04-30,205.58589,177.79724
2033-05-01,205.55697,177.78159
2033-05-02,205.53882,177.7718
2033-05-03,205.52067,177.76202
2033-05-04,205.50252,177.75223
2033-05-05,205.48437,177.74245
2033-05-06,205.46623,177.73268
2033-05-07,205.44808,177.72291
2033-05-08,205.42994,177.71314
2033-05-09,205.4118,177.70338
2033-05-10,205.39365,177.69362
2033-05-11,205.37551,177.68386
2033-05-12,205.35737,177.67411
2033-05-13,205.33924,177.66436
2033-05-14,205.3211,177.65461
2033-05-15,205.30295,177.64487
2033-05-16,205.28482,177.63513
2033-05-17,205.26669,177.62539
2033-05-18,205.24856,177.61566
2033-05-19,205.23042,177.60593
2033-05-20,205.21229,177.5962
2033-05-21,205.19416,177.58649
2033-05-22,205.17604,177.57676
2033-05-23,205.15791,177.56705
2033-05-24,205.13978,177.55733
2033-05-25,205.12166,177.54763
2033-05-26,205.10354,177.53792
2033-05-27,205.08542,177.52822
2033-05-28,205.06729,177.51852
2033-05-29,205.04917,177.50882
2033-05-30,205.03105,177.49913
2033-05-31,205.01294,177.48944
2033-06-01,204.99482,177.47976
2033-06-02,205.03312,177.50982
2033-06-03,205.0714,177.53987
2033-06-04,205.10966,177.56988
2033-06-05,205.1479,177.59988
2033-06-06,205.18612,177.62985
2033-06-07,205.2243,177.6598
2033-06-08,205.26248,177.68973
2033-06-09,205.30062,177.71963
2033-06-10,205.33875,177.74951
2033-06-11,205.37684,177.77936
2033-06-12,205.41493,177.8092
2033-06-13,205.45298,177.83901
2033-06-14,205.49102,177.8688
2033-06-15,205.52902,177.89856
2033-06-16,205.56702,177.92831
2033-06-17,205.60498,177.95803
2033-06-18,205.64293,177.98773
2033-06-19,205.68085,178.0174
2033-06-20,205.71876,178.04706
2033-06-21,205.75664,178.07669
2033-06-22,205.79449,178.1063
2033-06-23,205.83233,178.13588
2033-06-24,205.87014,178.16545
2033-06-25,205.90794,178.19499
2033-06-26,205.9457,178.22451
