Date,Gibe-III,Koysha
2029-01-01,208.07573,0.0
2029-01-02,208.06711,6.97615
2029-01-03,208.0585,13.93929
2029-01-04,208.04988,20.8894
2029-01-05,208.04126,23.51443
2029-01-06,208.03264,24.71991
2029-01-07,208.02402,25.9237
2029-01-08,208.0154,26.98414
2029-01-09,208.00678,27.89545
2029-01-10,207.99816,28.80591
2029-01-11,207.98955,29.68054
2029-01-12,207.98094,30.42743
2029-01-13,207.97232,31.17361
2029-01-14,207.96369,31.91943
2029-01-15,207.95507,32.5665
2029-01-16,207.94645,33.20585
2029-01-17,207.93782,33.8449
2029-01-18,207.9292,34.43556
2029-01-19,207.92058,34.99897
2029-01-20,207.91196,35.56198
2029-01-21,207.90334,36.1055
2029-01-22,207.89473,36.61161
2029-01-23,207.88611,37.11749
2029-01-24,207.87748,37.62146
2029-01-25,207.86886,38.08265
2029-01-26,207.86024,38.54351
2029-01-27,207.85162,39.00405
2029-01-28,207.843,39.43888
2029-01-29,207.83438,39.86337
2029-01-30,207.82576,40.28755
2029-01-31,207.81715,40.69991
2029-02-01,207.80852,41.09422
2029-02-02,207.79664,41.44422
2029-02-03,207.78475,41.79404
2029-02-04,207.77286,42.12556
2029-02-05,207.76098,42.45292
2029-02-06,207.7491,42.78011
2029-02-07,207.73722,43.10587
2029-02-08,207.72532,43.41387
2029-02-09,207.71342,43.72163
2029-02-10,207.70153,44.02921
2029-02-11,207.68964,44.33172
2029-02-12,207.67775,44.62266
2029-02-13,207.66586,44.91343
2029-02-14,207.65397,45.20405
2029-02-15,207.64208,45.48696
2029-02-16,207.63018,45.76296
2029-02-17,207.61829,46.03881
2029-02-18,207.6064,46.31451
2029-02-19,207.5945,46.58061
2029-02-20,207.58261,46.84335
2029-02-21,207.57071,47.10595
2029-02-22,207.55881,47.36841
2029-02-23,207.54691,47.61991
2029-02-24,207.53501,47.87079
2029-02-25,207.52311,48.12154
2029-02-26,207.51122,48.37051
2029-02-27,207.49932,48.61084
2029-02-28,207.48742,48.85104
2029-03-01,207.47551,49.09117
2029-03-02,207.45128,49.28273
2029-03-03,207.42706,49.46819
2029-03-04,207.40282,49.65345
2029-03-05,207.37858,49.83853
2029-03-06,207.35434,50.02349
2029-03-07,207.33011,50.20522
2029-03-08,207.30586,50.38311
2029-03-09,207.28161,50.56088
2029-03-10,207.25737,50.73847
2029-03-11,207.23312,50.91588
2029-03-12,207.20887,51.08897
2029-03-13,207.18462,51.25999
2029-03-14,207.16036,51.43088
2029-03-15,207.1361,51.6016
2029-03-16,207.11185,51.77221
2029-03-17,207.08758,51.93761
2029-03-18,207.06332,52.10229
2029-03-19,207.03905,52.26686
2029-03-20,207.01478,52.43125
2029-03-21,206.99051,52.59506
2029-03-22,206.96623,52.75404
2029-03-23,206.94197,52.91292
2029-03-24,206.91768,53.07163
2029-03-25,206.8934,53.23023
2029-03-26,206.86913,53.38741
2029-03-27,206.84484,53.54101
2029-03-28,206.82055,53.69444
2029-03-29,206.79627,53.84777
2029-03-30,206.77198,54.00094
2029-03-31,206.74769,54.15218
2029-04-01,206.72339,54.30076
2029-04-02,206.69543,54.51097
2029-04-03,206.66747,54.72091
2029-04-04,206.63951,54.92732
2029-04-05,206.61155,55.13089
2029-04-06,206.58358,55.33421
2029-04-07,206.55563,55.5367
2029-04-08,206.52766,55.73412
2029-04-09,206.49969,55.93124
2029-04-10,206.47174,56.12811
2029-04-11,206.44377,56.32155
2029-04-12,206.4158,56.5129
2029-04-13,206.38784,56.704
2029-04-14,206.35987,56.89415
2029-04-15,206.3319,57.08006
2029-04-16,206.30394,57.26574
2029-04-17,206.27597,57.45118
2029-04-18,206.24799,57.63354
2029-04-19,206.22003,57.81414
2029-04-20,206.19205,57.99446
2029-04-21,206.16408,58.17402
2029-04-22,206.13612,58.34978
2029-04-23,206.10814,58.52531
2029-04-24,206.08017,58.70063
2029-04-25,206.05219,58.8734
2029-04-26,206.02422,59.0444
2029-04-27,205.99625,59.21518
2029-04-28,205.96828,59.38558
2029-04-29,205.94029,59.55227
2029-04-30,205.91232,59.71876
2029-05-01,205.88435,59.88503
2029-05-02,205.8671,60.14406
2029-05-03,205.84986,60.40097
2029-05-04,205.83263,60.65543
2029-05-05,205.81539,60.90651
2029-05-06,205.79815,61.15649
2029-05-07,205.78091,61.40193
2029-05-08,205.76368,61.64705
2029-05-09,205.74645,61.88783
2029-05-10,205.72922,62.12765
2029-05-11,205.71198,62.36459
2029-05-12,205.69475,62.59936
2029-05-13,205.67753,62.8326
2029-05-14,205.66031,63.06245
2029-05-15,205.64308,63.29199
