Date,Gibe-III,Koysha
2029-01-01,177480368.0,0.0
2029-01-02,177464611.0,330733.0
2029-01-03,177448854.0,660848.0
2029-01-04,177433094.0,990346.0
2029-01-05,177417336.0,1221311.0
2029-01-06,177401582.0,1419868.0
2029-01-07,177385827.0,1618145.0
2029-01-08,177370073.0,1801255.0
2029-01-09,177354319.0,1968590.0
2029-01-10,177338565.0,2135766.0
2029-01-11,177322819.0,2299081.0
2029-01-12,177307074.0,2448792.0
2029-01-13,177291327.0,2598361.0
2029-01-14,177275567.0,2747860.0
2029-01-15,177259807.0,2886442.0
2029-01-16,177244051.0,3024112.0
2029-01-17,177228300.0,3161716.0
2029-01-18,177212548.0,3293722.0
2029-01-19,177196797.0,3422564.0
2029-01-20,177181046.0,3551314.0
2029-01-21,177165299.0,3677701.0
2029-01-22,177149556.0,3799592.0
2029-01-23,177133808.0,3921425.0
2029-01-24,177118059.0,4042966.0
2029-01-25,177102311.0,4159198.0
2029-01-26,177086562.0,4275347.0
2029-01-27,177070823.0,4391412.0
2029-01-28,177055083.0,4504168.0
2029-01-29,177039344.0,4615561.0
2029-01-30,177023604.0,4726874.0
2029-01-31,177007865.0,4836603.0
2029-02-01,176992124.0,4943912.0
2029-02-02,176970422.0,5039164.0
2029-02-03,176948724.0,5134364.0
2029-02-04,176927026.0,5227056.0
2029-02-05,176905328.0,5319144.0
2029-02-06,176883639.0,5411183.0
2029-02-07,176861946.0,5502998.0
2029-02-08,176840240.0,5592312.0
2029-02-09,176818533.0,5681553.0
2029-02-10,176796836.0,5770746.0
2029-02-11,176775139.0,5859188.0
2029-02-12,176753442.0,5945949.0
2029-02-13,176731744.0,6032664.0
2029-02-14,176710053.0,6119331.0
2029-02-15,176688356.0,6204845.0
2029-02-16,176666660.0,6289322.0
2029-02-17,176644963.0,6373754.0
2029-02-18,176623275.0,6458140.0
2029-02-19,176601583.0,6541063.0
2029-02-20,176579886.0,6623461.0
2029-02-21,176558188.0,6705813.0
2029-02-22,176536492.0,6788121.0
2029-02-23,176514796.0,6868729.0
2029-02-24,176493100.0,6949220.0
2029-02-25,176471409.0,7029666.0
2029-02-26,176449722.0,7109814.0
2029-02-27,176428034.0,7188589.0
2029-02-28,176406339.0,7267322.0
2029-03-01,176384648.0,7346032.0
2029-03-02,176340490.0,7409068.0
2029-03-03,176296340.0,7471100.0
2029-03-04,176252183.0,7533070.0
2029-03-05,176208031.0,7594976.0
2029-03-06,176163887.0,7656839.0
2029-03-07,176119744.0,7718148.0
2029-03-08,176075592.0,7778802.0
2029-03-09,176031449.0,7839415.0
2029-03-10,175987312.0,7899965.0
2029-03-11,175943170.0,7960453.0
2029-03-12,175899037.0,8020210.0
2029-03-13,175854908.0,8079590.0
2029-03-14,175810769.0,8138930.0
2029-03-15,175766637.0,8198208.0
2029-03-16,175722514.0,8257446.0
2029-03-17,175678389.0,8315781.0
2029-03-18,175634262.0,8373962.0
2029-03-19,175590140.0,8432104.0
2029-03-20,175546016.0,8490184.0
2029-03-21,175501890.0,8548145.0
2029-03-22,175457773.0,8605252.0
2029-03-23,175413665.0,8662320.0
2029-03-24,175369549.0,8719329.0
2029-03-25,175325437.0,8776298.0
2029-03-26,175281330.0,8832992.0
2029-03-27,175237219.0,8889046.0
2029-03-28,175193112.0,8945040.0
2029-03-29,175149015.0,9000995.0
2029-03-30,175104919.0,9056892.0
2029-03-31,175060818.0,9112431.0
2029-04-01,175016721.0,9167482.0
2029-04-02,174965979.0,9245368.0
2029-04-03,174915240.0,9323156.0
2029-04-04,174864515.0,9400255.0
2029-04-05,174813795.0,9476791.0
2029-04-06,174763072.0,9553231.0
2029-04-07,174712368.0,9629472.0
2029-04-08,174661661.0,9704739.0
2029-04-09,174610964.0,9779894.0
2029-04-10,174560284.0,9854954.0
2029-04-11,174509600.0,9929339.0
2029-04-12,174458919.0,10003282.0
2029-04-13,174408256.0,10077133.0
2029-04-14,174357590.0,10150759.0
2029-04-15,174306934.0,10223543.0
2029-04-16,174256296.0,10296235.0
2029-04-17,174205653.0,10368835.0
2029-04-18,174155013.0,10440811.0
2029-04-19,174104389.0,10512410.0
2029-04-20,174053766.0,10583900.0
2029-04-21,174003151.0,10655196.0
2029-04-22,173952550.0,10725726.0
2029-04-23,173901943.0,10796167.0
2029-04-24,173851349.0,10866518.0
2029-04-25,173800762.0,10936337.0
2029-04-26,173750179.0,11005769.0
2029-04-27,173699615.0,11075112.0
2029-04-28,173649051.0,11144333.0
2029-04-29,173598484.0,11212792.0
2029-04-30,173547936.0,11281163.0
2029-05-01,173497390.0,11349446.0
2029-05-02,173466240.0,11456615.0
2029-05-03,173435099.0,11563292.0
2029-05-04,173403966.0,11669414.0
2029-05-05,173372836.0,11774792.0
2029-05-06,173341709.0,11879862.0
2029-05-07,173310583.0,11983952.0
2029-05-08,173279470.0,12087906.0
2029-05-09,173248366.0,12190913.0
2029-05-10,173217260.0,12293655.0
2029-05-11,173186157.0,12395740.0
2029-05-12,173155063.0,12497310.0
2029-05-13,173123974.0,12598496.0
2029-05-14,173092898.0,12698897.0
2029-05-15,173061812.0,12799166.0
2029-05-16,173030737.0,12898475.0
2029-05-17,172999667.0,12997676.0
2029-05-18,172968606.0,13096195.0
2029-05-19,172937552.0,13194330.0
2029-05-20,172906497.0,13292044.0
2029-05-21,172875447.0,13389141.0
2029-05-22,172844410.0,13486068.0
2029-05-23,172813372.0,13582157.0
2029-05-24,172782339.0,13678118.0
