Date,Gibe-III,Koysha
2039-01-01,177037318.0,118999410.0
2039-01-02,177020892.0,118999434.0
2039-01-03,177004466.0,118999457.0
2039-01-04,176988039.0,118999481.0
2039-01-05,176971616.0,118999504.0
2039-01-06,176955193.0,118999527.0
2039-01-07,176938771.0,118999551.0
2039-01-08,176922348.0,118999574.0
2039-01-09,176905925.0,118999598.0
2039-01-10,176889503.0,118999621.0
2039-01-11,176873080.0,118999644.0
2039-01-12,176856655.0,118999668.0
2039-01-13,176840226.0,118999691.0
2039-01-14,176823802.0,118999714.0
2039-01-15,176807382.0,118999738.0
2039-01-16,176790962.0,118999761.0
2039-01-17,176774542.0,118999784.0
2039-01-18,176758122.0,118999808.0
2039-01-19,176741701.0,118999831.0
2039-01-20,176725290.0,118999270.0
2039-01-21,176708876.0,118999294.0
2039-01-22,176692458.0,118999317.0
2039-01-23,176676041.0,118999340.0
2039-01-24,176659624.0,118999364.0
2039-01-25,176643215.0,118999387.0
2039-01-26,176626807.0,118999410.0
2039-01-27,176610398.0,118999434.0
2039-01-28,176593990.0,118999457.0
2039-01-29,176577572.0,118999481.0
2039-01-30,176561155.0,118999504.0
2039-01-31,176544740.0,118999527.0
2039-02-01,176528325.0,118999551.0
2039-02-02,176505728.0,118999399.0
2039-02-03,176483131.0,118999831.0
2039-02-04,176460543.0,118999679.0
2039-02-05,176437955.0,118999527.0
2039-02-06,176415357.0,118999376.0
2039-02-07,176392756.0,118999808.0
2039-02-08,176370159.0,118999656.0
2039-02-09,176347562.0,118999504.0
2039-02-10,176324966.0,118999352.0
2039-02-11,176302373.0,118999784.0
2039-02-12,176279784.0,118999633.0
2039-02-13,176257188.0,118999481.0
2039-02-14,176234591.0,118999329.0
2039-02-15,176212004.0,118999761.0
2039-02-16,176189411.0,118999609.0
2039-02-17,176166815.0,118999457.0
2039-02-18,176144218.0,118999305.0
2039-02-19,176121624.0,118999738.0
2039-02-20,176099028.0,118999586.0
2039-02-21,176076432.0,118999434.0
2039-02-22,176053840.0,118999282.0
2039-02-23,176031253.0,118999714.0
2039-02-24,176008665.0,118999562.0
2039-02-25,175986075.0,118999410.0
2039-02-26,175963483.0,118999259.0
2039-02-27,175940887.0,118999691.0
2039-02-28,175918291.0,118999539.0
2039-03-01,175895696.0,118999387.0
2039-03-02,175850446.0,118987982.0
2039-03-03,175805187.0,118976577.0
2039-03-04,175759938.0,118965172.0
2039-03-05,175714688.0,118953767.0
2039-03-06,175669434.0,118942374.0
2039-03-07,175624185.0,118930980.0
2039-03-08,175578940.0,118919587.0
2039-03-09,175533690.0,118908190.0
2039-03-10,175488442.0,118896805.0
2039-03-11,175443202.0,118885420.0
2039-03-12,175397956.0,118874034.0
2039-03-13,175352707.0,118862649.0
2039-03-14,175307468.0,118851275.0
2039-03-15,175262230.0,118839902.0
2039-03-16,175216983.0,118828525.0
2039-03-17,175171744.0,118817148.0
2039-03-18,175126514.0,118805777.0
2039-03-19,175081268.0,118794411.0
2039-03-20,175036029.0,118783046.0
2039-03-21,174990800.0,118771680.0
2039-03-22,174945562.0,118760320.0
2039-03-23,174900324.0,118748964.0
2039-03-24,174855094.0,118737607.0
2039-03-25,174809865.0,118726249.0
2039-03-26,174764627.0,118714898.0
2039-03-27,174719394.0,118703552.0
2039-03-28,174674164.0,118692206.0
2039-03-29,174628927.0,118680860.0
2039-03-30,174583694.0,118669518.0
2039-03-31,174538468.0,118658181.0
2039-04-01,174493236.0,118646843.0
2039-04-02,174441241.0,118624366.0
2039-04-03,174389255.0,118601896.0
2039-04-04,174337271.0,118579432.0
2039-04-05,174285296.0,118556972.0
2039-04-06,174233327.0,118534523.0
2039-04-07,174181354.0,118512086.0
2039-04-08,174129394.0,118489648.0
2039-04-09,174077436.0,118467222.0
2039-04-10,174025484.0,118444801.0
2039-04-11,173973549.0,118422389.0
2039-04-12,173921607.0,118399985.0
2039-04-13,173869679.0,118377586.0
2039-04-14,173817751.0,118355199.0
2039-04-15,173765821.0,118332813.0
2039-04-16,173713904.0,118310436.0
2039-04-17,173661997.0,118288072.0
2039-04-18,173610091.0,118265712.0
2039-04-19,173558194.0,118243358.0
2039-04-20,173506308.0,118221009.0
2039-04-21,173454413.0,118198672.0
2039-04-22,173402532.0,118176344.0
2039-04-23,173350653.0,118154017.0
2039-04-24,173298778.0,118131703.0
2039-04-25,173246917.0,118109394.0
2039-04-26,173195054.0,118087091.0
2039-04-27,173143204.0,118064798.0
2039-04-28,173091363.0,118042512.0
2039-04-29,173039517.0,118020236.0
2039-04-30,172987678.0,117997959.0
2039-05-01,172935850.0,117975695.0
2039-05-02,172903349.0,117961771.0
2039-05-03,172870862.0,117947858.0
2039-05-04,172838374.0,117933943.0
2039-05-05,172805896.0,117920038.0
2039-05-06,172773422.0,117906139.0
2039-05-07,172740948.0,117892245.0
2039-05-08,172708484.0,117878358.0
2039-05-09,172676033.0,117864476.0
2039-05-10,172643585.0,117850603.0
2039-05-11,172611135.0,117836728.0
2039-05-12,172578698.0,117822866.0
2039-05-13,172546262.0,117809003.0
2039-05-14,172513839.0,117795152.0
2039-05-15,172481416.0,117781307.0
2039-05-16,172448993.0,117767464.0
2039-05-17,172416585.0,117753626.0
2039-05-18,172384185.0,117739794.0
2039-05-19,172351787.0,117725968.0
2039-05-20,172319393.0,117712148.0
2039-05-21,172287007.0,117698340.0
2039-05-22,172254626.0,117684527.0
2039-05-23,172222254.0,117670726.0
2039-05-24,172189887.0,117656930.0
2039-05-25,172157516.0,117643141.0
2039-05-26,172125158.0,117629357.0
2039-05-27,172092814.0,117615579.0
2039-05-28,172060468.0,117601803.0
2039-05-29,172028125.0,117588033.0
2039-05-30,171995790.0,117574274.0
2039-05-31,171963460.0,117560515.0
2039-06-01,171931140.0,117546768.0
2039-06-02,172000142.0,117589454.0
2039-06-03,172069126.0,117632118.0
2039-06-04,172138074.0,117674754.0
2039-06-05,172207005.0,117717367.0
2039-06-06,172275896.0,117759955.0
2039-06-07,172344777.0,117802518.0
2039-06-08,172413618.0,117845062.0
2039-06-09,172482444.0,117887575.0
2039-06-10,172551233.0,117930071.0
2039-06-11,172620001.0,117972534.0
2039-06-12,172688744.0,118014980.0
2039-06-13,172757453.0,118057393.0
2039-06-14,172826141.0,118099791.0
2039-06-15,172894805.0,118142160.0
2039-06-16,172963442.0,118184509.0
2039-06-17,173032047.0,118226828.0
2039-06-18,173100634.0,118269128.0
2039-06-19,173169185.0,118311397.0
2039-06-20,173237722.0,118353648.0
2039-06-21,173306219.0,118395874.0
2039-06-22,173374703.0,118438075.0
2039-06-23,173443153.0,118480252.0
2039-06-24,173511582.0,118522404.0
2039-06-25,173579978.0,118564533.0
2039-06-26,173648358.0,118606640.0
2039-06-27,173716699.0,118648721.0
2039-06-28,173785021.0,118690779.0
2039-06-29,173853320.0,118732811.0
2039-06-30,173921589.0,118774825.0
2039-07-01,173989834.0,118816809.0
2039-07-02,174416351.0,118999522.0
2039-07-03,174842324.0,118999860.0
2039-07-04,175267749.0,118999031.0
2039-07-05,175692624.0,118999370.0
2039-07-06,176116958.0,118999124.0
2039-07-07,176540757.0,118999463.0
2039-07-08,176964024.0,118999218.0
2039-07-09,177386758.0,118999557.0
2039-07-10,177479883.0,118999311.0
2039-07-11,177480008.0,118999066.0
2039-07-12,177480132.0,118999405.0
2039-07-13,177479812.0,118999159.0
2039-07-14,177479937.0,118999498.0
2039-07-15,177480061.0,118999253.0
2039-07-16,177480186.0,118999592.0
2039-07-17,177479866.0,118999346.0
2039-07-18,177479990.0,118999101.0
2039-07-19,177480115.0,118999440.0
2039-07-20,177479794.0,118999194.0
2039-07-21,177479919.0,118999533.0
2039-07-22,177480044.0,118999288.0
2039-07-23,177480168.0,118999042.0
2039-07-24,177479848.0,118999381.0
2039-07-25,177479972.0,118999136.0
2039-07-26,177480097.0,118999475.0
2039-07-27,177479777.0,118999229.0
2039-07-28,177479901.0,118999568.0
2039-07-29,177480026.0,118999323.0
2039-07-30,177480150.0,118999078.0
2039-07-31,177479830.0,118999416.0
2039-08-01,177479955.0,118999171.0
2039-08-02,177479874.0,118999405.0
2039-08-03,177479794.0,118999638.0
2039-08-04,177480159.0,118999288.0
2039-08-05,177480079.0,118999522.0
2039-08-06,177479999.0,118999171.0
2039-08-07,177479919.0,118999405.0
2039-08-08,177479839.0,118999638.0
2039-08-09,177480204.0,118999288.0
2039-08-10,177480124.0,118999522.0
2039-08-11,177480044.0,118999171.0
2039-08-12,177479964.0,118999405.0
2039-08-13,177479883.0,118999638.0
2039-08-14,177479803.0,118999288.0
2039-08-15,177480168.0,118999522.0
2039-08-16,177480088.0,118999171.0
2039-08-17,177480008.0,118999405.0
2039-08-18,177479928.0,118999638.0
2039-08-19,177479848.0,118999288.0
2039-08-20,177480213.0,118999522.0
2039-08-21,177480132.0,118999171.0
2039-08-22,177480052.0,118999405.0
2039-08-23,177479972.0,118999638.0
2039-08-24,177479892.0,118999288.0
2039-08-25,177479812.0,118999522.0
2039-08-26,177480177.0,118999171.0
2039-08-27,177480097.0,118999405.0
2039-08-28,177480017.0,118999638.0
2039-08-29,177479937.0,118999288.0
2039-08-30,177479857.0,118999522.0
2039-08-31,177479777.0,118999171.0
2039-09-01,177480141.0,118999405.0
2039-09-02,177479972.0,118999638.0
2039-09-03,177480248.0,118999288.0
2039-09-04,177480079.0,118999522.0
2039-09-05,177480355.0,118999171.0
2039-09-06,177480186.0,118999405.0
2039-09-07,177480017.0,118999638.0
2039-09-08,177480293.0,118999288.0
2039-09-09,177480124.0,118999522.0
2039-09-10,177479955.0,118999171.0
2039-09-11,177480230.0,118999405.0
2039-09-12,177480061.0,118999638.0
2039-09-13,177480337.0,118999288.0
2039-09-14,177480168.0,118999522.0
2039-09-15,177479999.0,118999171.0
2039-09-16,177480275.0,118999405.0
2039-09-17,177480106.0,118999638.0
2039-09-18,177479937.0,118999288.0
2039-09-19,177480213.0,118999522.0
2039-09-20,177480044.0,118999171.0
2039-09-21,177480319.0,118999405.0
2039-09-22,177480150.0,118999638.0
2039-09-23,177479981.0,118999288.0
2039-09-24,177480257.0,118999522.0
2039-09-25,177480088.0,118999171.0
2039-09-26,177479919.0,118999405.0
2039-09-27,177480195.0,118999638.0
2039-09-28,177480026.0,118999288.0
2039-09-29,177480302.0,118999522.0
2039-09-30,177480132.0,118999171.0
2039-10-01,177479964.0,118999405.0
2039-10-02,177479697.0,118999183.0
2039-10-03,177479874.0,118998961.0
2039-10-04,177479608.0,118999323.0
2039-10-05,177479786.0,118999101.0
2039-10-06,177479964.0,118998879.0
2039-10-07,177479697.0,118999241.0
2039-10-08,177479874.0,118999019.0
2039-10-09,177479608.0,118999381.0
2039-10-10,177479786.0,118999159.0
2039-10-11,177479964.0,118998937.0
2039-10-12,177479697.0,118999300.0
2039-10-13,177479874.0,118999078.0
2039-10-14,177479608.0,118998856.0
2039-10-15,177479786.0,118999218.0
2039-10-16,177479964.0,118998996.0
2039-10-17,177479697.0,118999358.0
2039-10-18,177479874.0,118999136.0
2039-10-19,177479608.0,118998914.0
2039-10-20,177479786.0,118999276.0
2039-10-21,177479964.0,118999054.0
2039-10-22,177479697.0,118999416.0
2039-10-23,177479874.0,118999194.0
2039-10-24,177479608.0,118998972.0
2039-10-25,177479786.0,118999335.0
2039-10-26,177479964.0,118999113.0
2039-10-27,177479697.0,118998890.0
2039-10-28,177479874.0,118999253.0
2039-10-29,177479608.0,118999031.0
2039-10-30,177479786.0,118999393.0
2039-10-31,177479964.0,118999171.0
2039-11-01,177479697.0,118998949.0
2039-11-02,177479874.0,118999522.0
2039-11-03,177480052.0,118999510.0
2039-11-04,177479786.0,118999498.0
2039-11-05,177479964.0,118999486.0
2039-11-06,177479697.0,118999475.0
2039-11-07,177479874.0,118999463.0
2039-11-08,177480052.0,118999451.0
2039-11-09,177479786.0,118999440.0
2039-11-10,177479964.0,118999428.0
2039-11-11,177479697.0,118999416.0
2039-11-12,177479874.0,118999405.0
2039-11-13,177480052.0,118999393.0
2039-11-14,177479786.0,118999381.0
2039-11-15,177479964.0,118999370.0
2039-11-16,177479697.0,118999358.0
2039-11-17,177479874.0,118999346.0
2039-11-18,177480052.0,118999335.0
2039-11-19,177479786.0,118999323.0
2039-11-20,177479964.0,118999311.0
2039-11-21,177479697.0,118999300.0
2039-11-22,177479874.0,118999288.0
2039-11-23,177480052.0,118999276.0
2039-11-24,177479786.0,118999264.0
2039-11-25,177479964.0,118999253.0
2039-11-26,177479697.0,118999241.0
2039-11-27,177479874.0,118999814.0
2039-11-28,177480052.0,118999802.0
2039-11-29,177479786.0,118999790.0
2039-11-30,177479964.0,118999779.0
2039-12-01,177479697.0,118999767.0
2039-12-02,177465416.0,118999463.0
2039-12-03,177451132.0,118999744.0
2039-12-04,177436846.0,118999440.0
2039-12-05,177422560.0,118999720.0
2039-12-06,177408275.0,118999416.0
2039-12-07,177393989.0,118999697.0
2039-12-08,177379708.0,118999393.0
2039-12-09,177365422.0,118999674.0
2039-12-10,177351137.0,118999370.0
2039-12-11,177336851.0,118999650.0
2039-12-12,177322570.0,118999346.0
2039-12-13,177308293.0,118999627.0
2039-12-14,177294016.0,118999323.0
2039-12-15,177279725.0,118999603.0
2039-12-16,177265434.0,118999300.0
2039-12-17,177251152.0,118999580.0
2039-12-18,177236870.0,118999276.0
2039-12-19,177222588.0,118999557.0
2039-12-20,177208306.0,118999253.0
2039-12-21,177194024.0,118999533.0
2039-12-22,177179741.0,118999229.0
2039-12-23,177165459.0,118999510.0
2039-12-24,177151177.0,118999206.0
2039-12-25,177136894.0,118999486.0
2039-12-26,177122611.0,118999767.0
2039-12-27,177108323.0,118999463.0
2039-12-28,177094036.0,118999744.0
2039-12-29,177079753.0,118999440.0
2039-12-30,177065474.0,118999720.0
2039-12-31,177051195.0,118999416.0
