Date,Gibe-III,Koysha
2036-01-01,11706998288.0,5999948208.0
2036-01-02,11705405072.0,5999949936.0
2036-01-03,11703811856.0,5999951664.0
2036-01-04,11702219072.0,5999953392.0
2036-01-05,11700626720.0,5999955120.0
2036-01-06,11699034368.0,5999956848.0
2036-01-07,11697442016.0,5999958576.0
2036-01-08,11695849664.0,5999960304.0
2036-01-09,11694257312.0,5999962032.0
2036-01-10,11692664960.0,5999963760.0
2036-01-11,11691072608.0,5999965488.0
2036-01-12,11689480256.0,5999967216.0
2036-01-13,11687887904.0,5999968944.0
2036-01-14,11686295984.0,5999970672.0
2036-01-15,11684704496.0,5999972400.0
2036-01-16,11683113008.0,5999974128.0
2036-01-17,11681521520.0,5999975856.0
2036-01-18,11679930032.0,5999977584.0
2036-01-19,11678338544.0,5999979312.0
2036-01-20,11676747920.0,5999981040.0
2036-01-21,11675157296.0,5999982768.0
2036-01-22,11673566672.0,5999984496.0
2036-01-23,11671976048.0,5999986224.0
2036-01-24,11670385424.0,5999987952.0
2036-01-25,11668795664.0,5999946480.0
2036-01-26,11667205904.0,5999948208.0
2036-01-27,11665616144.0,5999949936.0
2036-01-28,11664026384.0,5999951664.0
2036-01-29,11662435760.0,5999953392.0
2036-01-30,11660845568.0,5999955120.0
2036-01-31,11659255808.0,5999956848.0
2036-02-01,11657666048.0,5999958576.0
2036-02-02,11655477536.0,5999947344.0
2036-02-03,11653289024.0,5999979312.0
2036-02-04,11651101376.0,5999968080.0
2036-02-05,11648913728.0,5999956848.0
2036-02-06,11646725648.0,5999945616.0
2036-02-07,11644537568.0,5999977584.0
2036-02-08,11642349920.0,5999966352.0
2036-02-09,11640162272.0,5999955120.0
2036-02-10,11637974624.0,5999987088.0
2036-02-11,11635787408.0,5999975856.0
2036-02-12,11633600624.0,5999964624.0
2036-02-13,11631413840.0,5999953392.0
2036-02-14,11629227056.0,5999985360.0
2036-02-15,11627041136.0,5999974128.0
2036-02-16,11624854784.0,5999962896.0
2036-02-17,11622668000.0,5999951664.0
2036-02-18,11620481216.0,5999983632.0
2036-02-19,11618295296.0,5999972400.0
2036-02-20,11616109376.0,5999961168.0
2036-02-21,11613923456.0,5999949936.0
2036-02-22,11611737968.0,5999981904.0
2036-02-23,11609552912.0,5999970672.0
2036-02-24,11607367856.0,5999959440.0
2036-02-25,11605182800.0,5999948208.0
2036-02-26,11602998176.0,5999980176.0
2036-02-27,11600813120.0,5999968944.0
2036-02-28,11598628064.0,5999957712.0
2036-02-29,11596443008.0,5999946480.0
2036-03-01,11594258816.0,5999978448.0
2036-03-02,11589883520.0,5999135184.0
2036-03-03,11585509088.0,5998291920.0
2036-03-04,11581135088.0,5997448656.0
2036-03-05,11576761520.0,5996605392.0
2036-03-06,11572388816.0,5995762992.0
2036-03-07,11568016976.0,5994920592.0
2036-03-08,11563645136.0,5994078192.0
2036-03-09,11559274160.0,5993235792.0
2036-03-10,11554904048.0,5992394256.0
2036-03-11,11550534368.0,5991552720.0
2036-03-12,11546165120.0,5990711184.0
2036-03-13,11541796736.0,5989869648.0
2036-03-14,11537429216.0,5989028544.0
2036-03-15,11533061696.0,5988187872.0
2036-03-16,11528695040.0,5987347200.0
2036-03-17,11524329248.0,5986506528.0
2036-03-18,11519963888.0,5985666288.0
2036-03-19,11515598960.0,5984826480.0
2036-03-20,11511234896.0,5983986672.0
2036-03-21,11506871696.0,5983146864.0
2036-03-22,11502508496.0,5982307488.0
2036-03-23,11498146160.0,5981468544.0
2036-03-24,11493784688.0,5980629600.0
2036-03-25,11489423648.0,5979790656.0
2036-03-26,11485063040.0,5978952144.0
2036-03-27,11480702864.0,5978114064.0
2036-03-28,11476343552.0,5977275984.0
2036-03-29,11471984240.0,5976437904.0
2036-03-30,11467625792.0,5975600256.0
2036-03-31,11463268208.0,5974763040.0
2036-04-01,11458911056.0,5973925824.0
2036-04-02,11453903312.0,5972266080.0
