Date,Canals to Kuraz Sugar Plantations,Flow A,Flow B,Flow C,Gibe-III Evaporation,Gibe-III Release,Koysha Evaporation,Koysha Release,Main Channel,Outflow to Lake Turkana
2029-01-01,25.0,53.61,21.44,15.01,20.76,50.0,0.01,50.0,25.0,40.01
2029-01-02,25.0,53.61,21.44,15.01,20.76,50.0,0.05,50.0,25.0,40.01
2029-01-03,25.0,53.61,21.44,15.01,20.76,50.0,0.09,50.0,25.0,40.01
2029-01-04,25.0,53.61,21.44,15.01,20.755000000000003,50.0,0.125,50.0,25.0,40.01
2029-01-05,25.0,53.61,21.44,15.01,20.75,50.0,0.14500000000000002,50.0,25.0,40.01
2029-01-06,25.0,53.61,21.44,15.01,20.75,50.0,0.175,50.0,25.0,40.01
2029-01-07,25.0,53.61,21.44,15.01,20.75,50.0,0.195,50.0,25.0,40.01
2029-01-08,25.0,53.61,21.44,15.01,20.75,50.0,0.215,50.0,25.0,40.01
2029-01-09,25.0,53.61,21.44,15.01,20.75,50.0,0.235,50.0,25.0,40.01
2029-01-10,25.0,53.61,21.44,15.01,20.74,50.0,0.255,50.0,25.0,40.01
2029-01-11,25.0,53.61,21.44,15.01,20.74,50.0,0.275,50.0,25.0,40.01
2029-01-12,25.0,53.61,21.44,15.01,20.74,50.0,0.295,50.0,25.0,40.01
2029-01-13,25.0,53.61,21.44,15.01,20.74,50.0,0.305,50.0,25.0,40.01
2029-01-14,25.0,53.61,21.44,15.01,20.74,50.0,0.325,50.0,25.0,40.01
2029-01-15,25.0,53.61,21.44,15.01,20.735,50.0,0.345,50.0,25.0,40.01
2029-01-16,25.0,53.61,21.44,15.01,20.73,50.0,0.355,50.0,25.0,40.01
2029-01-17,25.0,53.61,21.44,15.01,20.73,50.0,0.375,50.0,25.0,40.01
2029-01-18,25.0,53.61,21.44,15.01,20.73,50.0,0.39,50.0,25.0,40.01
2029-01-19,25.0,53.61,21.44,15.01,20.73,50.0,0.405,50.0,25.0,40.01
2029-01-20,25.0,53.61,21.44,15.01,20.73,50.0,0.42,50.0,25.0,40.01
2029-01-21,25.0,53.61,21.44,15.01,20.725,50.0,0.435,50.0,25.0,40.01
2029-01-22,25.0,53.61,21.44,15.01,20.72,50.0,0.445,50.0,25.0,40.01
2029-01-23,25.0,53.61,21.44,15.01,20.72,50.0,0.46499999999999997,50.0,25.0,40.01
2029-01-24,25.0,53.61,21.44,15.01,20.72,50.0,0.475,50.0,25.0,40.01
2029-01-25,25.0,53.61,21.44,15.01,20.72,50.0,0.49,50.0,25.0,40.01
2029-01-26,25.0,53.61,21.44,15.01,20.72,50.0,0.505,50.0,25.0,40.01
2029-01-27,25.0,53.61,21.44,15.01,20.71,50.0,0.515,50.0,25.0,40.01
2029-01-28,25.0,53.61,21.44,15.01,20.71,50.0,0.53,50.0,25.0,40.01
2029-01-29,25.0,53.61,21.44,15.01,20.71,50.0,0.545,50.0,25.0,40.01
2029-01-30,25.0,53.61,21.44,15.01,20.71,50.0,0.555,50.0,25.0,40.01
2029-01-31,25.0,53.61,21.44,15.01,20.71,50.0,0.57,50.0,25.0,40.01
2029-02-01,25.0,47.81,19.12,13.39,21.2,50.0,0.595,50.0,25.0,38.39
2029-02-02,25.0,47.81,19.12,13.39,21.19,50.0,0.605,50.0,25.0,38.39
2029-02-03,25.0,47.81,19.12,13.39,21.19,50.0,0.615,50.0,25.0,38.39
2029-02-04,25.0,47.81,19.12,13.39,21.19,50.0,0.63,50.0,25.0,38.39
2029-02-05,25.0,47.81,19.12,13.39,21.19,50.0,0.64,50.0,25.0,38.39
2029-02-06,25.0,47.81,19.12,13.39,21.18,50.0,0.65,50.0,25.0,38.39
2029-02-07,25.0,47.81,19.12,13.39,21.18,50.0,0.66,50.0,25.0,38.39
2029-02-08,25.0,47.81,19.12,13.39,21.18,50.0,0.675,50.0,25.0,38.39
2029-02-09,25.0,47.81,19.12,13.39,21.18,50.0,0.685,50.0,25.0,38.39
2029-02-10,25.0,47.81,19.12,13.39,21.17,50.0,0.695,50.0,25.0,38.39
2029-02-11,25.0,47.81,19.12,13.39,21.17,50.0,0.705,50.0,25.0,38.39
2029-02-12,25.0,47.81,19.12,13.39,21.17,50.0,0.715,50.0,25.0,38.39
