Date,Canals to Kuraz Sugar Plantations
2029-01-01,50.0
2029-01-02,50.0
2029-01-03,50.0
2029-01-04,50.0
2029-01-05,50.0
2029-01-06,50.0
2029-01-07,50.0
2029-01-08,50.0
2029-01-09,50.0
2029-01-10,50.0
2029-01-11,50.0
2029-01-12,50.0
2029-01-13,50.0
2029-01-14,50.0
2029-01-15,50.0
2029-01-16,50.0
2029-01-17,50.0
2029-01-18,50.0
2029-01-19,50.0
2029-01-20,50.0
2029-01-21,50.0
2029-01-22,50.0
2029-01-23,50.0
2029-01-24,50.0
2029-01-25,50.0
2029-01-26,50.0
2029-01-27,50.0
2029-01-28,50.0
2029-01-29,50.0
2029-01-30,50.0
2029-01-31,50.0
2029-02-01,50.0
2029-02-02,50.0
2029-02-03,50.0
2029-02-04,50.0
2029-02-05,50.0
2029-02-06,50.0
2029-02-07,50.0
2029-02-08,50.0
2029-02-09,50.0
2029-02-10,50.0
2029-02-11,50.0
2029-02-12,50.0
2029-02-13,50.0
2029-02-14,50.0
2029-02-15,50.0
2029-02-16,50.0
2029-02-17,50.0
2029-02-18,50.0
2029-02-19,50.0
2029-02-20,50.0
2029-02-21,50.0
2029-02-22,50.0
2029-02-23,50.0
2029-02-24,50.0
2029-02-25,50.0
2029-02-26,50.0
2029-02-27,50.0
2029-02-28,50.0
2029-03-01,50.0
2029-03-02,50.0
2029-03-03,50.0
2029-03-04,50.0
2029-03-05,50.0
2029-03-06,50.0
2029-03-07,50.0
2029-03-08,50.0
2029-03-09,50.0
2029-03-10,50.0
2029-03-11,50.0
2029-03-12,50.0
2029-03-13,50.0
2029-03-14,50.0
2029-03-15,50.0
2029-03-16,50.0
2029-03-17,50.0
2029-03-18,50.0
2029-03-19,50.0
2029-03-20,50.0
2029-03-21,50.0
2029-03-22,50.0
2029-03-23,50.0
2029-03-24,50.0
2029-03-25,50.0
2029-03-26,50.0
2029-03-27,50.0
2029-03-28,50.0
2029-03-29,50.0
2029-03-30,50.0
2029-03-31,50.0
2029-04-01,50.0
2029-04-02,50.0
2029-04-03,50.0
2029-04-04,50.0
2029-04-05,50.0
2029-04-06,50.0
2029-04-07,50.0
2029-04-08,50.0
2029-04-09,50.0
2029-04-10,50.0
2029-04-11,50.0
2029-04-12,50.0
2029-04-13,50.0
2029-04-14,50.0
2029-04-15,50.0
2029-04-16,50.0
2029-04-17,50.0
2029-04-18,50.0
2029-04-19,50.0
2029-04-20,50.0
2029-04-21,50.0
2029-04-22,50.0
2029-04-23,50.0
2029-04-24,50.0
2029-04-25,50.0
2029-04-26,50.0
2029-04-27,50.0
2029-04-28,50.0
2029-04-29,50.0
2029-04-30,50.0
2029-05-01,50.0
2029-05-02,50.0
2029-05-03,50.0
2029-05-04,50.0
2029-05-05,50.0
2029-05-06,50.0
2029-05-07,50.0
2029-05-08,50.0
2029-05-09,50.0
2029-05-10,50.0
2029-05-11,50.0
2029-05-12,50.0
2029-05-13,50.0
2029-05-14,50.0
2029-05-15,50.0
2029-05-16,50.0
2029-05-17,50.0
2029-05-18,50.0
2029-05-19,50.0
2029-05-20,50.0
2029-05-21,50.0
2029-05-22,50.0
2029-05-23,50.0
2029-05-24,50.0
2029-05-25,50.0
2029-05-26,50.0
2029-05-27,50.0
2029-05-28,50.0
2029-05-29,50.0
2029-05-30,50.0
2029-05-31,50.0
2029-06-01,50.0
2029-06-02,50.0
2029-06-03,50.0
2029-06-04,50.0
2029-06-05,50.0
2029-06-06,50.0
2029-06-07,50.0
2029-06-08,50.0
2029-06-09,50.0
2029-06-10,50.0
2029-06-11,50.0
2029-06-12,50.0
2029-06-13,50.0
2029-06-14,50.0
2029-06-15,50.0
2029-06-16,50.0
2029-06-17,50.0
2029-06-18,50.0
2029-06-19,50.0
2029-06-20,50.0
2029-06-21,50.0
2029-06-22,50.0
2029-06-23,50.0
2029-06-24,50.0
2029-06-25,50.0
2029-06-26,50.0
2029-06-27,50.0
2029-06-28,50.0
2029-06-29,50.0
2029-06-30,50.0
2029-07-01,50.0
2029-07-02,50.0
2029-07-03,50.0
2029-07-04,50.0
2029-07-05,50.0
2029-07-06,50.0
2029-07-07,50.0
2029-07-08,50.0
2029-07-09,50.0
2029-07-10,50.0
2029-07-11,50.0
2029-07-12,50.0
2029-07-13,50.0
2029-07-14,50.0
2029-07-15,50.0
2029-07-16,50.0
2029-07-17,50.0
2029-07-18,50.0
2029-07-19,50.0
2029-07-20,50.0
2029-07-21,50.0
2029-07-22,50.0
2029-07-23,50.0
2029-07-24,50.0
2029-07-25,50.0
2029-07-26,50.0
2029-07-27,50.0
2029-07-28,50.0
2029-07-29,50.0
2029-07-30,50.0
2029-07-31,50.0
2029-08-01,50.0
2029-08-02,50.0
2029-08-03,50.0
2029-08-04,50.0
2029-08-05,50.0
2029-08-06,50.0
2029-08-07,50.0
2029-08-08,50.0
2029-08-09,50.0
2029-08-10,50.0
2029-08-11,50.0
2029-08-12,50.0
2029-08-13,50.0
2029-08-14,50.0
2029-08-15,50.0
2029-08-16,50.0
2029-08-17,50.0
2029-08-18,50.0
2029-08-19,50.0
2029-08-20,50.0
2029-08-21,50.0
2029-08-22,50.0
2029-08-23,50.0
2029-08-24,50.0
2029-08-25,50.0
2029-08-26,50.0
2029-08-27,50.0
2029-08-28,50.0
2029-08-29,50.0
2029-08-30,50.0
2029-08-31,50.0
2029-09-01,50.0
2029-09-02,50.0
2029-09-03,50.0
2029-09-04,50.0
2029-09-05,50.0
2029-09-06,50.0
2029-09-07,50.0
2029-09-08,50.0
2029-09-09,50.0
2029-09-10,50.0
2029-09-11,50.0
2029-09-12,50.0
2029-09-13,50.0
2029-09-14,50.0
