Date,Canals to Kuraz Sugar Plantations,Flow A,Flow B,Flow C,Gibe-III Evaporation,Gibe-III Release,Koysha Evaporation,Koysha Release,Main Channel,Outflow to Lake Turkana
2030-01-01,28.77,53.61,21.44,15.01,20.7,50.0,13.92,57.53,28.77,43.78
2030-01-02,28.77,53.61,21.44,15.01,20.7,50.0,13.92,57.53,28.77,43.78
2030-01-03,28.77,53.61,21.44,15.01,20.7,50.0,13.92,57.53,28.77,43.78
2030-01-04,28.77,53.61,21.44,15.01,20.7,50.0,13.92,57.53,28.77,43.78
2030-01-05,28.77,53.61,21.44,15.01,20.7,50.0,13.92,57.53,28.77,43.78
2030-01-06,28.77,53.61,21.44,15.01,20.7,50.0,13.92,57.53,28.77,43.78
2030-01-07,28.77,53.61,21.44,15.01,20.7,50.0,13.92,57.53,28.77,43.78
2030-01-08,28.77,53.61,21.44,15.01,20.7,50.0,13.92,57.53,28.77,43.78
2030-01-09,28.77,53.61,21.44,15.01,20.7,50.0,13.92,57.53,28.77,43.78
2030-01-10,28.77,53.61,21.44,15.01,20.7,50.0,13.92,57.53,28.77,43.78
2030-01-11,28.77,53.61,21.44,15.01,20.7,50.0,13.92,57.53,28.77,43.78
2030-01-12,28.77,53.61,21.44,15.01,20.7,50.0,13.92,57.53,28.77,43.78
2030-01-13,28.77,53.61,21.44,15.01,20.7,50.0,13.92,57.53,28.77,43.78
2030-01-14,28.77,53.61,21.44,15.01,20.7,50.0,13.92,57.53,28.77,43.78
2030-01-15,28.77,53.61,21.44,15.01,20.7,50.0,13.92,57.53,28.77,43.78
2030-01-16,28.77,53.61,21.44,15.01,20.7,50.0,13.92,57.53,28.77,43.78
2030-01-17,28.77,53.61,21.44,15.01,20.7,50.0,13.92,57.53,28.77,43.78
2030-01-18,28.77,53.61,21.44,15.01,20.7,50.0,13.92,57.53,28.77,43.78
2030-01-19,28.77,53.61,21.44,15.01,20.7,50.0,13.92,57.53,28.77,43.78
2030-01-20,28.77,53.61,21.44,15.01,20.7,50.0,13.92,57.53,28.77,43.78
2030-01-21,28.77,53.61,21.44,15.01,20.7,50.0,13.92,57.53,28.77,43.78
2030-01-22,28.77,53.61,21.44,15.01,20.7,50.0,13.92,57.53,28.77,43.78
2030-01-23,28.77,53.61,21.44,15.01,20.7,50.0,13.92,57.53,28.77,43.78
2030-01-24,28.77,53.61,21.44,15.01,20.7,50.0,13.92,57.53,28.77,43.78
2030-01-25,28.77,53.61,21.44,15.01,20.7,50.0,13.92,57.53,28.77,43.78
2030-01-26,28.77,53.61,21.44,15.01,20.7,50.0,13.92,57.53,28.77,43.78
2030-01-27,28.77,53.61,21.44,15.01,20.7,50.0,13.92,57.53,28.77,43.78
2030-01-28,28.77,53.61,21.44,15.01,20.7,50.0,13.92,57.53,28.77,43.78
2030-01-29,28.77,53.61,21.44,15.01,20.7,50.0,13.92,57.53,28.77,43.78
2030-01-30,28.77,53.61,21.44,15.01,20.7,50.0,13.92,57.53,28.77,43.78
2030-01-31,28.77,53.61,21.44,15.01,20.7,50.0,13.92,57.53,28.77,43.78
2030-02-01,27.43,47.81,19.12,13.39,21.13,50.0,14.25,54.86,27.43,40.82
2030-02-02,27.43,47.81,19.12,13.39,21.13,50.0,14.25,54.86,27.43,40.82
2030-02-03,27.43,47.81,19.12,13.39,21.13,50.0,14.25,54.86,27.43,40.82
2030-02-04,27.43,47.81,19.12,13.39,21.13,50.0,14.25,54.86,27.43,40.82
2030-02-05,27.43,47.81,19.12,13.39,21.13,50.0,14.25,54.86,27.43,40.82
2030-02-06,27.43,47.81,19.12,13.39,21.13,50.0,14.25,54.86,27.43,40.82
2030-02-07,27.43,47.81,19.12,13.39,21.13,50.0,14.25,54.86,27.43,40.82
2030-02-08,27.43,47.81,19.12,13.39,21.13,50.0,14.25,54.86,27.43,40.82
2030-02-09,27.43,47.81,19.12,13.39,21.13,50.0,14.25,54.86,27.43,40.82
2030-02-10,27.43,47.81,19.12,13.39,21.13,50.0,14.25,54.86,27.43,40.82
2030-02-11,27.43,47.81,19.12,13.39,21.13,50.0,14.25,54.86,27.43,40.82
2030-02-12,27.43,47.81,19.12,13.39,21.13,50.0,14.25,54.86,27.43,40.82
2030-02-13,27.43,47.81,19.12,13.39,21.13,50.0,14.25,54.86,27.43,40.82
2030-02-14,27.43,47.81,19.12,13.39,21.13,50.0,14.25,54.86,27.43,40.82
2030-02-15,27.43,47.81,19.12,13.39,21.13,50.0,14.25,54.86,27.43,40.82
2030-02-16,27.43,47.81,19.12,13.39,21.13,50.0,14.25,54.86,27.43,40.82
2030-02-17,27.43,47.81,19.12,13.39,21.13,50.0,14.25,54.86,27.43,40.82
2030-02-18,27.43,47.81,19.12,13.39,21.13,50.0,14.25,54.86,27.43,40.82
2030-02-19,27.43,47.81,19.12,13.39,21.13,50.0,14.25,54.86,27.43,40.82
2030-02-20,27.43,47.81,19.12,13.39,21.13,50.0,14.25,54.86,27.43,40.82
2030-02-21,27.43,47.81,19.12,13.39,21.13,50.0,14.25,54.86,27.43,40.82
2030-02-22,27.43,47.81,19.12,13.39,21.13,50.0,14.25,54.86,27.43,40.82
2030-02-23,27.43,47.81,19.12,13.39,21.13,50.0,14.25,54.86,27.43,40.82
2030-02-24,27.43,47.81,19.12,13.39,21.13,50.0,14.25,54.86,27.43,40.82
2030-02-25,27.43,47.81,19.12,13.39,21.13,50.0,14.25,54.86,27.43,40.82
2030-02-26,27.43,47.81,19.12,13.39,21.13,50.0,14.25,54.86,27.43,40.82
2030-02-27,27.43,47.81,19.12,13.39,21.13,50.0,14.25,54.86,27.43,40.82
2030-02-28,27.43,47.81,19.12,13.39,21.13,50.0,14.25,54.86,27.43,40.82
2030-03-01,25.0,40.7,16.28,11.4,38.41,50.0,26.01,50.0,25.0,36.4
2030-03-02,25.0,40.7,16.28,11.4,38.41,50.0,26.01,50.0,25.0,36.4
2030-03-03,25.0,40.7,16.28,11.4,38.41,50.0,26.01,50.0,25.0,36.4
2030-03-04,25.0,40.7,16.28,11.4,38.41,50.0,26.01,50.0,25.0,36.4
2030-03-05,25.0,40.7,16.28,11.4,38.41,50.0,26.01,50.0,25.0,36.4
2030-03-06,25.0,40.7,16.28,11.4,38.41,50.0,26.01,50.0,25.0,36.4
2030-03-07,25.0,40.7,16.28,11.4,38.41,50.0,26.01,50.0,25.0,36.4
2030-03-08,25.0,40.7,16.28,11.4,38.41,50.0,26.01,50.0,25.0,36.4
2030-03-09,25.0,40.7,16.28,11.4,38.41,50.0,26.01,50.0,25.0,36.4
2030-03-10,25.0,40.7,16.28,11.4,38.41,50.0,26.01,50.0,25.0,36.4
2030-03-11,25.0,40.7,16.28,11.4,38.41,50.0,26.01,50.0,25.0,36.4
2030-03-12,25.0,40.7,16.28,11.4,38.41,50.0,26.01,50.0,25.0,36.4
2030-03-13,25.0,40.7,16.28,11.4,38.41,50.0,26.01,50.0,25.0,36.4
2030-03-14,25.0,40.7,16.28,11.4,38.41,50.0,26.01,50.0,25.0,36.4
2030-03-15,25.0,40.7,16.28,11.4,38.41,50.0,26.01,50.0,25.0,36.4
2030-03-16,25.0,40.7,16.28,11.4,38.41,50.0,26.01,50.0,25.0,36.4
2030-03-17,25.0,40.7,16.28,11.4,38.41,50.0,26.01,50.0,25.0,36.4
2030-03-18,25.0,40.7,16.28,11.4,38.41,50.0,26.01,50.0,25.0,36.4
2030-03-19,25.0,40.7,16.28,11.4,38.41,50.0,26.01,50.0,25.0,36.4
2030-03-20,25.0,40.7,16.28,11.4,38.41,50.0,26.01,50.0,25.0,36.4
