Date,Gibe-III,Koysha
2029-01-01,208.07573,0.0
2029-01-02,208.06739,6.97615
2029-01-03,208.05904,13.93929
2029-01-04,208.0507,20.8894
2029-01-05,208.04235,23.51443
2029-01-06,208.034,24.71991
2029-01-07,208.02565,25.9237
2029-01-08,208.01731,26.98414
2029-01-09,208.00896,27.89545
2029-01-10,208.00062,28.80591
2029-01-11,207.99228,29.68054
2029-01-12,207.98393,30.42743
2029-01-13,207.97559,31.17361
2029-01-14,207.96725,31.91943
2029-01-15,207.9589,32.5665
2029-01-16,207.95055,33.20585
2029-01-17,207.94221,33.8449
2029-01-18,207.93387,34.43556
2029-01-19,207.92552,34.99897
2029-01-20,207.91718,35.56198
2029-01-21,207.90884,36.1055
2029-01-22,207.9005,36.61161
2029-01-23,207.89216,37.11749
2029-01-24,207.88381,37.62146
2029-01-25,207.87547,38.08265
2029-01-26,207.86712,38.54351
2029-01-27,207.85878,39.00405
2029-01-28,207.85044,39.43888
2029-01-29,207.8421,39.86337
2029-01-30,207.83376,40.28755
2029-01-31,207.82542,40.69991
2029-02-01,207.81708,41.09422
2029-02-02,207.80566,41.44422
2029-02-03,207.79425,41.79404
2029-02-04,207.78284,42.12556
2029-02-05,207.77142,42.45292
2029-02-06,207.76001,42.78011
2029-02-07,207.74861,43.10587
2029-02-08,207.7372,43.41387
2029-02-09,207.72578,43.72163
2029-02-10,207.71436,44.02921
2029-02-11,207.70295,44.33172
2029-02-12,207.69154,44.62266
2029-02-13,207.68013,44.91343
2029-02-14,207.66872,45.20405
2029-02-15,207.65731,45.48696
2029-02-16,207.64589,45.76296
2029-02-17,207.63448,46.03881
2029-02-18,207.62306,46.31451
2029-02-19,207.61165,46.58061
2029-02-20,207.60024,46.84335
2029-02-21,207.58883,47.10595
2029-02-22,207.57742,47.36841
2029-02-23,207.566,47.61991
2029-02-24,207.55458,47.87079
2029-02-25,207.54317,48.12154
2029-02-26,207.53175,48.37051
2029-02-27,207.52034,48.61084
2029-02-28,207.50893,48.85104
2029-03-01,207.49752,49.09117
2029-03-02,207.47406,49.28273
2029-03-03,207.4506,49.46819
2029-03-04,207.42715,49.65345
2029-03-05,207.40368,49.83853
2029-03-06,207.38022,50.02349
2029-03-07,207.35676,50.20522
2029-03-08,207.3333,50.38311
2029-03-09,207.30983,50.56088
2029-03-10,207.28636,50.73847
2029-03-11,207.26291,50.91588
2029-03-12,207.23943,51.08897
2029-03-13,207.21596,51.25999
2029-03-14,207.19249,51.43088
2029-03-15,207.16902,51.6016
2029-03-16,207.14555,51.77221
2029-03-17,207.12208,51.93761
2029-03-18,207.09861,52.10229
2029-03-19,207.07513,52.26686
2029-03-20,207.05165,52.43125
2029-03-21,207.02818,52.59506
2029-03-22,207.00469,52.75404
2029-03-23,206.98121,52.91292
2029-03-24,206.95773,53.07163
2029-03-25,206.93425,53.23023
2029-03-26,206.91077,53.38741
2029-03-27,206.88728,53.54101
2029-03-28,206.8638,53.69444
2029-03-29,206.84031,53.84777
2029-03-30,206.81682,54.00094
2029-03-31,206.79334,54.15218
2029-04-01,206.76985,54.30076
2029-04-02,206.74307,54.51097
2029-04-03,206.71631,54.72091
2029-04-04,206.68955,54.92732
2029-04-05,206.66278,55.13089
2029-04-06,206.63602,55.33421
2029-04-07,206.60925,55.5367
2029-04-08,206.58249,55.73412
2029-04-09,206.55573,55.93124
2029-04-10,206.52897,56.12811
2029-04-11,206.50221,56.32155
2029-04-12,206.47546,56.5129
2029-04-13,206.4487,56.704
2029-04-14,206.42195,56.89415
2029-04-15,206.3952,57.08006
2029-04-16,206.36845,57.26574
2029-04-17,206.34169,57.45118
2029-04-18,206.31495,57.63354
2029-04-19,206.2882,57.81414
2029-04-20,206.26145,57.99446
2029-04-21,206.23471,58.17402
2029-04-22,206.20796,58.34978
2029-04-23,206.18122,58.52531
2029-04-24,206.15448,58.70063
2029-04-25,206.12774,58.8734
2029-04-26,206.101,59.0444
2029-04-27,206.07426,59.21518
2029-04-28,206.04753,59.38558
2029-04-29,206.02079,59.55227
2029-04-30,205.99406,59.71876
2029-05-01,205.96733,59.88503
2029-05-02,205.9518,60.14406
2029-05-03,205.93628,60.40097
2029-05-04,205.92077,60.65543
2029-05-05,205.90526,60.90651
2029-05-06,205.88975,61.15649
2029-05-07,205.87424,61.40193
2029-05-08,205.85873,61.64705
2029-05-09,205.84324,61.88783
2029-05-10,205.82774,62.12765
2029-05-11,205.81225,62.36459
2029-05-12,205.79675,62.59936
2029-05-13,205.78126,62.8326
2029-05-14,205.76578,63.06245
2029-05-15,205.7503,63.29199
2029-05-16,205.73483,63.51725
2029-05-17,205.71935,63.74225
2029-05-18,205.70387,63.96431
2029-05-19,205.6884,64.18486
2029-05-20,205.67294,64.40375
2029-05-21,205.65748,64.62005
2029-05-22,205.64201,64.83586
2029-05-23,205.62655,65.04807
2029-05-24,205.6111,65.25999
2029-05-25,205.59565,65.46917
2029-05-26,205.58021,65.67722
2029-05-27,205.56476,65.88372
2029-05-28,205.54932,66.08799
2029-05-29,205.53388,66.29182
2029-05-30,205.51844,66.49247
2029-05-31,205.50302,66.69289
2029-06-01,205.48759,66.89093
2029-06-02,205.52881,67.36794
2029-06-03,205.57002,67.83735
2029-06-04,205.61118,68.2994
2029-06-05,205.65233,68.75438
2029-06-06,205.69343,69.20255
2029-06-07,205.73452,69.64412
2029-06-08,205.77556,70.07933
2029-06-09,205.81659,70.50841
2029-06-10,205.85757,70.93153
2029-06-11,205.89854,71.3489
2029-06-12,205.93946,71.76068
2029-06-13,205.98036,72.16706
2029-06-14,206.02122,72.56821
2029-06-15,206.06207,72.96427
2029-06-16,206.10287,73.35539
2029-06-17,206.14366,73.74172
2029-06-18,206.1844,74.12338
2029-06-19,206.22513,74.50054
2029-06-20,206.26581,74.87328
2029-06-21,206.30647,75.24172
2029-06-22,206.34709,75.606
2029-06-23,206.3877,75.96623
2029-06-24,206.42827,76.32248
2029-06-25,206.46881,76.67488
2029-06-26,206.50932,77.02353
2029-06-27,206.5498,77.36847
2029-06-28,206.59025,77.70987
2029-06-29,206.63068,78.04774
2029-06-30,206.67107,78.38222
2029-07-01,206.71144,78.71334
