Date,Canals to Kuraz Sugar Plantations
2029-01-01,10.0
2029-01-02,10.0
2029-01-03,10.0
2029-01-04,10.0
2029-01-05,10.0
2029-01-06,10.0
2029-01-07,10.0
2029-01-08,10.0
2029-01-09,10.0
2029-01-10,10.0
2029-01-11,10.0
2029-01-12,10.0
2029-01-13,10.0
2029-01-14,10.0
2029-01-15,10.0
2029-01-16,10.0
2029-01-17,10.0
2029-01-18,10.0
2029-01-19,10.0
2029-01-20,10.0
2029-01-21,10.0
2029-01-22,10.0
2029-01-23,10.0
2029-01-24,10.0
2029-01-25,10.0
2029-01-26,10.0
2029-01-27,10.0
2029-01-28,10.0
2029-01-29,10.0
2029-01-30,10.0
2029-01-31,10.0
2029-02-01,10.0
2029-02-02,10.0
2029-02-03,10.0
2029-02-04,10.0
2029-02-05,10.0
2029-02-06,10.0
2029-02-07,10.0
2029-02-08,10.0
2029-02-09,10.0
2029-02-10,10.0
2029-02-11,10.0
2029-02-12,10.0
2029-02-13,10.0
2029-02-14,10.0
2029-02-15,10.0
2029-02-16,10.0
2029-02-17,10.0
2029-02-18,10.0
2029-02-19,10.0
2029-02-20,10.0
2029-02-21,10.0
2029-02-22,10.0
2029-02-23,10.0
2029-02-24,10.0
2029-02-25,10.0
2029-02-26,10.0
2029-02-27,10.0
2029-02-28,10.0
2029-03-01,10.0
2029-03-02,10.0
2029-03-03,10.0
2029-03-04,10.0
2029-03-05,10.0
2029-03-06,10.0
2029-03-07,10.0
2029-03-08,10.0
2029-03-09,10.0
2029-03-10,10.0
2029-03-11,10.0
2029-03-12,10.0
2029-03-13,10.0
2029-03-14,10.0
2029-03-15,10.0
2029-03-16,10.0
2029-03-17,10.0
2029-03-18,10.0
2029-03-19,10.0
2029-03-20,10.0
2029-03-21,10.0
2029-03-22,10.0
2029-03-23,10.0
2029-03-24,10.0
2029-03-25,10.0
2029-03-26,10.0
2029-03-27,10.0
2029-03-28,10.0
2029-03-29,10.0
2029-03-30,10.0
2029-03-31,10.0
2029-04-01,10.0
2029-04-02,10.0
2029-04-03,10.0
2029-04-04,10.0
2029-04-05,10.0
2029-04-06,10.0
2029-04-07,10.0
2029-04-08,10.0
2029-04-09,10.0
2029-04-10,10.0
2029-04-11,10.0
2029-04-12,10.0
2029-04-13,10.0
2029-04-14,10.0
2029-04-15,10.0
2029-04-16,10.0
2029-04-17,10.0
2029-04-18,10.0
2029-04-19,10.0
2029-04-20,10.0
2029-04-21,10.0
2029-04-22,10.0
2029-04-23,10.0
2029-04-24,10.0
2029-04-25,10.0
2029-04-26,10.0
2029-04-27,10.0
2029-04-28,10.0
2029-04-29,10.0
2029-04-30,10.0
2029-05-01,10.0
2029-05-02,10.0
2029-05-03,10.0
2029-05-04,10.0
2029-05-05,10.0
2029-05-06,10.0
2029-05-07,10.0
2029-05-08,10.0
2029-05-09,10.0
2029-05-10,10.0
2029-05-11,10.0
2029-05-12,10.0
2029-05-13,10.0
2029-05-14,10.0
2029-05-15,10.0
2029-05-16,10.0
2029-05-17,10.0
2029-05-18,10.0
2029-05-19,10.0
2029-05-20,10.0
2029-05-21,10.0
2029-05-22,10.0
2029-05-23,10.0
2029-05-24,10.0
2029-05-25,10.0
2029-05-26,10.0
2029-05-27,10.0
2029-05-28,10.0
2029-05-29,10.0
2029-05-30,10.0
2029-05-31,10.0
2029-06-01,10.0
2029-06-02,10.0
2029-06-03,10.0
2029-06-04,10.0
2029-06-05,10.0
2029-06-06,10.0
2029-06-07,10.0
2029-06-08,10.0
2029-06-09,10.0
2029-06-10,10.0
2029-06-11,10.0
2029-06-12,10.0
2029-06-13,10.0
2029-06-14,10.0
2029-06-15,10.0
2029-06-16,10.0
2029-06-17,10.0
2029-06-18,10.0
2029-06-19,10.0
2029-06-20,10.0
