Date,Gibe-III,Koysha
2029-01-01,166.91807,69.00364
2029-01-02,166.70957,69.06125
2029-01-03,166.50047,69.11885
2029-01-04,166.29082,69.17646
2029-01-05,166.08063,69.23407
2029-01-06,165.86983,69.29168
2029-01-07,165.65848,69.34929
2029-01-08,165.44656,69.4069
2029-01-09,165.23404,69.46413
2029-01-10,165.02095,69.52098
2029-01-11,164.80727,69.57783
2029-01-12,164.59299,69.63468
2029-01-13,164.37813,69.69153
2029-01-14,164.16265,69.74838
2029-01-15,163.94657,69.80524
2029-01-16,163.72991,69.86202
2029-01-17,163.51259,69.91808
2029-01-18,163.29467,69.97414
2029-01-19,163.07616,70.0302
2029-01-20,162.85697,70.08625
2029-01-21,162.63718,70.14231
2029-01-22,162.41677,70.19837
2029-01-23,162.19568,70.25442
2029-01-24,161.97397,70.31013
2029-01-25,161.75161,70.36548
2029-01-26,161.52858,70.42083
2029-01-27,161.30492,70.47617
2029-01-28,161.08058,70.53152
2029-01-29,160.85556,70.58687
2029-01-30,160.62989,70.64221
2029-01-31,160.40352,70.69756
2029-02-01,160.17647,70.75223
2029-02-02,159.94378,70.79312
2029-02-03,159.71033,70.83401
2029-02-04,159.47615,70.8749
2029-02-05,159.24126,70.91579
2029-02-06,159.00561,70.95668
2029-02-07,158.76921,70.99757
2029-02-08,158.53207,71.03847
2029-02-09,158.29417,71.07936
2029-02-10,158.05549,71.12011
2029-02-11,157.81605,71.1605
2029-02-12,157.57585,71.20089
2029-02-13,157.33483,71.24128
2029-02-14,157.09304,71.28167
2029-02-15,156.85047,71.32206
2029-02-16,156.60705,71.36246
2029-02-17,156.36285,71.40285
2029-02-18,156.11786,71.44324
2029-02-19,155.87199,71.48363
2029-02-20,155.62532,71.5239
2029-02-21,155.37784,71.56381
2029-02-22,155.12946,71.60372
2029-02-23,154.88025,71.64362
2029-02-24,154.63021,71.68353
2029-02-25,154.37927,71.72344
2029-02-26,154.12746,71.76334
2029-02-27,153.8748,71.80325
2029-02-28,153.62123,71.84316
2029-03-01,153.36674,71.88307
2029-03-02,153.10385,71.90561
2029-03-03,152.84,71.928
2029-03-04,152.57514,71.95029
2029-03-05,152.30931,71.97257
2029-03-06,152.04251,71.99485
2029-03-07,151.77471,72.01713
2029-03-08,151.50587,72.03942
2029-03-09,151.23603,72.0617
2029-03-10,150.96519,72.08398
2029-03-11,150.69327,72.10627
2029-03-12,150.4203,72.12855
2029-03-13,150.1463,72.15083
2029-03-14,149.87125,72.17311
2029-03-15,149.59506,72.1954
2029-03-16,149.31781,72.21768
2029-03-17,149.03948,72.23996
2029-03-18,148.76003,72.26225
2029-03-19,148.47943,72.28453
2029-03-20,148.19771,72.30681
2029-03-21,147.91488,72.32888
2029-03-22,147.63087,72.3509
2029-03-23,147.34567,72.37293
2029-03-24,147.05932,72.39495
2029-03-25,146.7718,72.41697
2029-03-26,146.48302,72.43897
2029-03-27,146.19303,72.46094
2029-03-28,145.90185,72.48291
2029-03-29,145.60944,72.50488
2029-03-30,145.3157,72.52684
2029-03-31,145.02073,72.54881
2029-04-01,144.72451,72.57078
2029-04-02,144.44498,72.63218
2029-04-03,144.1643,72.69358
2029-04-04,143.88252,72.75437
2029-04-05,143.59948,72.81507
2029-04-06,143.31529,72.87576
2029-04-07,143.02993,72.93641
2029-04-08,142.7433,72.99705
2029-04-09,142.4555,73.05769
2029-04-10,142.16643,73.118
2029-04-11,141.8761,73.17796
2029-04-12,141.58457,73.23793
2029-04-13,141.29167,73.29789
2029-04-14,140.99753,73.35785
2029-04-15,140.7021,73.41779
2029-04-16,140.40528,73.47762
2029-04-17,140.10721,73.53687
2029-04-18,139.80773,73.59612
2029-04-19,139.50688,73.65537
2029-04-20,139.20473,73.71461
2029-04-21,138.90107,73.77386
2029-04-22,138.59606,73.83311
2029-04-23,138.28963,73.89188
2029-04-24,137.98169,73.95046
2029-04-25,137.67237,74.00901
2029-04-26,137.3615,74.06757
2029-04-27,137.04915,74.12612
2029-04-28,136.73536,74.18467
2029-04-29,136.41989,74.243
2029-04-30,136.10296,74.30093
2029-05-01,135.78446,74.35885
2029-05-02,135.49983,74.47905
2029-05-03,135.21396,74.59915
2029-05-04,134.92682,74.71806
2029-05-05,134.63834,74.83696
2029-05-06,134.34862,74.95581
2029-05-07,134.05747,75.07347
2029-05-08,133.7651,75.19109
2029-05-09,133.47122,75.30871
2029-05-10,133.17608,75.42521
2029-05-11,132.87949,75.54158
2029-05-12,132.58152,75.65795
2029-05-13,132.28213,75.77337
2029-05-14,131.98126,75.88852
2029-05-15,131.67902,76.00367
2029-05-16,131.37517,76.11799
2029-05-17,131.06997,76.232
2029-05-18,130.76311,76.34599
2029-05-19,130.45483,76.45923
2029-05-20,130.14493,76.57208
2029-05-21,129.83348,76.68492
2029-05-22,129.52047,76.79714
2029-05-23,129.20578,76.90885
2029-05-24,128.88958,77.02056
