Date,Gibe-III,Koysha
2029-01-01,110637550.0,74182119.0
2029-01-02,110341311.0,74194599.0
2029-01-03,110044670.0,74207079.0
2029-01-04,109747671.0,74219558.0
2029-01-05,109450318.0,74232038.0
2029-01-06,109152563.0,74244518.0
2029-01-07,108854446.0,74256997.0
2029-01-08,108555961.0,74269477.0
2029-01-09,108257076.0,74281957.0
2029-01-10,107957828.0,74294429.0
2029-01-11,107658192.0,74306901.0
2029-01-12,107358157.0,74319373.0
2029-01-13,107057755.0,74331844.0
2029-01-14,106756949.0,74344316.0
2029-01-15,106455747.0,74356788.0
2029-01-16,106154172.0,74369260.0
2029-01-17,105852176.0,74381732.0
2029-01-18,105549788.0,74394197.0
2029-01-19,105247025.0,74406661.0
2029-01-20,104943820.0,74419125.0
2029-01-21,104640225.0,74431588.0
2029-01-22,104336240.0,74444052.0
2029-01-23,104031815.0,74456516.0
2029-01-24,103726993.0,74468980.0
2029-01-25,103421764.0,74481444.0
2029-01-26,103116098.0,74493902.0
2029-01-27,102810034.0,74506358.0
2029-01-28,102503540.0,74518814.0
2029-01-29,102196611.0,74531270.0
2029-01-30,101889277.0,74543726.0
2029-01-31,101581497.0,74556182.0
2029-02-01,101273282.0,74568638.0
2029-02-02,100957909.0,74577693.0
2029-02-03,100642055.0,74586748.0
2029-02-04,100325745.0,74595797.0
2029-02-05,100008992.0,74604846.0
2029-02-06,99691756.0,74613895.0
2029-02-07,99374054.0,74622944.0
2029-02-08,99055895.0,74631994.0
2029-02-09,98737258.0,74641043.0
2029-02-10,98418133.0,74650092.0
2029-02-11,98098541.0,74659141.0
2029-02-12,97778476.0,74668190.0
2029-02-13,97457900.0,74677240.0
2029-02-14,97136848.0,74686289.0
2029-02-15,96815322.0,74695333.0
2029-02-16,96493267.0,74704376.0
2029-02-17,96170732.0,74713420.0
2029-02-18,95847717.0,74722463.0
2029-02-19,95524154.0,74731507.0
2029-02-20,95200109.0,74740550.0
2029-02-21,94875566.0,74749579.0
2029-02-22,94550480.0,74758608.0
2029-02-23,94224887.0,74767637.0
2029-02-24,93898786.0,74776666.0
2029-02-25,93572146.0,74785695.0
2029-02-26,93244974.0,74794720.0
2029-02-27,92917290.0,74803743.0
2029-02-28,92589058.0,74812767.0
2029-03-01,92260274.0,74821790.0
2029-03-02,91921258.0,74825620.0
2029-03-03,91581678.0,74829450.0
2029-03-04,91241490.0,74833279.0
2029-03-05,90900728.0,74837109.0
2029-03-06,90559390.0,74840939.0
2029-03-07,90217456.0,74844769.0
2029-03-08,89874910.0,74848599.0
2029-03-09,89531774.0,74852428.0
2029-03-10,89188046.0,74856258.0
2029-03-11,88843686.0,74860088.0
2029-03-12,88498712.0,74863918.0
2029-03-13,88153131.0,74867748.0
2029-03-14,87806938.0,74871578.0
2029-03-15,87460079.0,74875408.0
2029-03-16,87112604.0,74879237.0
2029-03-17,86764502.0,74883067.0
2029-03-18,86415753.0,74886897.0
2029-03-19,86066332.0,74890726.0
2029-03-20,85716276.0,74894553.0
2029-03-21,85365574.0,74898380.0
2029-03-22,85014193.0,74902208.0
2029-03-23,84662129.0,74906035.0
2029-03-24,84309410.0,74909863.0
2029-03-25,83956024.0,74913690.0
2029-03-26,83601919.0,74917518.0
2029-03-27,83247126.0,74921345.0
2029-03-28,82891656.0,74925172.0
2029-03-29,82535494.0,74929000.0
2029-03-30,82178582.0,74932827.0
