Date,Gibe-III,Koysha
2029-01-01,110637550.0,15434091.0
2029-01-02,110341311.0,15462067.0
2029-01-03,110044670.0,15490042.0
2029-01-04,109747671.0,15518018.0
2029-01-05,109450318.0,15545994.0
2029-01-06,109152563.0,15573970.0
2029-01-07,108854446.0,15601945.0
2029-01-08,108555961.0,15629921.0
2029-01-09,108257076.0,15657810.0
2029-01-10,107957828.0,15685611.0
2029-01-11,107658192.0,15713413.0
2029-01-12,107358157.0,15741215.0
2029-01-13,107057755.0,15769016.0
2029-01-14,106756949.0,15796818.0
2029-01-15,106455747.0,15824620.0
2029-01-16,106154172.0,15852391.0
2029-01-17,105852176.0,15879994.0
2029-01-18,105549788.0,15907596.0
2029-01-19,105247025.0,15935198.0
2029-01-20,104943820.0,15962800.0
2029-01-21,104640225.0,15990403.0
2029-01-22,104336240.0,16018005.0
2029-01-23,104031815.0,16045607.0
2029-01-24,103726993.0,16073128.0
2029-01-25,103421764.0,16100565.0
2029-01-26,103116098.0,16128002.0
2029-01-27,102810034.0,16155439.0
2029-01-28,102503540.0,16182876.0
2029-01-29,102196611.0,16210313.0
2029-01-30,101889277.0,16237750.0
2029-01-31,101581497.0,16265187.0
2029-02-01,101273282.0,16292466.0
2029-02-02,100957909.0,16312871.0
2029-02-03,100642055.0,16333276.0
2029-02-04,100325745.0,16353681.0
2029-02-05,100008992.0,16374087.0
2029-02-06,99691756.0,16394492.0
2029-02-07,99374054.0,16414897.0
2029-02-08,99055895.0,16435302.0
2029-02-09,98737258.0,16455708.0
2029-02-10,98418133.0,16476080.0
2029-02-11,98098541.0,16496367.0
2029-02-12,97778476.0,16516655.0
2029-02-13,97457900.0,16536942.0
2029-02-14,97136848.0,16557230.0
2029-02-15,96815322.0,16577518.0
2029-02-16,96493267.0,16597805.0
2029-02-17,96170732.0,16618093.0
2029-02-18,95847717.0,16638380.0
2029-02-19,95524154.0,16658668.0
2029-02-20,95200109.0,16678927.0
2029-02-21,94875566.0,16699100.0
2029-02-22,94550480.0,16719272.0
2029-02-23,94224887.0,16739445.0
2029-02-24,93898786.0,16759618.0
2029-02-25,93572146.0,16779790.0
2029-02-26,93244974.0,16799963.0
2029-02-27,92917290.0,16820135.0
2029-02-28,92589058.0,16840308.0
2029-03-01,92260274.0,16860480.0
2029-03-02,91921258.0,16871879.0
2029-03-03,91581678.0,16883238.0
2029-03-04,91241490.0,16894573.0
2029-03-05,90900728.0,16905908.0
2029-03-06,90559390.0,16917242.0
2029-03-07,90217456.0,16928577.0
2029-03-08,89874910.0,16939912.0
2029-03-09,89531774.0,16951246.0
2029-03-10,89188046.0,16962581.0
2029-03-11,88843686.0,16973916.0
2029-03-12,88498712.0,16985250.0
2029-03-13,88153131.0,16996585.0
2029-03-14,87806938.0,17007920.0
2029-03-15,87460079.0,17019254.0
2029-03-16,87112604.0,17030589.0
2029-03-17,86764502.0,17041924.0
2029-03-18,86415753.0,17053258.0
2029-03-19,86066332.0,17064593.0
2029-03-20,85716276.0,17075928.0
2029-03-21,85365574.0,17087210.0
2029-03-22,85014193.0,17098483.0
2029-03-23,84662129.0,17109755.0
2029-03-24,84309410.0,17121028.0
2029-03-25,83956024.0,17132300.0
2029-03-26,83601919.0,17143559.0
2029-03-27,83247126.0,17154802.0
2029-03-28,82891656.0,17166046.0
2029-03-29,82535494.0,17177290.0
2029-03-30,82178582.0,17188534.0
2029-03-31,81820975.0,17199778.0
2029-04-01,81462662.0,17211022.0
