Date,Gibe-III,Koysha
2029-01-01,5875000000.0,3000000000.0
2029-01-02,5851941568.0,3000740448.0
2029-01-03,5828883136.0,3001480896.0
2029-01-04,5805824704.0,3002221344.0
2029-01-05,5782767136.0,3002961792.0
2029-01-06,5759709568.0,3003702240.0
2029-01-07,5736652000.0,3004442688.0
2029-01-08,5713595296.0,3005183136.0
2029-01-09,5690538592.0,3005923584.0
2029-01-10,5667482320.0,3006664032.0
2029-01-11,5644426480.0,3007404480.0
2029-01-12,5621370640.0,3008144928.0
2029-01-13,5598315232.0,3008885376.0
2029-01-14,5575260256.0,3009625824.0
2029-01-15,5552205280.0,3010366272.0
2029-01-16,5529150736.0,3011106720.0
2029-01-17,5506096624.0,3011847168.0
2029-01-18,5483042512.0,3012587616.0
2029-01-19,5459989264.0,3013328064.0
2029-01-20,5436936016.0,3014068512.0
2029-01-21,5413882768.0,3014808960.0
2029-01-22,5390830384.0,3015549408.0
2029-01-23,5367778000.0,3016289856.0
2029-01-24,5344725616.0,3017030304.0
2029-01-25,5321674096.0,3017770752.0
2029-01-26,5298622576.0,3018511200.0
2029-01-27,5275571488.0,3019251648.0
2029-01-28,5252520832.0,3019992096.0
2029-01-29,5229470176.0,3020732544.0
2029-01-30,5206419952.0,3021472992.0
2029-01-31,5183370160.0,3022213440.0
2029-02-01,5160320368.0,3022953888.0
2029-02-02,5136767728.0,3023492160.0
2029-02-03,5113215088.0,3024030432.0
2029-02-04,5089662880.0,3024568704.0
2029-02-05,5066111104.0,3025106976.0
2029-02-06,5042559328.0,3025645248.0
2029-02-07,5019008416.0,3026183520.0
2029-02-08,4995457504.0,3026721792.0
2029-02-09,4971907024.0,3027260064.0
2029-02-10,4948356976.0,3027798336.0
2029-02-11,4924806928.0,3028336608.0
2029-02-12,4901257744.0,3028874880.0
2029-02-13,4877708560.0,3029413152.0
2029-02-14,4854159376.0,3029951424.0
2029-02-15,4830611056.0,3030489696.0
2029-02-16,4807062736.0,3031027968.0
2029-02-17,4783514848.0,3031566240.0
2029-02-18,4759967392.0,3032104512.0
2029-02-19,4736419936.0,3032642784.0
2029-02-20,4712873344.0,3033181056.0
2029-02-21,4689326752.0,3033718464.0
2029-02-22,4665780592.0,3034255872.0
2029-02-23,4642234864.0,3034793280.0
2029-02-24,4618689136.0,3035330688.0
2029-02-25,4595144272.0,3035868096.0
2029-02-26,4571599408.0,3036405504.0
2029-02-27,4548054976.0,3036942912.0
2029-02-28,4524510976.0,3037480320.0
2029-03-01,4500966976.0,3038017728.0
2029-03-02,4476730048.0,3038245824.0
2029-03-03,4452493984.0,3038473920.0
2029-03-04,4428258784.0,3038702016.0
2029-03-05,4404024016.0,3038930112.0
2029-03-06,4379789680.0,3039158208.0
2029-03-07,4355556208.0,3039386304.0
2029-03-08,4331323600.0,3039614400.0
2029-03-09,4307091424.0,3039842496.0
2029-03-10,4282859680.0,3040070592.0
2029-03-11,4258628800.0,3040298688.0
2029-03-12,4234398784.0,3040526784.0
2029-03-13,4210169200.0,3040754880.0
2029-03-14,4185940048.0,3040982976.0
2029-03-15,4161711760.0,3041211072.0
2029-03-16,4137484336.0,3041439168.0
2029-03-17,4113257344.0,3041667264.0
2029-03-18,4089030784.0,3041895360.0
2029-03-19,4064805088.0,3042123456.0
2029-03-20,4040580256.0,3042351552.0
2029-03-21,4016355856.0,3042579648.0
2029-03-22,3992132320.0,3042807744.0
2029-03-23,3967909216.0,3043035840.0
2029-03-24,3943686976.0,3043263936.0
2029-03-25,3919465168.0,3043492032.0
2029-03-26,3895244224.0,3043720128.0
2029-03-27,3871023712.0,3043948224.0
2029-03-28,3846804064.0,3044176320.0
2029-03-29,3822585280.0,3044404416.0
2029-03-30,3798366928.0,3044632512.0
2029-03-31,3774149440.0,3044860608.0
2029-04-01,3749932384.0,3045088704.0
2029-04-02,3727180672.0,3045850752.0
2029-04-03,3704429824.0,3046612800.0
2029-04-04,3681680272.0,3047374848.0
2029-04-05,3658931584.0,3048136896.0
2029-04-06,3636183760.0,3048898944.0
2029-04-07,3613437232.0,3049660992.0
2029-04-08,3590692000.0,3050423040.0
2029-04-09,3567947632.0,3051185088.0
2029-04-10,3545204128.0,3051947136.0
2029-04-11,3522461920.0,3052709184.0
2029-04-12,3499720576.0,3053471232.0
2029-04-13,3476980528.0,3054233280.0
2029-04-14,3454241344.0,3054995328.0
2029-04-15,3431503456.0,3055756512.0
2029-04-16,3408766432.0,3056517696.0
2029-04-17,3386030704.0,3057278880.0
2029-04-18,3363295840.0,3058040064.0
2029-04-19,3340562272.0,3058801248.0
2029-04-20,3317829568.0,3059562432.0
2029-04-21,3295098160.0,3060323616.0
2029-04-22,3272367616.0,3061084800.0
2029-04-23,3249638368.0,3061845984.0
2029-04-24,3226910416.0,3062607168.0
2029-04-25,3204183328.0,3063368352.0
2029-04-26,3181457104.0,3064129536.0
2029-04-27,3158732176.0,3064890720.0
2029-04-28,3136008544.0,3065651904.0
2029-04-29,3113285776.0,3066413088.0
2029-04-30,3090564304.0,3067174272.0
2029-05-01,3067843696.0,3067935456.0
2029-05-02,3047639488.0,3069686784.0
2029-05-03,3027436144.0,3071438112.0
2029-05-04,3007234096.0,3073189440.0
2029-05-05,2987033344.0,3074940768.0
2029-05-06,2966833456.0,3076691232.0
2029-05-07,2946634432.0,3078441696.0
2029-05-08,2926436704.0,3080192160.0
2029-05-09,2906240272.0,3081942624.0
2029-05-10,2886044704.0,3083693088.0
2029-05-11,2865850432.0,3085443552.0
2029-05-12,2845657456.0,3087194016.0
2029-05-13,2825465344.0,3088944480.0
