Date,Canals to Kuraz Sugar Plantations,Outflow to Lake Turkana
2029-01-01,98.99,19.21
2029-01-02,98.99,19.21
2029-01-03,98.99,19.21
2029-01-04,98.99,19.21
2029-01-05,98.99,19.21
2029-01-06,98.99,19.21
2029-01-07,98.99,19.21
2029-01-08,98.99,19.21
2029-01-09,98.99,19.21
2029-01-10,98.99,19.21
2029-01-11,98.99,19.21
2029-01-12,98.99,19.21
2029-01-13,98.99,19.21
2029-01-14,98.99,19.21
2029-01-15,98.99,19.21
2029-01-16,98.99,19.21
2029-01-17,98.99,19.21
2029-01-18,98.99,19.21
2029-01-19,98.99,19.21
2029-01-20,98.99,19.21
2029-01-21,98.99,19.21
2029-01-22,98.99,19.21
2029-01-23,98.99,19.21
2029-01-24,98.99,19.21
2029-01-25,98.99,19.21
2029-01-26,98.99,19.21
2029-01-27,98.99,19.21
2029-01-28,98.99,19.21
2029-01-29,98.99,19.21
2029-01-30,98.99,19.21
2029-01-31,98.99,19.21
2029-02-01,98.23,15.51
2029-02-02,98.23,15.51
2029-02-03,98.23,15.51
2029-02-04,98.23,15.51
2029-02-05,98.23,15.51
2029-02-06,98.23,15.51
2029-02-07,98.23,15.51
2029-02-08,98.23,15.51
2029-02-09,98.23,15.51
2029-02-10,98.23,15.51
2029-02-11,98.23,15.51
2029-02-12,98.23,15.51
2029-02-13,98.23,15.51
2029-02-14,98.23,15.51
2029-02-15,98.23,15.51
2029-02-16,98.23,15.51
2029-02-17,98.23,15.51
2029-02-18,98.23,15.51
2029-02-19,98.23,15.51
2029-02-20,98.23,15.51
2029-02-21,98.23,15.51
2029-02-22,98.23,15.51
2029-02-23,98.23,15.51
2029-02-24,98.23,15.51
2029-02-25,98.23,15.51
2029-02-26,98.23,15.51
2029-02-27,98.23,15.51
2029-02-28,98.23,15.51
2029-03-01,93.52,9.57
2029-03-02,93.52,9.57
2029-03-03,93.52,9.57
2029-03-04,93.52,9.57
2029-03-05,93.52,9.57
2029-03-06,93.52,9.57
2029-03-07,93.52,9.57
2029-03-08,93.52,9.57
2029-03-09,93.52,9.57
2029-03-10,93.52,9.57
2029-03-11,93.52,9.57
2029-03-12,93.52,9.57
2029-03-13,93.52,9.57
2029-03-14,93.52,9.57
2029-03-15,93.52,9.57
2029-03-16,93.52,9.57
2029-03-17,93.52,9.57
2029-03-18,93.52,9.57
2029-03-19,93.52,9.57
2029-03-20,93.52,9.57
2029-03-21,93.52,9.57
2029-03-22,93.52,9.57
2029-03-23,93.52,9.57
2029-03-24,93.52,9.57
2029-03-25,93.52,9.57
2029-03-26,93.52,9.57
2029-03-27,93.52,9.57
2029-03-28,93.52,9.57
2029-03-29,93.52,9.57
2029-03-30,93.52,9.57
2029-03-31,93.52,9.57
2029-04-01,0.0,21.88
2029-04-02,0.0,21.88
2029-04-03,0.0,21.88
2029-04-04,0.0,21.88
2029-04-05,0.0,21.88
2029-04-06,0.0,21.88
2029-04-07,0.0,21.88
2029-04-08,0.0,21.88
2029-04-09,0.0,21.88
2029-04-10,0.0,21.88
2029-04-11,0.0,21.88
2029-04-12,0.0,21.88
2029-04-13,0.0,21.88
2029-04-14,0.0,21.88
2029-04-15,0.0,21.88
2029-04-16,0.0,21.88
2029-04-17,0.0,21.88
2029-04-18,0.0,21.88
2029-04-19,0.0,21.88
2029-04-20,0.0,21.88
2029-04-21,0.0,21.88
2029-04-22,0.0,21.88
2029-04-23,0.0,21.88
2029-04-24,0.0,21.88
2029-04-25,0.0,21.88
2029-04-26,0.0,21.88
2029-04-27,0.0,21.88
2029-04-28,0.0,21.88
2029-04-29,0.0,21.88
2029-04-30,0.0,21.88
2029-05-01,94.28,31.09
2029-05-02,94.28,31.09
2029-05-03,94.28,31.09
2029-05-04,94.28,31.09
2029-05-05,94.28,31.09
2029-05-06,94.28,31.09
2029-05-07,94.28,31.09
2029-05-08,94.28,31.09
2029-05-09,94.28,31.09
2029-05-10,94.28,31.09
2029-05-11,94.28,31.09
2029-05-12,94.28,31.09
2029-05-13,94.28,31.09
2029-05-14,94.28,31.09
2029-05-15,94.28,31.09
2029-05-16,94.28,31.09
2029-05-17,94.28,31.09
2029-05-18,94.28,31.09
2029-05-19,94.28,31.09
2029-05-20,94.28,31.09
2029-05-21,94.28,31.09
2029-05-22,94.28,31.09
2029-05-23,94.28,31.09
2029-05-24,94.28,31.09
2029-05-25,94.28,31.09
2029-05-26,94.28,31.09
2029-05-27,94.28,31.09
2029-05-28,94.28,31.09
2029-05-29,94.28,31.09
2029-05-30,94.28,31.09
2029-05-31,94.28,31.09
2029-06-01,94.28,41.04
2029-06-02,94.28,41.04
2029-06-03,94.28,41.04
2029-06-04,94.28,41.04
2029-06-05,94.28,41.04
2029-06-06,94.28,41.04
2029-06-07,94.28,41.04
2029-06-08,94.28,41.04
2029-06-09,94.28,41.04
2029-06-10,94.28,41.04
2029-06-11,94.28,41.04
2029-06-12,94.28,41.04
2029-06-13,94.28,41.04
2029-06-14,94.28,41.04
2029-06-15,94.28,41.04
2029-06-16,94.28,41.04
2029-06-17,94.28,41.04
2029-06-18,94.28,41.04
2029-06-19,94.28,41.04
2029-06-20,94.28,41.04
2029-06-21,94.28,41.04
2029-06-22,94.28,41.04
2029-06-23,94.28,41.04
2029-06-24,94.28,41.04
2029-06-25,94.28,41.04
2029-06-26,94.28,41.04
2029-06-27,94.28,41.04
2029-06-28,94.28,41.04
2029-06-29,94.28,41.04
2029-06-30,94.28,41.04
2029-07-01,96.65,46.71
2029-07-02,96.65,46.71
2029-07-03,96.65,46.71
2029-07-04,96.65,46.71
2029-07-05,96.65,46.71
2029-07-06,96.65,46.71
