Date,Canals to Kuraz Sugar Plantations,Outflow to Lake Turkana
2029-01-01,97.77,5.71
2029-01-02,97.77,5.71
2029-01-03,97.77,5.71
2029-01-04,97.77,5.71
2029-01-05,97.77,5.71
2029-01-06,97.77,5.71
2029-01-07,97.77,5.71
2029-01-08,97.77,5.71
2029-01-09,97.77,5.71
2029-01-10,97.77,5.71
2029-01-11,97.77,5.71
2029-01-12,97.77,5.71
2029-01-13,97.77,5.71
2029-01-14,97.77,5.71
2029-01-15,97.77,5.71
2029-01-16,97.77,5.71
2029-01-17,97.77,5.71
2029-01-18,97.77,5.71
2029-01-19,97.77,5.71
2029-01-20,97.77,5.71
2029-01-21,97.77,5.71
2029-01-22,97.77,5.71
2029-01-23,97.77,5.71
2029-01-24,97.77,5.71
2029-01-25,97.77,5.71
2029-01-26,97.77,5.71
2029-01-27,97.77,5.71
2029-01-28,97.77,5.71
2029-01-29,97.77,5.71
2029-01-30,97.77,5.71
2029-01-31,97.77,5.71
2029-02-01,55.58,4.11
2029-02-02,55.58,4.11
2029-02-03,55.58,4.11
2029-02-04,55.58,4.11
2029-02-05,55.58,4.11
2029-02-06,55.58,4.11
2029-02-07,55.58,4.11
2029-02-08,55.58,4.11
2029-02-09,55.58,4.11
2029-02-10,55.58,4.11
2029-02-11,55.58,4.11
2029-02-12,55.58,4.11
2029-02-13,55.58,4.11
2029-02-14,55.58,4.11
2029-02-15,55.58,4.11
2029-02-16,55.58,4.11
2029-02-17,55.58,4.11
2029-02-18,55.58,4.11
2029-02-19,55.58,4.11
2029-02-20,55.58,4.11
2029-02-21,55.58,4.11
2029-02-22,55.58,4.11
2029-02-23,55.58,4.11
2029-02-24,55.58,4.11
2029-02-25,55.58,4.11
2029-02-26,55.58,4.11
2029-02-27,55.58,4.11
2029-02-28,55.58,4.11
2029-03-01,14.43,2.16
2029-03-02,14.43,2.16
2029-03-03,14.43,2.16
2029-03-04,14.43,2.16
2029-03-05,14.43,2.16
2029-03-06,14.43,2.16
2029-03-07,14.43,2.16
2029-03-08,14.43,2.16
2029-03-09,14.43,2.16
2029-03-10,14.43,2.16
2029-03-11,14.43,2.16
2029-03-12,14.43,2.16
2029-03-13,14.43,2.16
2029-03-14,14.43,2.16
2029-03-15,14.43,2.16
2029-03-16,14.43,2.16
2029-03-17,14.43,2.16
2029-03-18,14.43,2.16
2029-03-19,14.43,2.16
2029-03-20,14.43,2.16
2029-03-21,14.43,2.16
2029-03-22,14.43,2.16
2029-03-23,14.43,2.16
2029-03-24,14.43,2.16
2029-03-25,14.43,2.16
2029-03-26,14.43,2.16
2029-03-27,14.43,2.16
2029-03-28,14.43,2.16
2029-03-29,14.43,2.16
2029-03-30,14.43,2.16
2029-03-31,14.43,2.16
2029-04-01,0.0,7.13
2029-04-02,0.0,7.13
2029-04-03,0.0,7.13
2029-04-04,0.0,7.13
2029-04-05,0.0,7.13
2029-04-06,0.0,7.13
2029-04-07,0.0,7.13
2029-04-08,0.0,7.13
2029-04-09,0.0,7.13
2029-04-10,0.0,7.13
2029-04-11,0.0,7.13
2029-04-12,0.0,7.13
2029-04-13,0.0,7.13
2029-04-14,0.0,7.13
2029-04-15,0.0,7.13
2029-04-16,0.0,7.13
2029-04-17,0.0,7.13
2029-04-18,0.0,7.13
2029-04-19,0.0,7.13
2029-04-20,0.0,7.13
2029-04-21,0.0,7.13
2029-04-22,0.0,7.13
2029-04-23,0.0,7.13
2029-04-24,0.0,7.13
2029-04-25,0.0,7.13
2029-04-26,0.0,7.13
2029-04-27,0.0,7.13
2029-04-28,0.0,7.13
2029-04-29,0.0,7.13
2029-04-30,0.0,7.13
2029-05-01,16.49,15.2
2029-05-02,16.49,15.2
2029-05-03,16.49,15.2
2029-05-04,16.49,15.2
2029-05-05,16.49,15.2
2029-05-06,16.49,15.2
2029-05-07,16.49,15.2
2029-05-08,16.49,15.2
2029-05-09,16.49,15.2
2029-05-10,16.49,15.2
2029-05-11,16.49,15.2
2029-05-12,16.49,15.2
2029-05-13,16.49,15.2
2029-05-14,16.49,15.2
2029-05-15,16.49,15.2
2029-05-16,16.49,15.2
