Date,Canals to Kuraz Sugar Plantations,Flow A,Flow B,Flow C,Gibe-III Evaporation,Gibe-III Release,Koysha Evaporation,Koysha Release,Main Channel,Outflow to Lake Turkana
2029-01-01,33.12,53.61,21.44,15.01,1.29,319.2,0.87,331.2,298.08,313.09
2029-01-02,33.12,53.61,21.44,15.01,1.29,319.2,0.87,331.2,298.08,313.09
2029-01-03,33.12,53.61,21.44,15.01,1.29,319.2,0.87,331.2,298.08,313.09
2029-01-04,33.12,53.61,21.44,15.01,1.28,319.2,0.87,331.2,298.08,313.09
2029-01-05,33.12,53.61,21.44,15.01,1.28,319.2,0.87,331.2,298.08,313.09
2029-01-06,33.12,53.61,21.44,15.01,1.28,319.2,0.87,331.2,298.08,313.09
2029-01-07,33.12,53.61,21.44,15.01,1.27,319.2,0.87,331.2,298.08,313.09
2029-01-08,33.12,53.61,21.44,15.01,1.27,319.2,0.87,331.2,298.08,313.09
2029-01-09,33.12,53.61,21.44,15.01,1.2650000000000001,319.2,0.87,331.2,298.08,313.09
2029-01-10,33.12,53.61,21.44,15.01,1.26,319.2,0.87,331.2,298.08,313.09
2029-01-11,33.12,53.61,21.44,15.01,1.26,319.2,0.87,331.2,298.08,313.09
2029-01-12,33.12,53.61,21.44,15.01,1.255,319.2,0.87,331.2,298.08,313.09
2029-01-13,33.12,53.61,21.44,15.01,1.25,319.2,0.87,331.2,298.08,313.09
2029-01-14,33.12,53.61,21.44,15.01,1.25,319.2,0.87,331.2,298.08,313.09
2029-01-15,33.12,53.61,21.44,15.01,1.245,319.2,0.87,331.2,298.08,313.09
2029-01-16,33.12,53.61,21.44,15.01,1.24,319.2,0.87,331.2,298.08,313.09
2029-01-17,33.12,53.61,21.44,15.01,1.24,319.2,0.87,331.2,298.08,313.09
2029-01-18,33.12,53.61,21.44,15.01,1.23,319.2,0.87,331.2,298.08,313.09
2029-01-19,33.12,53.61,21.44,15.01,1.23,319.2,0.87,331.2,298.08,313.09
2029-01-20,33.12,53.61,21.44,15.01,1.23,319.2,0.87,331.2,298.08,313.09
2029-01-21,33.12,53.61,21.44,15.01,1.22,319.2,0.87,331.2,298.08,313.09
2029-01-22,33.12,53.61,21.44,15.01,1.22,319.2,0.87,331.2,298.08,313.09
2029-01-23,33.12,53.61,21.44,15.01,1.22,319.2,0.87,331.2,298.08,313.09
