Date,Gibe-III,Koysha
2029-01-01,166.91807,69.00364
2029-01-02,166.95211,69.13702
2029-01-03,166.98611,69.2704
2029-01-04,167.02009,69.40379
2029-01-05,167.05407,69.53584
2029-01-06,167.08805,69.66747
2029-01-07,167.12198,69.7991
2029-01-08,167.15591,69.92984
2029-01-09,167.18984,70.05977
2029-01-10,167.22375,70.1897
2029-01-11,167.25762,70.31917
2029-01-12,167.29149,70.44745
2029-01-13,167.32536,70.57574
2029-01-14,167.35921,70.70395
2029-01-15,167.39302,70.83064
2029-01-16,167.42684,70.95733
2029-01-17,167.46066,71.08402
2029-01-18,167.49443,71.20947
2029-01-19,167.5282,71.33461
2029-01-20,167.56196,71.45976
2029-01-21,167.59572,71.58405
2029-01-22,167.62943,71.70769
2029-01-23,167.66313,71.83134
2029-01-24,167.69684,71.9545
2029-01-25,167.73053,72.07669
2029-01-26,167.76419,72.19887
2029-01-27,167.79784,72.32093
2029-01-28,167.8315,72.4417
2029-01-29,167.86512,72.56247
2029-01-30,167.89872,72.68324
2029-01-31,167.93232,72.80284
2029-02-01,167.96592,72.92224
2029-02-02,167.99501,73.02871
2029-02-03,168.0241,73.13466
2029-02-04,168.05318,73.23994
2029-02-05,168.08227,73.34522
2029-02-06,168.11132,73.4505
2029-02-07,168.14036,73.55484
2029-02-08,168.1694,73.65896
2029-02-09,168.19845,73.76308
2029-02-10,168.22747,73.867
2029-02-11,168.25646,73.96999
2029-02-12,168.28546,74.07298
2029-02-13,168.31445,74.17597
2029-02-14,168.34344,74.27836
2029-02-15,168.37239,74.38025
2029-02-16,168.40134,74.48214
2029-02-17,168.43029,74.58403
2029-02-18,168.45923,74.68494
2029-02-19,168.48815,74.78576
2029-02-20,168.51705,74.88658
2029-02-21,168.54595,74.9871
2029-02-22,168.57485,75.08688
2029-02-23,168.60373,75.18665
2029-02-24,168.63259,75.28643
2029-02-25,168.66145,75.38554
2029-02-26,168.69031,75.4843
2029-02-27,168.71915,75.58306
2029-02-28,168.74797,75.6818
2029-03-01,168.77678,75.77956
2029-03-02,168.80017,75.8628
2029-03-03,168.82357,75.94605
2029-03-04,168.84694,76.02929
2029-03-05,168.8703,76.11177
2029-03-06,168.89366,76.19419
2029-03-07,168.91702,76.2766
2029-03-08,168.94037,76.35902
2029-03-09,168.96372,76.44091
2029-03-10,168.98704,76.52252
2029-03-11,169.01037,76.60413
2029-03-12,169.03369,76.68575
2029-03-13,169.05701,76.76705
2029-03-14,169.08033,76.84788
2029-03-15,169.10362,76.92871
2029-03-16,169.1269,77.00954
2029-03-17,169.15019,77.09026
2029-03-18,169.17347,77.17032
2029-03-19,169.19676,77.25038
2029-03-20,169.22002,77.33045
2029-03-21,169.24327,77.41051
2029-03-22,169.26652,77.48992
2029-03-23,169.28976,77.56923
2029-03-24,169.31301,77.64854
2029-03-25,169.33625,77.72785
2029-03-26,169.35946,77.80673
2029-03-27,169.38267,77.88531
2029-03-28,169.40589,77.96389
2029-03-29,169.4291,78.04246
2029-03-30,169.45231,78.1208
2029-03-31,169.47549,78.19867
2029-04-01,169.49866,78.27653
2029-04-02,169.5355,78.38902
2029-04-03,169.57234,78.50084
2029-04-04,169.60913,78.61232
2029-04-05,169.64591,78.7238
2029-04-06,169.6827,78.83458
2029-04-07,169.71944,78.94507
2029-04-08,169.75617,79.05556
2029-04-09,169.7929,79.16531
2029-04-10,169.82961,79.27484
2029-04-11,169.86628,79.38436
2029-04-12,169.90295,79.49312
2029-04-13,169.93962,79.60169
2029-04-14,169.97623,79.71027
2029-04-15,170.01285,79.81805
2029-04-16,170.04946,79.9257
2029-04-17,170.08604,80.03335
2029-04-18,170.1226,80.14018
2029-04-19,170.15916,80.24692
2029-04-20,170.19569,80.35366
2029-04-21,170.2322,80.45956
2029-04-22,170.2687,80.56541
2029-04-23,170.3052,80.67126
2029-04-24,170.34165,80.77624
2029-04-25,170.3781,80.88122
2029-04-26,170.41454,80.98617
2029-04-27,170.45095,81.09029
2029-04-28,170.48734,81.19442
2029-04-29,170.52373,81.29847
2029-04-30,170.5601,81.40176
2029-05-01,170.59644,81.50505
2029-05-02,170.65466,81.65946
2029-05-03,170.71281,81.81316
2029-05-04,170.77094,81.96631
2029-05-05,170.82901,82.11881
2029-05-06,170.88706,82.27073
2029-05-07,170.94504,82.42204
2029-05-08,171.003,82.57275
2029-05-09,171.06091,82.7229
2029-05-10,171.11878,82.87242
2029-05-11,171.1766,83.02143
2029-05-12,171.23439,83.16979
2029-05-13,171.29213,83.31769
2029-05-14,171.34983,83.4649
2029-05-15,171.4075,83.6117
2029-05-16,171.46511,83.7578
2029-05-17,171.52269,83.90352
