Date,Gibe-III,Koysha
2029-01-01,5875000000.0,300000000.0
2029-01-02,5852053024.0,300815616.0
2029-01-03,5829106048.0,301631232.0
2029-01-04,5806159072.0,302446848.0
2029-01-05,5783212096.0,303262464.0
2029-01-06,5760265120.0,304078080.0
2029-01-07,5737318144.0,304893696.0
2029-01-08,5714371168.0,305709312.0
2029-01-09,5691424192.0,306524928.0
2029-01-10,5668477216.0,307340544.0
2029-01-11,5645530240.0,308156160.0
2029-01-12,5622583264.0,308971776.0
2029-01-13,5599636288.0,309787392.0
2029-01-14,5576689312.0,310603008.0
2029-01-15,5553742336.0,311418624.0
2029-01-16,5530795360.0,312234240.0
2029-01-17,5507848384.0,313049856.0
2029-01-18,5484901408.0,313865472.0
2029-01-19,5461954432.0,314681088.0
2029-01-20,5439007456.0,315496704.0
2029-01-21,5416060480.0,316312320.0
2029-01-22,5393113504.0,317127936.0
2029-01-23,5370166528.0,317943552.0
2029-01-24,5347219552.0,318759168.0
2029-01-25,5324272576.0,319574784.0
2029-01-26,5301325600.0,320390400.0
2029-01-27,5278378624.0,321206016.0
2029-01-28,5255431648.0,322021632.0
2029-01-29,5232484672.0,322837248.0
2029-01-30,5209537696.0,323652864.0
2029-01-31,5186590720.0,324468480.0
2029-02-01,5163643744.0,325284096.0
2029-02-02,5140195648.0,325899264.0
2029-02-03,5116747552.0,326514432.0
2029-02-04,5093299456.0,327129600.0
2029-02-05,5069851360.0,327744768.0
2029-02-06,5046403264.0,328359936.0
2029-02-07,5022955168.0,328975104.0
2029-02-08,4999507072.0,329590272.0
2029-02-09,4976058976.0,330205440.0
2029-02-10,4952610880.0,330820608.0
2029-02-11,4929162784.0,331435776.0
2029-02-12,4905714688.0,332050944.0
2029-02-13,4882266592.0,332666112.0
2029-02-14,4858818496.0,333281280.0
2029-02-15,4835370400.0,333896448.0
2029-02-16,4811922304.0,334511616.0
2029-02-17,4788474208.0,335126784.0
2029-02-18,4765026112.0,335741952.0
2029-02-19,4741578016.0,336357120.0
2029-02-20,4718129920.0,336972288.0
2029-02-21,4694681824.0,337587456.0
2029-02-22,4671233728.0,338202624.0
2029-02-23,4647785632.0,338817792.0
2029-02-24,4624337536.0,339432960.0
2029-02-25,4600889440.0,340048128.0
2029-02-26,4577441344.0,340663296.0
2029-02-27,4553993248.0,341278464.0
2029-02-28,4530545152.0,341893632.0
2029-03-01,4507097056.0,342508800.0
2029-03-02,4483034656.0,342878592.0
2029-03-03,4458972256.0,343248384.0
2029-03-04,4434909856.0,343618176.0
2029-03-05,4410847456.0,343987968.0
2029-03-06,4386785056.0,344357760.0
2029-03-07,4362722656.0,344727552.0
2029-03-08,4338660256.0,345097344.0
2029-03-09,4314597856.0,345467136.0
2029-03-10,4290535456.0,345836928.0
2029-03-11,4266473056.0,346206720.0
2029-03-12,4242410656.0,346576512.0
2029-03-13,4218348256.0,346946304.0
2029-03-14,4194285856.0,347316096.0
2029-03-15,4170223456.0,347685888.0
2029-03-16,4146161056.0,348055680.0
2029-03-17,4122098656.0,348425472.0
2029-03-18,4098036256.0,348795264.0
2029-03-19,4073973856.0,349165056.0
2029-03-20,4049911456.0,349534848.0
2029-03-21,4025849056.0,349904640.0
2029-03-22,4001786656.0,350274432.0
2029-03-23,3977724256.0,350644224.0
2029-03-24,3953661856.0,351014016.0
2029-03-25,3929599456.0,351383808.0
2029-03-26,3905537056.0,351753600.0
2029-03-27,3881474656.0,352123392.0
2029-03-28,3857412256.0,352493184.0
2029-03-29,3833349856.0,352862976.0
2029-03-30,3809287456.0,353232768.0
2029-03-31,3785225056.0,353602560.0
2029-04-01,3761162656.0,353972352.0
2029-04-02,3738664096.0,354967680.0
2029-04-03,3716165536.0,355963008.0
2029-04-04,3693666976.0,356958336.0
2029-04-05,3671168416.0,357953664.0
2029-04-06,3648669856.0,358948992.0
2029-04-07,3626171296.0,359944320.0
2029-04-08,3603672736.0,360939648.0
2029-04-09,3581174176.0,361934976.0
2029-04-10,3558675616.0,362930304.0
2029-04-11,3536177056.0,363925632.0
2029-04-12,3513678496.0,364920960.0
2029-04-13,3491179936.0,365916288.0
2029-04-14,3468681376.0,366911616.0
2029-04-15,3446182816.0,367906944.0
2029-04-16,3423684256.0,368902272.0
2029-04-17,3401185696.0,369897600.0
2029-04-18,3378687136.0,370892928.0
2029-04-19,3356188576.0,371888256.0
2029-04-20,3333690016.0,372883584.0
2029-04-21,3311191456.0,373878912.0
2029-04-22,3288692896.0,374874240.0
2029-04-23,3266194336.0,375869568.0
2029-04-24,3243695776.0,376864896.0
2029-04-25,3221197216.0,377860224.0
2029-04-26,3198698656.0,378855552.0
2029-04-27,3176200096.0,379850880.0
2029-04-28,3153701536.0,380846208.0
2029-04-29,3131202976.0,381841536.0
2029-04-30,3108704416.0,382836864.0
2029-05-01,3086205856.0,383832192.0
2029-05-02,3066246592.0,385843584.0
2029-05-03,3046287328.0,387854976.0
2029-05-04,3026328064.0,389866368.0
2029-05-05,3006368800.0,391877760.0
2029-05-06,2986409536.0,393889152.0
2029-05-07,2966450272.0,395900544.0
2029-05-08,2946491008.0,397911936.0
2029-05-09,2926531744.0,399923328.0
2029-05-10,2906572480.0,401934720.0
2029-05-11,2886613216.0,403946112.0
2029-05-12,2866653952.0,405957504.0
2029-05-13,2846694688.0,407968896.0
2029-05-14,2826735424.0,409980288.0
2029-05-15,2806776160.0,411991680.0
2029-05-16,2786816896.0,414003072.0
2029-05-17,2766857632.0,416014464.0
2029-05-18,2746898368.0,418025856.0
2029-05-19,2726939104.0,420037248.0
2029-05-20,2706979840.0,422048640.0
2029-05-21,2687020576.0,424060032.0
2029-05-22,2667061312.0,426071424.0
2029-05-23,2647102048.0,428082816.0
2029-05-24,2627142784.0,430094208.0
2029-05-25,2607183520.0,432105600.0
2029-05-26,2587224256.0,434116992.0
2029-05-27,2567264992.0,436128384.0
2029-05-28,2547305728.0,438139776.0
2029-05-29,2527346464.0,440151168.0
2029-05-30,2507387200.0,442162560.0
2029-05-31,2487427936.0,444173952.0
2029-06-01,2467468672.0,446185344.0
2029-06-02,2456476864.0,451783200.0
2029-06-03,2445485056.0,457381056.0
2029-06-04,2434493248.0,462978912.0
2029-06-05,2423501440.0,468576768.0
2029-06-06,2412509632.0,474174624.0
2029-06-07,2401517824.0,479772480.0
2029-06-08,2390526016.0,485370336.0
2029-06-09,2379534208.0,490968192.0
2029-06-10,2368542400.0,496566048.0
2029-06-11,2357550592.0,502163904.0
