Date,Canals to Kuraz Sugar Plantations,Outflow to Lake Turkana
2029-01-01,100.0,49.5
2029-01-02,100.0,49.5
2029-01-03,100.0,49.5
2029-01-04,100.0,49.5
2029-01-05,100.0,49.5
2029-01-06,100.0,49.5
2029-01-07,100.0,49.5
2029-01-08,100.0,49.5
2029-01-09,100.0,49.5
2029-01-10,100.0,49.5
2029-01-11,100.0,49.5
2029-01-12,100.0,49.5
2029-01-13,100.0,49.5
2029-01-14,100.0,49.5
2029-01-15,100.0,49.5
2029-01-16,100.0,49.5
2029-01-17,100.0,49.5
2029-01-18,100.0,49.5
2029-01-19,100.0,49.5
2029-01-20,100.0,49.5
2029-01-21,100.0,49.5
2029-01-22,100.0,49.5
2029-01-23,100.0,49.5
2029-01-24,100.0,49.5
2029-01-25,100.0,49.5
2029-01-26,100.0,49.5
2029-01-27,100.0,49.5
2029-01-28,100.0,49.5
2029-01-29,100.0,49.5
2029-01-30,100.0,49.5
2029-01-31,100.0,49.5
2029-02-01,100.0,49.47
2029-02-02,100.0,49.47
2029-02-03,100.0,49.47
2029-02-04,100.0,49.47
2029-02-05,100.0,49.47
2029-02-06,100.0,49.47
2029-02-07,100.0,49.47
2029-02-08,100.0,49.47
2029-02-09,100.0,49.47
2029-02-10,100.0,49.47
2029-02-11,100.0,49.47
2029-02-12,100.0,49.47
2029-02-13,100.0,49.47
2029-02-14,100.0,49.47
2029-02-15,100.0,49.47
2029-02-16,100.0,49.47
2029-02-17,100.0,49.47
2029-02-18,100.0,49.47
2029-02-19,100.0,49.47
2029-02-20,100.0,49.47
2029-02-21,100.0,49.47
2029-02-22,100.0,49.47
2029-02-23,100.0,49.47
2029-02-24,100.0,49.47
2029-02-25,100.0,49.47
2029-02-26,100.0,49.47
2029-02-27,100.0,49.47
2029-02-28,100.0,49.47
2029-03-01,100.0,49.47
2029-03-02,100.0,49.47
2029-03-03,100.0,49.47
2029-03-04,100.0,49.47
2029-03-05,100.0,49.47
2029-03-06,100.0,49.47
2029-03-07,100.0,49.47
2029-03-08,100.0,49.47
2029-03-09,100.0,49.47
2029-03-10,100.0,49.47
2029-03-11,100.0,49.47
2029-03-12,100.0,49.47
2029-03-13,100.0,49.47
2029-03-14,100.0,49.47
2029-03-15,100.0,49.47
2029-03-16,100.0,49.47
2029-03-17,100.0,49.47
2029-03-18,100.0,49.47
2029-03-19,100.0,49.47
2029-03-20,100.0,49.47
2029-03-21,100.0,49.47
2029-03-22,100.0,49.47
2029-03-23,100.0,49.47
2029-03-24,100.0,49.47
