Date,Canals to Kuraz Sugar Plantations
2029-01-01,
2029-01-02,
2029-01-03,
2029-01-04,
2029-01-05,
2029-01-06,
2029-01-07,
2029-01-08,
2029-01-09,
2029-01-10,
2029-01-11,
2029-01-12,
2029-01-13,
2029-01-14,
2029-01-15,
2029-01-16,
2029-01-17,
2029-01-18,
2029-01-19,
2029-01-20,
2029-01-21,
2029-01-22,
2029-01-23,
2029-01-24,
2029-01-25,
2029-01-26,
2029-01-27,
2029-01-28,
2029-01-29,
2029-01-30,
2029-01-31,
2029-02-01,
2029-02-02,
2029-02-03,
2029-02-04,
2029-02-05,
2029-02-06,
2029-02-07,
2029-02-08,
2029-02-09,
2029-02-10,
2029-02-11,
2029-02-12,
2029-02-13,
2029-02-14,
2029-02-15,
2029-02-16,
2029-02-17,
2029-02-18,
2029-02-19,
2029-02-20,
2029-02-21,
2029-02-22,
2029-02-23,
2029-02-24,
2029-02-25,
2029-02-26,
2029-02-27,
2029-02-28,
2029-03-01,
2029-03-02,
2029-03-03,
2029-03-04,
2029-03-05,
2029-03-06,
2029-03-07,
2029-03-08,
2029-03-09,
2029-03-10,
2029-03-11,
2029-03-12,
2029-03-13,
2029-03-14,
2029-03-15,
2029-03-16,
2029-03-17,
2029-03-18,
2029-03-19,
2029-03-20,
2029-03-21,
2029-03-22,
2029-03-23,
2029-03-24,
2029-03-25,
2029-03-26,
2029-03-27,
2029-03-28,
2029-03-29,
2029-03-30,
2029-03-31,
2029-04-01,
2029-04-02,
2029-04-03,
2029-04-04,
2029-04-05,
2029-04-06,
2029-04-07,
2029-04-08,
2029-04-09,
2029-04-10,
2029-04-11,
2029-04-12,
2029-04-13,
2029-04-14,
2029-04-15,
2029-04-16,
2029-04-17,
2029-04-18,
2029-04-19,
2029-04-20,
2029-04-21,
2029-04-22,
2029-04-23,
2029-04-24,
2029-04-25,
2029-04-26,
2029-04-27,
2029-04-28,
2029-04-29,
2029-04-30,
2029-05-01,
2029-05-02,
2029-05-03,
2029-05-04,
2029-05-05,
2029-05-06,
2029-05-07,
2029-05-08,
2029-05-09,
2029-05-10,
2029-05-11,
2029-05-12,
2029-05-13,
2029-05-14,
2029-05-15,
2029-05-16,
2029-05-17,
2029-05-18,
2029-05-19,
2029-05-20,
2029-05-21,
2029-05-22,
2029-05-23,
2029-05-24,
2029-05-25,
2029-05-26,
2029-05-27,
2029-05-28,
2029-05-29,
2029-05-30,
2029-05-31,
2029-06-01,
2029-06-02,
2029-06-03,
2029-06-04,
2029-06-05,
2029-06-06,
2029-06-07,
2029-06-08,
2029-06-09,
2029-06-10,
2029-06-11,
2029-06-12,
2029-06-13,
2029-06-14,
2029-06-15,
2029-06-16,
2029-06-17,
2029-06-18,
2029-06-19,
2029-06-20,
2029-06-21,
2029-06-22,
2029-06-23,
2029-06-24,
2029-06-25,
2029-06-26,
2029-06-27,
2029-06-28,
2029-06-29,
2029-06-30,
2029-07-01,
2029-07-02,
2029-07-03,
2029-07-04,
2029-07-05,
2029-07-06,
2029-07-07,
2029-07-08,
2029-07-09,
2029-07-10,
2029-07-11,
2029-07-12,
2029-07-13,
2029-07-14,
2029-07-15,
2029-07-16,
2029-07-17,
2029-07-18,
2029-07-19,
2029-07-20,
2029-07-21,
2029-07-22,
2029-07-23,
2029-07-24,
2029-07-25,
2029-07-26,
2029-07-27,
2029-07-28,
2029-07-29,
2029-07-30,
2029-07-31,
2029-08-01,
2029-08-02,
2029-08-03,
2029-08-04,
2029-08-05,
2029-08-06,
2029-08-07,
2029-08-08,
2029-08-09,
2029-08-10,
2029-08-11,
2029-08-12,
2029-08-13,
2029-08-14,
2029-08-15,
2029-08-16,
2029-08-17,
2029-08-18,
2029-08-19,
2029-08-20,
2029-08-21,
2029-08-22,
2029-08-23,
2029-08-24,
2029-08-25,
2029-08-26,
2029-08-27,
2029-08-28,
2029-08-29,0.0
2029-08-30,0.0
2029-08-31,0.0
2029-09-01,0.0
2029-09-02,0.0
2029-09-03,0.0
2029-09-04,0.0
2029-09-05,0.0
2029-09-06,0.0
2029-09-07,0.0
2029-09-08,0.0
2029-09-09,0.0
2029-09-10,0.0
2029-09-11,0.0
2029-09-12,0.0
2029-09-13,0.0
2029-09-14,0.0
2029-09-15,0.0
2029-09-16,0.0
2029-09-17,0.0
2029-09-18,0.0
2029-09-19,0.0
2029-09-20,0.0
2029-09-21,0.0
2029-09-22,0.0
2029-09-23,0.0
2029-09-24,0.0
2029-09-25,0.0
2029-09-26,0.0
2029-09-27,0.0
2029-09-28,0.0
2029-09-29,0.0
2029-09-30,0.0
2029-10-01,0.0
2029-10-02,0.0
2029-10-03,0.0
2029-10-04,0.0
2029-10-05,0.0
2029-10-06,0.0
2029-10-07,0.0
2029-10-08,0.0
2029-10-09,0.0
2029-10-10,0.0
2029-10-11,0.0
2029-10-12,0.0
2029-10-13,0.0
2029-10-14,0.0
2029-10-15,0.0
2029-10-16,0.0
2029-10-17,0.0
2029-10-18,0.0
2029-10-19,0.0
2029-10-20,0.0
2029-10-21,0.0
2029-10-22,0.0
2029-10-23,0.0
2029-10-24,0.0
2029-10-25,0.0
2029-10-26,0.0
2029-10-27,0.0
2029-10-28,0.0
2029-10-29,0.0
2029-10-30,0.0
2029-10-31,0.0
2029-11-01,0.0
2029-11-02,0.0
2029-11-03,0.0
2029-11-04,0.0
2029-11-05,0.0
2029-11-06,0.0
2029-11-07,0.0
2029-11-08,0.0
2029-11-09,0.0
2029-11-10,0.0
2029-11-11,0.0
2029-11-12,0.0
2029-11-13,0.0
2029-11-14,0.0
2029-11-15,0.0
2029-11-16,0.0
2029-11-17,0.0
2029-11-18,0.0
2029-11-19,0.0
2029-11-20,0.0
2029-11-21,0.0
2029-11-22,0.0
2029-11-23,0.0
2029-11-24,0.0
2029-11-25,0.0
2029-11-26,0.0
2029-11-27,0.0
2029-11-28,0.0
2029-11-29,0.0
2029-11-30,0.0
2029-12-01,0.0
2029-12-02,0.0
2029-12-03,0.0
2029-12-04,0.0
2029-12-05,0.0
2029-12-06,0.0
2029-12-07,0.0
2029-12-08,0.0
2029-12-09,0.0
2029-12-10,0.0
2029-12-11,0.0
2029-12-12,0.0
2029-12-13,0.0
2029-12-14,0.0
2029-12-15,0.0
2029-12-16,0.0
2029-12-17,0.0
2029-12-18,0.0
2029-12-19,0.0
2029-12-20,0.0
2029-12-21,0.0
2029-12-22,0.0
2029-12-23,0.0
2029-12-24,0.0
2029-12-25,0.0
2029-12-26,0.0
2029-12-27,0.0
2029-12-28,0.0
2029-12-29,0.0
2029-12-30,0.0
2029-12-31,0.0
