Date,Canals to Kuraz Sugar Plantations,Flow A,Flow B,Flow C,Gibe-III Evaporation,Gibe-III Release,Koysha Evaporation,Koysha Release,Main Channel,Outflow to Lake Turkana
2030-01-01,0.0,53.61,21.44,15.01,20.76,32.85,13.92,40.39,40.39,55.4
2030-01-02,0.0,53.61,21.44,15.01,20.76,32.85,13.92,40.39,40.39,55.4
2030-01-03,0.0,53.61,21.44,15.01,20.76,32.85,13.92,40.39,40.39,55.4
2030-01-04,0.0,53.61,21.44,15.01,20.76,32.85,13.92,40.39,40.39,55.4
2030-01-05,0.0,53.61,21.44,15.01,20.76,32.85,13.92,40.39,40.39,55.4
2030-01-06,0.0,53.61,21.44,15.01,20.76,32.85,13.92,40.39,40.39,55.4
2030-01-07,0.0,53.61,21.44,15.01,20.76,32.85,13.92,40.39,40.39,55.4
2030-01-08,0.0,53.61,21.44,15.01,20.76,32.85,13.92,40.39,40.39,55.4
2030-01-09,0.0,53.61,21.44,15.01,20.76,32.85,13.92,40.39,40.39,55.4
2030-01-10,0.0,53.61,21.44,15.01,20.76,32.85,13.92,40.39,40.39,55.4
2030-01-11,0.0,53.61,21.44,15.01,20.76,32.85,13.92,40.39,40.39,55.4
2030-01-12,0.0,53.61,21.44,15.01,20.76,32.85,13.92,40.39,40.39,55.4
2030-01-13,0.0,53.61,21.44,15.01,20.76,32.85,13.92,40.39,40.39,55.4
2030-01-14,0.0,53.61,21.44,15.01,20.76,32.85,13.92,40.39,40.39,55.4
2030-01-15,0.0,53.61,21.44,15.01,20.76,32.85,13.92,40.39,40.39,55.4
2030-01-16,0.0,53.61,21.44,15.01,20.76,32.85,13.92,40.39,40.39,55.4
2030-01-17,0.0,53.61,21.44,15.01,20.76,32.85,13.92,40.39,40.39,55.4
2030-01-18,0.0,53.61,21.44,15.01,20.76,32.85,13.92,40.39,40.39,55.4
2030-01-19,0.0,53.61,21.44,15.01,20.76,32.85,13.92,40.39,40.39,55.4
2030-01-20,0.0,53.61,21.44,15.01,20.76,32.85,13.92,40.39,40.39,55.4
2030-01-21,0.0,53.61,21.44,15.01,20.76,32.85,13.92,40.39,40.39,55.4
2030-01-22,0.0,53.61,21.44,15.01,20.76,32.85,13.92,40.39,40.39,55.4
2030-01-23,0.0,53.61,21.44,15.01,20.76,32.85,13.92,40.39,40.39,55.4
2030-01-24,0.0,53.61,21.44,15.01,20.76,32.85,13.92,40.39,40.39,55.4
2030-01-25,0.0,53.61,21.44,15.01,20.76,32.85,13.92,40.39,40.39,55.4
2030-01-26,0.0,53.61,21.44,15.01,20.76,32.85,13.92,40.39,40.39,55.4
2030-01-27,0.0,53.61,21.44,15.01,20.76,32.85,13.92,40.39,40.39,55.4
2030-01-28,0.0,53.61,21.44,15.01,20.76,32.85,13.92,40.39,40.39,55.4
2030-01-29,0.0,53.61,21.44,15.01,20.76,32.85,13.92,40.39,40.39,55.4
2030-01-30,0.0,53.61,21.44,15.01,20.76,32.85,13.92,40.39,40.39,55.4
2030-01-31,0.0,53.61,21.44,15.01,20.76,32.85,13.92,40.39,40.39,55.4
2030-02-01,0.0,47.81,19.12,13.39,21.25,26.55,14.25,31.41,31.41,44.8
2030-02-02,0.0,47.81,19.12,13.39,21.25,26.55,14.25,31.41,31.41,44.8
2030-02-03,0.0,47.81,19.12,13.39,21.25,26.55,14.25,31.41,31.41,44.8
2030-02-04,0.0,47.81,19.12,13.39,21.25,26.55,14.25,31.41,31.41,44.8
2030-02-05,0.0,47.81,19.12,13.39,21.25,26.55,14.25,31.41,31.41,44.8
2030-02-06,0.0,47.81,19.12,13.39,21.25,26.55,14.25,31.41,31.41,44.8
2030-02-07,0.0,47.81,19.12,13.39,21.25,26.55,14.25,31.41,31.41,44.8
2030-02-08,0.0,47.81,19.12,13.39,21.25,26.55,14.25,31.41,31.41,44.8
2030-02-09,0.0,47.81,19.12,13.39,21.25,26.55,14.25,31.41,31.41,44.8
2030-02-10,0.0,47.81,19.12,13.39,21.25,26.55,14.25,31.41,31.41,44.8
2030-02-11,0.0,47.81,19.12,13.39,21.25,26.55,14.25,31.41,31.41,44.8
2030-02-12,0.0,47.81,19.12,13.39,21.25,26.55,14.25,31.41,31.41,44.8
2030-02-13,0.0,47.81,19.12,13.39,21.25,26.55,14.25,31.41,31.41,44.8
2030-02-14,0.0,47.81,19.12,13.39,21.25,26.55,14.25,31.41,31.41,44.8
2030-02-15,0.0,47.81,19.12,13.39,21.25,26.55,14.25,31.41,31.41,44.8
2030-02-16,0.0,47.81,19.12,13.39,21.25,26.55,14.25,31.41,31.41,44.8
2030-02-17,0.0,47.81,19.12,13.39,21.25,26.55,14.25,31.41,31.41,44.8
2030-02-18,0.0,47.81,19.12,13.39,21.25,26.55,14.25,31.41,31.41,44.8
2030-02-19,0.0,47.81,19.12,13.39,21.25,26.55,14.25,31.41,31.41,44.8
2030-02-20,0.0,47.81,19.12,13.39,21.25,26.55,14.25,31.41,31.41,44.8
2030-02-21,0.0,47.81,19.12,13.39,21.25,26.55,14.25,31.41,31.41,44.8
2030-02-22,0.0,47.81,19.12,13.39,21.25,26.55,14.25,31.41,31.41,44.8
2030-02-23,0.0,47.81,19.12,13.39,21.25,26.55,14.25,31.41,31.41,44.8
2030-02-24,0.0,47.81,19.12,13.39,21.25,26.55,14.25,31.41,31.41,44.8
2030-02-25,0.0,47.81,19.12,13.39,21.25,26.55,14.25,31.41,31.41,44.8
2030-02-26,0.0,47.81,19.12,13.39,21.25,26.55,14.25,31.41,31.41,44.8
2030-02-27,0.0,47.81,19.12,13.39,21.25,26.55,14.25,31.41,31.41,44.8
2030-02-28,0.0,47.81,19.12,13.39,21.25,26.55,14.25,31.41,31.41,44.8
2030-03-01,0.0,40.7,16.28,11.4,38.84,1.87,26.01,0.0,0.0,11.4
2030-03-02,0.0,40.7,16.28,11.4,38.84,1.87,26.01,0.0,0.0,11.4
2030-03-03,0.0,40.7,16.28,11.4,38.84,1.87,26.01,0.0,0.0,11.4
2030-03-04,0.0,40.7,16.28,11.4,38.84,1.87,26.01,0.0,0.0,11.4
2030-03-05,0.0,40.7,16.28,11.4,38.84,1.87,26.01,0.0,0.0,11.4
2030-03-06,0.0,40.7,16.28,11.4,38.84,1.87,26.01,0.0,0.0,11.4
2030-03-07,0.0,40.7,16.28,11.4,38.84,1.87,26.01,0.0,0.0,11.4
2030-03-08,0.0,40.7,16.28,11.4,38.84,1.87,26.01,0.0,0.0,11.4
2030-03-09,0.0,40.7,16.28,11.4,38.84,1.87,26.01,0.0,0.0,11.4
2030-03-10,0.0,40.7,16.28,11.4,38.84,1.87,26.01,0.0,0.0,11.4
2030-03-11,0.0,40.7,16.28,11.4,38.84,1.87,26.01,0.0,0.0,11.4
2030-03-12,0.0,40.7,16.28,11.4,38.84,1.87,26.01,0.0,0.0,11.4
2030-03-13,0.0,40.7,16.28,11.4,38.84,1.87,26.01,0.0,0.0,11.4
2030-03-14,0.0,40.7,16.28,11.4,38.84,1.87,26.01,0.0,0.0,11.4
2030-03-15,0.0,40.7,16.28,11.4,38.84,1.87,26.01,0.0,0.0,11.4
2030-03-16,0.0,40.7,16.28,11.4,38.84,1.87,26.01,0.0,0.0,11.4
2030-03-17,0.0,40.7,16.28,11.4,38.84,1.87,26.01,0.0,0.0,11.4
2030-03-18,0.0,40.7,16.28,11.4,38.84,1.87,26.01,0.0,0.0,11.4
2030-03-19,0.0,40.7,16.28,11.4,38.84,1.87,26.01,0.0,0.0,11.4
2030-03-20,0.0,40.7,16.28,11.4,38.84,1.87,26.01,0.0,0.0,11.4
2030-03-21,0.0,40.7,16.28,11.4,38.84,1.87,26.01,0.0,0.0,11.4
2030-03-22,0.0,40.7,16.28,11.4,38.84,1.87,26.01,0.0,0.0,11.4
2030-03-23,0.0,40.7,16.28,11.4,38.84,1.87,26.01,0.0,0.0,11.4
2030-03-24,0.0,40.7,16.28,11.4,38.84,1.87,26.01,0.0,0.0,11.4
2030-03-25,0.0,40.7,16.28,11.4,38.84,1.87,26.01,0.0,0.0,11.4
2030-03-26,0.0,40.7,16.28,11.4,38.84,1.87,26.01,0.0,0.0,11.4
2030-03-27,0.0,40.7,16.28,11.4,38.84,1.87,26.01,0.0,0.0,11.4
2030-03-28,0.0,40.7,16.28,11.4,38.84,1.87,26.01,0.0,0.0,11.4
2030-03-29,0.0,40.7,16.28,11.4,38.84,1.87,26.01,0.0,0.0,11.4
2030-03-30,0.0,40.7,16.28,11.4,38.84,1.87,26.01,0.0,0.0,11.4
