Date,Gibe-III,Koysha
2029-01-01,208.07573,0.0
2029-01-02,208.07541,17.8766
2029-01-03,208.07534,24.85889
2029-01-04,208.07551,27.57236
2029-01-05,208.07544,29.83193
2029-01-06,208.07536,31.74317
2029-01-07,208.07553,33.39998
2029-01-08,208.07546,34.92603
2029-01-09,208.07539,36.32838
2029-01-10,208.07532,37.6274
2029-01-11,208.07549,38.80342
2029-01-12,208.07541,39.92366
2029-01-13,208.07534,40.98483
2029-01-14,208.07551,41.98437
2029-01-15,208.07544,42.93732
2029-01-16,208.07536,43.84343
2029-01-17,208.07553,44.70623
2029-01-18,208.07546,45.54464
2029-01-19,208.07539,46.35131
2029-01-20,208.07532,47.122
2029-01-21,208.07549,47.86188
2029-01-22,208.07541,48.58644
2029-01-23,208.07534,49.28988
2029-01-24,208.07551,49.96141
2029-01-25,208.07544,50.62034
2029-01-26,208.07536,51.2627
2029-01-27,208.07553,51.88356
2029-01-28,208.07546,52.49266
2029-01-29,208.07539,53.08515
2029-01-30,208.07532,53.66489
2029-01-31,208.07549,54.22712
2029-02-01,208.07541,54.78218
2029-02-02,208.07544,55.23311
2029-02-03,208.07547,55.67857
2029-02-04,208.0755,56.11639
2029-02-05,208.07553,56.545
2029-02-06,208.07556,56.96873
2029-02-07,208.07559,57.38442
2029-02-08,208.07562,57.7932
2029-02-09,208.07565,58.1976
2029-02-10,208.07543,58.59812
2029-02-11,208.07546,58.98906
2029-02-12,208.07549,59.37605
2029-02-13,208.07552,59.75466
2029-02-14,208.07555,60.12971
2029-02-15,208.07558,60.50008
2029-02-16,208.07561,60.8639
2029-02-17,208.07564,61.22445
2029-02-18,208.07567,61.57978
2029-02-19,208.07545,61.93414
2029-02-20,208.07548,62.28147
2029-02-21,208.07551,62.62321
2029-02-22,208.07554,62.96121
2029-02-23,208.07557,63.29648
2029-02-24,208.0756,63.62579
2029-02-25,208.07563,63.95252
2029-02-26,208.07566,64.2759
2029-02-27,208.07544,64.59821
2029-02-28,208.07547,64.91448
2029-03-01,208.0755,65.22693
2029-03-02,208.07543,65.33519
2029-03-03,208.07536,65.44195
2029-03-04,208.0753,65.54863
2029-03-05,208.07547,65.65175
2029-03-06,208.0754,65.75829
2029-03-07,208.07534,65.86381
2029-03-08,208.07551,65.96512
2029-03-09,208.07544,66.0698
2029-03-10,208.07537,66.17441
2029-03-11,208.07531,66.27892
2029-03-12,208.07548,66.37841
2029-03-13,208.07541,66.48119
2029-03-14,208.07534,66.58391
2029-03-15,208.07552,66.68317
2029-03-16,208.07545,66.78524
2029-03-17,208.07538,66.88622
2029-03-18,208.07532,66.98715
2029-03-19,208.07549,67.08466
2029-03-20,208.07542,67.18545
2029-03-21,208.07535,67.28513
2029-03-22,208.07529,67.38432
2029-03-23,208.07546,67.48016
2029-03-24,208.07539,67.57921
2029-03-25,208.07533,67.67811
2029-03-26,208.0755,67.77239
2029-03-27,208.07543,67.86984
2029-03-28,208.07536,67.96722
2029-03-29,208.0753,68.06455
2029-03-30,208.07547,68.15805
2029-03-31,208.0754,68.25388
2029-04-01,208.07534,68.34965
2029-04-02,208.07284,68.46515
2029-04-03,208.07035,68.58031
2029-04-04,208.06786,68.69398
2029-04-05,208.06537,68.80751
2029-04-06,208.06288,68.92095
2029-04-07,208.06039,69.03389
2029-04-08,208.0579,69.14559
2029-04-09,208.05541,69.25717
2029-04-10,208.05293,69.36862
2029-04-11,208.05044,69.47937
2029-04-12,208.04795,69.58911
2029-04-13,208.04546,69.69873
2029-04-14,208.04297,69.80823
2029-04-15,208.04049,69.91689
2029-04-16,208.03801,70.02473
2029-04-17,208.03552,70.13245
2029-04-18,208.03304,70.24005
2029-04-19,208.03056,70.34671
2029-04-20,208.02807,70.4527
2029-04-21,208.02559,70.55864
2029-04-22,208.02312,70.66446
2029-04-23,208.02064,70.76926
2029-04-24,208.01816,70.87353
2029-04-25,208.01568,70.97768
2029-04-26,208.0132,71.08171
2029-04-27,208.01073,71.18468
2029-04-28,208.00825,71.2872
2029-04-29,208.00578,71.38967
2029-04-30,208.00331,71.49202
2029-05-01,208.00083,71.59329
2029-05-02,208.00926,71.75817
2029-05-03,208.01769,71.92278
2029-05-04,208.02611,72.08534
2029-05-05,208.03453,72.2477
2029-05-06,208.04295,72.40874
2029-05-07,208.05137,72.56885
2029-05-08,208.05977,72.72849
2029-05-09,208.06818,72.88642
2029-05-10,208.07536,73.0581
2029-05-11,208.07548,73.30782
2029-05-12,208.07537,73.55867
2029-05-13,208.07549,73.80473
2029-05-14,208.07538,74.05102
