Date,Gibe-III,Koysha
2030-01-01,177480106.0,118999522.0
2030-01-02,177479972.0,118998961.0
2030-01-03,177479839.0,118998984.0
2030-01-04,177479706.0,118999007.0
2030-01-05,177480017.0,118999031.0
2030-01-06,177479883.0,118999054.0
2030-01-07,177479750.0,118999078.0
2030-01-08,177479616.0,118999101.0
2030-01-09,177479928.0,118999124.0
2030-01-10,177479794.0,118999148.0
2030-01-11,177479661.0,118999171.0
2030-01-12,177479972.0,118999194.0
2030-01-13,177479839.0,118999218.0
2030-01-14,177479706.0,118999241.0
2030-01-15,177480017.0,118999264.0
2030-01-16,177479883.0,118999288.0
2030-01-17,177479750.0,118999311.0
2030-01-18,177479616.0,118999335.0
2030-01-19,177479928.0,118999358.0
2030-01-20,177479794.0,118999381.0
2030-01-21,177479661.0,118999405.0
2030-01-22,177479972.0,118999428.0
2030-01-23,177479839.0,118999451.0
2030-01-24,177479706.0,118998890.0
2030-01-25,177480017.0,118998914.0
2030-01-26,177479883.0,118998937.0
2030-01-27,177479750.0,118998961.0
2030-01-28,177479616.0,118998984.0
2030-01-29,177479928.0,118999007.0
2030-01-30,177479794.0,118999031.0
2030-01-31,177479661.0,118999054.0
2030-02-01,177479972.0,118999078.0
2030-02-02,177480026.0,118999510.0
2030-02-03,177480079.0,118999358.0
2030-02-04,177480132.0,118999790.0
2030-02-05,177480186.0,118999638.0
2030-02-06,177480239.0,118999486.0
2030-02-07,177479848.0,118999335.0
2030-02-08,177479901.0,118999767.0
2030-02-09,177479955.0,118999615.0
2030-02-10,177480008.0,118999463.0
2030-02-11,177480061.0,118999311.0
2030-02-12,177480115.0,118999744.0
2030-02-13,177480168.0,118999592.0
2030-02-14,177480222.0,118999440.0
2030-02-15,177479830.0,118999288.0
2030-02-16,177479883.0,118999720.0
2030-02-17,177479937.0,118999568.0
2030-02-18,177479990.0,118999416.0
2030-02-19,177480044.0,118999849.0
2030-02-20,177480097.0,118999697.0
2030-02-21,177480150.0,118999545.0
2030-02-22,177480204.0,118999393.0
2030-02-23,177480257.0,118999825.0
2030-02-24,177479866.0,118999674.0
2030-02-25,177479919.0,118999522.0
2030-02-26,177479972.0,118999370.0
2030-02-27,177480026.0,118999802.0
2030-02-28,177480079.0,118999650.0
2030-03-01,177480132.0,118999498.0
2030-03-02,177479563.0,118991014.0
2030-03-03,177479883.0,118981362.0
2030-03-04,177479759.0,118972294.0
2030-03-05,177479634.0,118963226.0
2030-03-06,177479955.0,118953574.0
2030-03-07,177479830.0,118944518.0
2030-03-08,177479706.0,118935462.0
2030-03-09,177479581.0,118926405.0
2030-03-10,177479901.0,118916764.0
2030-03-11,177479777.0,118907705.0
2030-03-12,177479652.0,118898658.0
2030-03-13,177479972.0,118889026.0
2030-03-14,177479848.0,118879978.0
2030-03-15,177479723.0,118870931.0
2030-03-16,177479599.0,118861883.0
2030-03-17,177479919.0,118852263.0
2030-03-18,177479794.0,118843227.0
2030-03-19,177479670.0,118834190.0
2030-03-20,177479990.0,118824567.0
2030-03-21,177479866.0,118815528.0
2030-03-22,177479741.0,118806502.0
2030-03-23,177479616.0,118797475.0
2030-03-24,177479937.0,118787863.0
2030-03-25,177479812.0,118778836.0
2030-03-26,177479688.0,118769809.0
2030-03-27,177479563.0,118760794.0
2030-03-28,177479883.0,118751192.0
2030-03-29,177479759.0,118742174.0
2030-03-30,177479634.0,118733156.0
2030-03-31,177479955.0,118723553.0
2030-04-01,177479830.0,118714547.0
2030-04-02,177475270.0,118692042.0
2030-04-03,177470715.0,118669548.0
2030-04-04,177466159.0,118647059.0
2030-04-05,177461604.0,118624583.0
2030-04-06,177457048.0,118602112.0
2030-04-07,177452493.0,118579649.0
2030-04-08,177447942.0,118557188.0
2030-04-09,177443396.0,118534740.0
2030-04-10,177438849.0,118512303.0
2030-04-11,177434301.0,118489865.0
2030-04-12,177429752.0,118467438.0
2030-04-13,177425204.0,118445018.0
2030-04-14,177420656.0,118422606.0
2030-04-15,177416116.0,118400201.0
2030-04-16,177411577.0,118377803.0
2030-04-17,177407038.0,118355416.0
2030-04-18,177402498.0,118333030.0
2030-04-19,177397959.0,118310653.0
2030-04-20,177393420.0,118288288.0
2030-04-21,177388889.0,118265929.0
2030-04-22,177384359.0,118243574.0
2030-04-23,177379828.0,118221226.0
2030-04-24,177375298.0,118198889.0
2030-04-25,177370767.0,118176561.0
2030-04-26,177366237.0,118154234.0
2030-04-27,177361715.0,118131920.0
2030-04-28,177357194.0,118109611.0
2030-04-29,177352672.0,118087308.0
2030-04-30,177348151.0,118065015.0
2030-05-01,177343629.0,118042729.0
2030-05-02,177359036.0,118028780.0
2030-05-03,177374439.0,118014834.0
2030-05-04,177389837.0,118000898.0
2030-05-05,177405231.0,117986962.0
2030-05-06,177420620.0,117973038.0
2030-05-07,177436001.0,117959114.0
2030-05-08,177451372.0,117945202.0
2030-05-09,177466738.0,117931291.0
2030-05-10,177479870.0,117920320.0
2030-05-11,177479656.0,117926950.0
2030-05-12,177479888.0,117932993.0
2030-05-13,177479674.0,117939622.0
2030-05-14,177479906.0,117945659.0
2030-05-15,177479692.0,117952275.0
2030-05-16,177479923.0,117958304.0
2030-05-17,177479710.0,117964920.0
2030-05-18,177479941.0,117970938.0
2030-05-19,177479728.0,117977542.0
2030-05-20,177479514.0,117984147.0
2030-05-21,177479746.0,117990164.0
2030-05-22,177479532.0,117996757.0
2030-05-23,177479763.0,118002763.0
2030-05-24,177479550.0,118009356.0
2030-05-25,177479781.0,118015362.0
2030-05-26,177479568.0,118021942.0
2030-05-27,177479799.0,118027936.0
2030-05-28,177479585.0,118034514.0
2030-05-29,177479817.0,118040506.0
2030-05-30,177479603.0,118047074.0
2030-05-31,177479834.0,118053054.0
2030-06-01,177479621.0,118059621.0
2030-06-02,177479977.0,118254965.0
2030-06-03,177480333.0,118450081.0
2030-06-04,177480244.0,118645550.0
2030-06-05,177480155.0,118840796.0
2030-06-06,177480066.0,118999007.0
2030-06-07,177479977.0,118999393.0
2030-06-08,177480333.0,118999194.0
2030-06-09,177480244.0,118998996.0
2030-06-10,177480155.0,118999381.0
2030-06-11,177480066.0,118999183.0
2030-06-12,177479977.0,118998984.0
2030-06-13,177480333.0,118999370.0
2030-06-14,177480244.0,118999171.0
2030-06-15,177480155.0,118998972.0
2030-06-16,177480066.0,118999358.0
2030-06-17,177479977.0,118999159.0
2030-06-18,177480333.0,118998961.0
2030-06-19,177480244.0,118999346.0
2030-06-20,177480155.0,118999148.0
2030-06-21,177480066.0,118998949.0
2030-06-22,177479977.0,118999335.0
2030-06-23,177480333.0,118999136.0
2030-06-24,177480244.0,118998937.0
2030-06-25,177480155.0,118999323.0
2030-06-26,177480066.0,118999124.0
2030-06-27,177479977.0,118998926.0
2030-06-28,177480333.0,118999311.0
2030-06-29,177480244.0,118999113.0
2030-06-30,177480155.0,118998914.0
2030-07-01,177480066.0,118999300.0
2030-07-02,177479879.0,118999638.0
2030-07-03,177479692.0,118999977.0
2030-07-04,177479950.0,118999732.0
2030-07-05,177479763.0,118999486.0
2030-07-06,177480021.0,118999825.0
2030-07-07,177479834.0,118999580.0
2030-07-08,177479648.0,118999919.0
2030-07-09,177479906.0,118999674.0
2030-07-10,177479719.0,118999428.0
2030-07-11,177479977.0,118999767.0
2030-07-12,177479790.0,118999522.0
2030-07-13,177479603.0,118999860.0
2030-07-14,177479861.0,118999615.0
2030-07-15,177479674.0,118999954.0
2030-07-16,177479932.0,118999708.0
2030-07-17,177479746.0,118999463.0
2030-07-18,177480004.0,118999802.0
2030-07-19,177479817.0,118999557.0
2030-07-20,177479630.0,118999896.0
2030-07-21,177479888.0,118999650.0
2030-07-22,177479701.0,118999405.0
2030-07-23,177479959.0,118999744.0
2030-07-24,177479772.0,118999498.0
2030-07-25,177480030.0,118999837.0
2030-07-26,177479843.0,118999592.0
2030-07-27,177479656.0,118999930.0
2030-07-28,177479915.0,118999685.0
2030-07-29,177479728.0,118999440.0
2030-07-30,177479986.0,118999779.0
2030-07-31,177479799.0,118999533.0
2030-08-01,177479612.0,118999872.0
2030-08-02,177480279.0,118999522.0
2030-08-03,177480057.0,118999755.0
2030-08-04,177480279.0,118999405.0
2030-08-05,177480057.0,118999638.0
2030-08-06,177480279.0,118999872.0
2030-08-07,177480057.0,118999522.0
2030-08-08,177480279.0,118999755.0
2030-08-09,177480057.0,118999405.0
2030-08-10,177480279.0,118999638.0
2030-08-11,177480057.0,118999872.0
2030-08-12,177480279.0,118999522.0
2030-08-13,177480057.0,118999755.0
2030-08-14,177480279.0,118999405.0
2030-08-15,177480057.0,118999638.0
2030-08-16,177480279.0,118999872.0
2030-08-17,177480057.0,118999522.0
2030-08-18,177480279.0,118999755.0
2030-08-19,177480057.0,118999405.0
2030-08-20,177480279.0,118999638.0
2030-08-21,177480057.0,118999872.0
2030-08-22,177480279.0,118999522.0
2030-08-23,177480057.0,118999755.0
2030-08-24,177480279.0,118999405.0
2030-08-25,177480057.0,118999638.0
2030-08-26,177480279.0,118999872.0
2030-08-27,177480057.0,118999522.0
2030-08-28,177480279.0,118999755.0
2030-08-29,177480057.0,118999405.0
2030-08-30,177480279.0,118999638.0
2030-08-31,177480057.0,118999872.0
2030-09-01,177480279.0,118999522.0
2030-09-02,177479852.0,118999171.0
2030-09-03,177479870.0,118999405.0
2030-09-04,177479888.0,118999054.0
2030-09-05,177479906.0,118999288.0
2030-09-06,177479923.0,118999522.0
2030-09-07,177479941.0,118999171.0
2030-09-08,177479959.0,118999405.0
2030-09-09,177479977.0,118999054.0
2030-09-10,177479995.0,118999288.0
2030-09-11,177480012.0,118999522.0
2030-09-12,177480030.0,118999171.0
2030-09-13,177480048.0,118999405.0
2030-09-14,177480066.0,118999054.0
2030-09-15,177480084.0,118999288.0
2030-09-16,177480101.0,118999522.0
2030-09-17,177480119.0,118999171.0
2030-09-18,177480137.0,118999405.0
2030-09-19,177480155.0,118999054.0
2030-09-20,177480173.0,118999288.0
2030-09-21,177480190.0,118999522.0
2030-09-22,177480208.0,118999171.0
2030-09-23,177480226.0,118999405.0
2030-09-24,177479799.0,118999054.0
2030-09-25,177479817.0,118999288.0
2030-09-26,177479834.0,118999522.0
2030-09-27,177479852.0,118999171.0
2030-09-28,177479870.0,118999405.0
2030-09-29,177479888.0,118999054.0
2030-09-30,177479906.0,118999288.0
2030-10-01,177479923.0,118999522.0
2030-10-02,177480270.0,118999300.0
2030-10-03,177480173.0,118999662.0
2030-10-04,177480075.0,118999440.0
2030-10-05,177479977.0,118999802.0
2030-10-06,177480324.0,118999580.0
2030-10-07,177480226.0,118999358.0
2030-10-08,177480128.0,118999720.0
2030-10-09,177480030.0,118999498.0
2030-10-10,177479932.0,118999276.0
2030-10-11,177480279.0,118999638.0
2030-10-12,177480182.0,118999416.0
2030-10-13,177480084.0,118999779.0
2030-10-14,177479986.0,118999557.0
2030-10-15,177480333.0,118999335.0
2030-10-16,177480235.0,118999697.0
2030-10-17,177480137.0,118999475.0
2030-10-18,177480039.0,118999837.0
2030-10-19,177479941.0,118999615.0
2030-10-20,177480288.0,118999393.0
2030-10-21,177480190.0,118999755.0
2030-10-22,177480092.0,118999533.0
2030-10-23,177479995.0,118999311.0
2030-10-24,177480342.0,118999674.0
2030-10-25,177480244.0,118999451.0
2030-10-26,177480146.0,118999814.0
2030-10-27,177480048.0,118999592.0
2030-10-28,177479950.0,118999370.0
2030-10-29,177480297.0,118999732.0
2030-10-30,177480199.0,118999510.0
2030-10-31,177480101.0,118999288.0
2030-11-01,177480004.0,118999650.0
2030-11-02,177479995.0,118999638.0
2030-11-03,177479986.0,118999627.0
2030-11-04,177479977.0,118999615.0
2030-11-05,177479968.0,118999603.0
2030-11-06,177479959.0,118999592.0
2030-11-07,177479950.0,118999580.0
2030-11-08,177479941.0,118999568.0
2030-11-09,177479932.0,118999557.0
2030-11-10,177479923.0,118999545.0
2030-11-11,177479915.0,118999533.0
2030-11-12,177479906.0,118999522.0
2030-11-13,177479897.0,118999510.0
2030-11-14,177479888.0,118999498.0
2030-11-15,177479879.0,118999486.0
2030-11-16,177479870.0,118999475.0
2030-11-17,177479861.0,118999463.0
2030-11-18,177479852.0,118999451.0
2030-11-19,177479843.0,118999440.0
2030-11-20,177479834.0,118999428.0
2030-11-21,177479826.0,118999416.0
2030-11-22,177479817.0,118999989.0
2030-11-23,177480253.0,118999977.0
2030-11-24,177480244.0,118999966.0
2030-11-25,177480235.0,118999954.0
2030-11-26,177480226.0,118999942.0
2030-11-27,177480217.0,118999930.0
2030-11-28,177480208.0,118999919.0
2030-11-29,177480199.0,118999907.0
2030-11-30,177480190.0,118999896.0
2030-12-01,177480182.0,118999884.0
2030-12-02,177479754.0,118998996.0
2030-12-03,177479772.0,118999276.0
2030-12-04,177479790.0,118999557.0
2030-12-05,177479808.0,118999253.0
2030-12-06,177479826.0,118999533.0
2030-12-07,177479843.0,118999229.0
2030-12-08,177479861.0,118999510.0
2030-12-09,177479879.0,118999206.0
2030-12-10,177479897.0,118999486.0
2030-12-11,177479915.0,118999183.0
2030-12-12,177479932.0,118999463.0
2030-12-13,177479950.0,118999159.0
2030-12-14,177479968.0,118999440.0
2030-12-15,177479986.0,118999136.0
2030-12-16,177480004.0,118999416.0
2030-12-17,177480021.0,118999113.0
2030-12-18,177480039.0,118999393.0
2030-12-19,177480057.0,118999089.0
2030-12-20,177480075.0,118999370.0
2030-12-21,177480092.0,118999066.0
