Date,Gibe-III,Koysha
2029-01-01,11750000000.0,0.0
2029-01-02,11749943840.0,4744656.0
2029-01-03,11749930880.0,9437904.0
2029-01-04,11749961120.0,14082336.0
2029-01-05,11749948160.0,18765648.0
2029-01-06,11749935200.0,23445072.0
2029-01-07,11749965440.0,28076976.0
2029-01-08,11749952480.0,32748624.0
2029-01-09,11749939520.0,37416816.0
2029-01-10,11749926560.0,42081984.0
2029-01-11,11749956800.0,46700928.0
2029-01-12,11749943840.0,51360048.0
2029-01-13,11749930880.0,56016144.0
2029-01-14,11749961120.0,60626448.0
2029-01-15,11749948160.0,65276928.0
2029-01-16,11749935200.0,69924816.0
2029-01-17,11749965440.0,74526912.0
2029-01-18,11749952480.0,79169616.0
2029-01-19,11749939520.0,83809728.0
2029-01-20,11749926560.0,88447248.0
2029-01-21,11749956800.0,93038976.0
2029-01-22,11749943840.0,97671744.0
2029-01-23,11749930880.0,102302352.0
2029-01-24,11749961120.0,106887168.0
2029-01-25,11749948160.0,111513024.0
2029-01-26,11749935200.0,116136720.0
2029-01-27,11749965440.0,120714624.0
2029-01-28,11749952480.0,125334000.0
2029-01-29,11749939520.0,129950784.0
2029-01-30,11749926560.0,134565840.0
2029-01-31,11749956800.0,139135104.0
2029-02-01,11749943840.0,143745840.0
2029-02-02,11749949024.0,147590208.0
2029-02-03,11749954208.0,151432848.0
2029-02-04,11749959392.0,155273760.0
2029-02-05,11749964576.0,159112944.0
2029-02-06,11749969760.0,162950400.0
2029-02-07,11749974944.0,166786128.0
2029-02-08,11749980128.0,170620128.0
2029-02-09,11749985312.0,174452400.0
2029-02-10,11749947296.0,178326144.0
2029-02-11,11749952480.0,182154960.0
2029-02-12,11749957664.0,185982480.0
2029-02-13,11749962848.0,189808704.0
2029-02-14,11749968032.0,193633200.0
2029-02-15,11749973216.0,197455968.0
2029-02-16,11749978400.0,201277008.0
2029-02-17,11749983584.0,205096320.0
2029-02-18,11749988768.0,208913904.0
2029-02-19,11749950752.0,212773824.0
2029-02-20,11749955936.0,216588816.0
2029-02-21,11749961120.0,220402080.0
2029-02-22,11749966304.0,224213616.0
2029-02-23,11749971488.0,228023856.0
2029-02-24,11749976672.0,231832800.0
2029-02-25,11749981856.0,235640016.0
2029-02-26,11749987040.0,239445504.0
2029-02-27,11749949024.0,243293328.0
2029-02-28,11749954208.0,247096224.0
2029-03-01,11749959392.0,250897392.0
2029-03-02,11749947296.0,252218016.0
2029-03-03,11749935200.0,253537776.0
2029-03-04,11749923104.0,254856672.0
2029-03-05,11749954208.0,256131504.0
2029-03-06,11749942112.0,257448672.0
2029-03-07,11749930016.0,258764976.0
2029-03-08,11749961120.0,260037216.0
2029-03-09,11749949024.0,261351792.0
2029-03-10,11749936928.0,262665504.0
2029-03-11,11749924832.0,263977920.0
2029-03-12,11749955936.0,265246272.0
2029-03-13,11749943840.0,266556960.0
2029-03-14,11749931744.0,267866784.0
2029-03-15,11749962848.0,269132544.0
2029-03-16,11749950752.0,270440640.0
2029-03-17,11749938656.0,271747872.0
2029-03-18,11749926560.0,273054240.0
2029-03-19,11749957664.0,274316544.0
2029-03-20,11749945568.0,275621184.0
2029-03-21,11749933472.0,276924960.0
2029-03-22,11749921376.0,278227872.0
2029-03-23,11749952480.0,279486720.0
2029-03-24,11749940384.0,280787904.0
2029-03-25,11749928288.0,282088224.0
2029-03-26,11749959392.0,283344480.0
2029-03-27,11749947296.0,284643072.0
2029-03-28,11749935200.0,285940800.0
2029-03-29,11749923104.0,287237664.0
2029-03-30,11749954208.0,288490464.0
2029-03-31,11749942112.0,289785600.0
2029-04-01,11749930016.0,291079872.0
2029-04-02,11749487216.0,292640688.0
2029-04-03,11749044848.0,294199776.0
2029-04-04,11748602480.0,295757136.0
2029-04-05,11748160112.0,297312768.0
2029-04-06,11747717744.0,298867104.0
2029-04-07,11747275376.0,300420144.0
2029-04-08,11746833440.0,301971456.0
2029-04-09,11746391936.0,303521040.0
2029-04-10,11745950432.0,305068896.0
2029-04-11,11745508928.0,306615024.0
2029-04-12,11745067424.0,308159424.0
2029-04-13,11744625920.0,309702096.0
2029-04-14,11744184416.0,311243040.0
2029-04-15,11743743776.0,312782256.0
2029-04-16,11743303136.0,314319744.0
2029-04-17,11742862496.0,315855504.0
2029-04-18,11742421856.0,317389536.0
2029-04-19,11741981216.0,318921840.0
2029-04-20,11741540576.0,320452416.0
2029-04-21,11741100800.0,321982128.0
2029-04-22,11740661024.0,323510112.0
2029-04-23,11740221248.0,325036368.0
2029-04-24,11739781472.0,326560896.0
2029-04-25,11739341696.0,328083696.0
2029-04-26,11738901920.0,329604768.0
2029-04-27,11738463008.0,331124112.0
2029-04-28,11738024096.0,332641728.0
2029-04-29,11737585184.0,334158480.0
2029-04-30,11737146272.0,335673504.0
2029-05-01,11736707360.0,337186800.0
2029-05-02,11738202944.0,339656976.0
2029-05-03,11739698096.0,342124560.0
2029-05-04,11741192816.0,344589120.0
2029-05-05,11742687104.0,347050656.0
2029-05-06,11744180960.0,349509600.0
2029-05-07,11745673952.0,351965520.0
2029-05-08,11747166512.0,354418848.0
2029-05-09,11748658640.0,356869152.0
2029-05-10,11749933904.0,359532864.0
2029-05-11,11749956368.0,363445920.0
2029-05-12,11749935632.0,367397424.0
2029-05-13,11749958096.0,371301408.0
2029-05-14,11749937360.0,375244272.0
2029-05-15,11749959824.0,379139184.0
2029-05-16,11749939088.0,383072976.0
2029-05-17,11749918352.0,387002448.0
2029-05-18,11749940816.0,390884400.0
2029-05-19,11749920080.0,394805232.0
2029-05-20,11749942544.0,398678544.0
2029-05-21,11749921808.0,402590736.0
2029-05-22,11749944272.0,406455408.0
2029-05-23,11749923536.0,410358960.0
2029-05-24,11749946000.0,414214992.0
2029-05-25,11749925264.0,418109904.0
2029-05-26,11749947728.0,421957728.0
2029-05-27,11749926992.0,425844432.0
2029-05-28,11749949456.0,429683616.0
2029-05-29,11749928720.0,433562112.0
2029-05-30,11749951184.0,437393088.0
2029-05-31,11749930448.0,441262944.0
2029-06-01,11749952912.0,445085712.0
2029-06-02,11749987472.0,462391200.0
2029-06-03,11749978832.0,479723904.0
2029-06-04,11749970192.0,497040624.0
2029-06-05,11749961552.0,514342656.0
2029-06-06,11749996112.0,531585936.0
2029-06-07,11749987472.0,548857296.0
2029-06-08,11749978832.0,566113968.0
2029-06-09,11749970192.0,583355520.0
2029-06-10,11749961552.0,600582816.0
2029-06-11,11749996112.0,617752224.0
2029-06-12,11749987472.0,634951008.0
2029-06-13,11749978832.0,652135104.0
2029-06-14,11749970192.0,669305376.0
2029-06-15,11749961552.0,686461824.0
2029-06-16,11749996112.0,703561248.0
2029-06-17,11749987472.0,720690048.0
2029-06-18,11749978832.0,737805456.0
2029-06-19,11749970192.0,754907472.0
2029-06-20,11749961552.0,771996096.0
2029-06-21,11749996112.0,789028128.0
2029-06-22,11749987472.0,806090400.0
2029-06-23,11749978832.0,823139712.0
2029-06-24,11749970192.0,840176064.0
2029-06-25,11749961552.0,857199888.0
2029-06-26,11749996112.0,874167552.0
2029-06-27,11749987472.0,891165888.0
2029-06-28,11749978832.0,908151696.0
2029-06-29,11749970192.0,925124976.0
2029-06-30,11749961552.0,942085728.0
2029-07-01,11749996112.0,958991184.0
2029-07-02,11749934768.0,1024219728.0
2029-07-03,11749959824.0,1089322992.0
2029-07-04,11749941680.0,1154432304.0
2029-07-05,11749966736.0,1219461696.0
2029-07-06,11749948592.0,1284498000.0
2029-07-07,11749930448.0,1349498448.0
2029-07-08,11749955504.0,1414420272.0
2029-07-09,11749937360.0,1479351168.0
2029-07-10,11749962416.0,1544204736.0
2029-07-11,11749944272.0,1609068240.0
2029-07-12,11749926128.0,1673898912.0
2029-07-13,11749951184.0,1738653552.0
2029-07-14,11749933040.0,1803418992.0
2029-07-15,11749958096.0,1868109264.0
2029-07-16,11749939952.0,1932811632.0
2029-07-17,11749965008.0,1997439696.0
2029-07-18,11749946864.0,2062080288.0
2029-07-19,11749928720.0,2126690208.0
2029-07-20,11749953776.0,2191227120.0
2029-07-21,11749935632.0,2255776992.0
2029-07-22,11749960688.0,2320254288.0
2029-07-23,11749942544.0,2384745840.0
2029-07-24,11749924400.0,2449208448.0
2029-07-25,11749949456.0,2513598912.0
2029-07-26,11749931312.0,2578004064.0
2029-07-27,11749956368.0,2642338368.0
2029-07-28,11749938224.0,2706687360.0
2029-07-29,11749963280.0,2770965504.0
2029-07-30,11749945136.0,2835259200.0
2029-07-31,11749926992.0,2899526112.0
2029-08-01,11749952048.0,2963722608.0
2029-08-02,11749973648.0,3071064240.0
2029-08-03,11749995248.0,3178358352.0
2029-08-04,11749973648.0,3285648576.0
2029-08-05,11749995248.0,3392849808.0
2029-08-06,11749973648.0,3500048448.0
2029-08-07,11749995248.0,3607158528.0
2029-08-08,11749973648.0,3714266880.0
2029-08-09,11749995248.0,3821287536.0
2029-08-10,11749973648.0,3928307328.0
2029-08-11,11749995248.0,4035240288.0
2029-08-12,11749973648.0,4142173248.0
2029-08-13,11749995248.0,4249020240.0
2029-08-14,11749973648.0,4355868096.0
2029-08-15,11749995248.0,4462630416.0
2029-08-16,11749973648.0,4569394032.0
2029-08-17,11749995248.0,4676072976.0
2029-08-18,11749973648.0,4782754080.0
2029-08-19,11749995248.0,4889351376.0
2029-08-20,11749973648.0,4995951264.0
2029-08-21,11749995248.0,5102467344.0
2029-08-22,11749973648.0,5208986880.0
2029-08-23,11749995248.0,5315423472.0
2029-08-24,11749973648.0,5421864384.0
2029-08-25,11749995248.0,5528222784.0
2029-08-26,11749973648.0,5634585504.0
2029-08-27,11749995248.0,5740866144.0
2029-08-28,11749973648.0,5847151968.0
2029-08-29,11749995248.0,5953356576.0
2029-08-30,11749973648.0,5999951664.0
2029-08-31,11749995248.0,5999968944.0
2029-09-01,11749973648.0,5999986224.0
2029-09-02,11749975376.0,5999960304.0
2029-09-03,11749977104.0,5999934384.0
2029-09-04,11749978832.0,5999951664.0
2029-09-05,11749980560.0,5999925744.0
2029-09-06,11749982288.0,5999943024.0
2029-09-07,11749984016.0,5999960304.0
2029-09-08,11749985744.0,5999934384.0
2029-09-09,11749944272.0,5999951664.0
2029-09-10,11749946000.0,5999925744.0
2029-09-11,11749947728.0,5999943024.0
2029-09-12,11749949456.0,5999960304.0
2029-09-13,11749951184.0,5999934384.0
2029-09-14,11749952912.0,5999951664.0
2029-09-15,11749954640.0,5999925744.0
2029-09-16,11749956368.0,5999943024.0
2029-09-17,11749958096.0,5999960304.0
2029-09-18,11749959824.0,5999934384.0
2029-09-19,11749961552.0,5999951664.0
2029-09-20,11749963280.0,5999925744.0
2029-09-21,11749965008.0,5999943024.0
2029-09-22,11749966736.0,5999960304.0
2029-09-23,11749968464.0,5999934384.0
2029-09-24,11749970192.0,5999951664.0
2029-09-25,11749971920.0,5999925744.0
2029-09-26,11749973648.0,5999943024.0
2029-09-27,11749975376.0,5999960304.0
2029-09-28,11749977104.0,5999934384.0
2029-09-29,11749978832.0,5999951664.0
2029-09-30,11749980560.0,5999925744.0
2029-10-01,11749982288.0,5999943024.0
2029-10-02,11749972784.0,5999969808.0
2029-10-03,11749963280.0,5999953392.0
2029-10-04,11749996976.0,5999980176.0
2029-10-05,11749987472.0,5999963760.0
2029-10-06,11749977968.0,5999947344.0
2029-10-07,11749968464.0,5999974128.0
2029-10-08,11749958960.0,5999957712.0
2029-10-09,11749992656.0,5999984496.0
2029-10-10,11749983152.0,5999968080.0
2029-10-11,11749973648.0,5999951664.0
2029-10-12,11749964144.0,5999978448.0
2029-10-13,11749954640.0,5999962032.0
2029-10-14,11749988336.0,5999945616.0
2029-10-15,11749978832.0,5999972400.0
2029-10-16,11749969328.0,5999955984.0
2029-10-17,11749959824.0,5999982768.0
2029-10-18,11749993520.0,5999966352.0
2029-10-19,11749984016.0,5999949936.0
2029-10-20,11749974512.0,5999976720.0
2029-10-21,11749965008.0,5999960304.0
2029-10-22,11749955504.0,5999987088.0
2029-10-23,11749989200.0,5999970672.0
2029-10-24,11749979696.0,5999954256.0
2029-10-25,11749970192.0,5999981040.0
2029-10-26,11749960688.0,5999964624.0
2029-10-27,11749994384.0,5999948208.0
2029-10-28,11749984880.0,5999974992.0
2029-10-29,11749975376.0,5999958576.0
2029-10-30,11749965872.0,5999985360.0
2029-10-31,11749956368.0,5999968944.0
2029-11-01,11749990064.0,5999952528.0
2029-11-02,11749946000.0,5999994864.0
2029-11-03,11749988336.0,5999994000.0
2029-11-04,11749987472.0,5999993136.0
2029-11-05,11749986608.0,5999992272.0
2029-11-06,11749985744.0,5999991408.0
2029-11-07,11749984880.0,5999990544.0
2029-11-08,11749984016.0,5999989680.0
2029-11-09,11749983152.0,5999988816.0
2029-11-10,11749982288.0,5999987952.0
2029-11-11,11749981424.0,5999987088.0
2029-11-12,11749980560.0,5999986224.0
2029-11-13,11749979696.0,5999985360.0
2029-11-14,11749978832.0,5999984496.0
2029-11-15,11749977968.0,5999983632.0
2029-11-16,11749977104.0,5999982768.0
2029-11-17,11749976240.0,5999981904.0
2029-11-18,11749975376.0,5999981040.0
2029-11-19,11749974512.0,5999980176.0
2029-11-20,11749973648.0,5999979312.0
2029-11-21,11749972784.0,5999978448.0
2029-11-22,11749971920.0,5999977584.0
2029-11-23,11749971056.0,5999976720.0
2029-11-24,11749970192.0,5999975856.0
2029-11-25,11749969328.0,5999974992.0
2029-11-26,11749968464.0,5999974128.0
2029-11-27,11749967600.0,5999973264.0
2029-11-28,11749966736.0,5999972400.0
2029-11-29,11749965872.0,5999971536.0
2029-11-30,11749965008.0,5999970672.0
2029-12-01,11749964144.0,5999969808.0
2029-12-02,11749965872.0,5999947344.0
2029-12-03,11749967600.0,5999924880.0
2029-12-04,11749969328.0,5999945616.0
2029-12-05,11749971056.0,5999966352.0
2029-12-06,11749972784.0,5999943888.0
2029-12-07,11749974512.0,5999964624.0
2029-12-08,11749976240.0,5999942160.0
2029-12-09,11749977968.0,5999962896.0
2029-12-10,11749979696.0,5999940432.0
2029-12-11,11749938224.0,5999961168.0
2029-12-12,11749939952.0,5999938704.0
2029-12-13,11749941680.0,5999959440.0
2029-12-14,11749943408.0,5999936976.0
2029-12-15,11749945136.0,5999957712.0
2029-12-16,11749946864.0,5999935248.0
2029-12-17,11749948592.0,5999955984.0
2029-12-18,11749950320.0,5999933520.0
2029-12-19,11749952048.0,5999954256.0
2029-12-20,11749953776.0,5999931792.0
2029-12-21,11749955504.0,5999952528.0
2029-12-22,11749957232.0,5999930064.0
2029-12-23,11749958960.0,5999950800.0
2029-12-24,11749960688.0,5999928336.0
2029-12-25,11749962416.0,5999949072.0
2029-12-26,11749964144.0,5999926608.0
2029-12-27,11749965872.0,5999947344.0
2029-12-28,11749967600.0,5999924880.0
2029-12-29,11749969328.0,5999945616.0
2029-12-30,11749971056.0,5999966352.0
2029-12-31,11749972784.0,5999943888.0
