Date,Canals to Kuraz Sugar Plantations,Flow A,Flow B,Flow C,Gibe-III Evaporation,Gibe-III Release,Koysha Evaporation,Koysha Release,Main Channel,Outflow to Lake Turkana
2029-01-01,0.0,53.61,21.44,15.01,0.0,0.0,0.0,0.0,0.0,15.01
2029-01-02,0.0,53.61,21.44,15.01,0.01,0.0,0.005,0.0,0.0,15.01
2029-01-03,0.0,53.61,21.44,15.01,0.015,0.0,0.01,0.0,0.0,15.01
2029-01-04,0.0,53.61,21.44,15.01,0.02,0.0,0.01,0.0,0.0,15.01
2029-01-05,0.0,53.61,21.44,15.01,0.03,0.0,0.015,0.0,0.0,15.01
2029-01-06,0.0,53.61,21.44,15.01,0.03,0.0,0.02,0.0,0.0,15.01
2029-01-07,0.0,53.61,21.44,15.01,0.035,0.0,0.02,0.0,0.0,15.01
2029-01-08,0.0,53.61,21.44,15.01,0.04,0.0,0.02,0.0,0.0,15.01
2029-01-09,0.0,53.61,21.44,15.01,0.04,0.0,0.02,0.0,0.0,15.01
2029-01-10,0.0,53.61,21.44,15.01,0.045,0.0,0.03,0.0,0.0,15.01
2029-01-11,0.0,53.61,21.44,15.01,0.05,0.0,0.03,0.0,0.0,15.01
2029-01-12,0.0,53.61,21.44,15.01,0.05,0.0,0.03,0.0,0.0,15.01
2029-01-13,0.0,53.61,21.44,15.01,0.055,0.0,0.03,0.0,0.0,15.01
2029-01-14,0.0,53.61,21.44,15.01,0.06,0.0,0.03,0.0,0.0,15.01
2029-01-15,0.0,53.61,21.44,15.01,0.06,0.0,0.03,0.0,0.0,15.01
2029-01-16,0.0,53.61,21.44,15.01,0.06,0.0,0.04,0.0,0.0,15.01
2029-01-17,0.0,53.61,21.44,15.01,0.07,0.0,0.04,0.0,0.0,15.01
2029-01-18,0.0,53.61,21.44,15.01,0.07,0.0,0.04,0.0,0.0,15.01
2029-01-19,0.0,53.61,21.44,15.01,0.07,0.0,0.04,0.0,0.0,15.01
2029-01-20,0.0,53.61,21.44,15.01,0.07500000000000001,0.0,0.04,0.0,0.0,15.01
2029-01-21,0.0,53.61,21.44,15.01,0.08,0.0,0.04,0.0,0.0,15.01
2029-01-22,0.0,53.61,21.44,15.01,0.08,0.0,0.045,0.0,0.0,15.01
2029-01-23,0.0,53.61,21.44,15.01,0.08,0.0,0.05,0.0,0.0,15.01
2029-01-24,0.0,53.61,21.44,15.01,0.08499999999999999,0.0,0.05,0.0,0.0,15.01
2029-01-25,0.0,53.61,21.44,15.01,0.09,0.0,0.05,0.0,0.0,15.01
2029-01-26,0.0,53.61,21.44,15.01,0.09,0.0,0.05,0.0,0.0,15.01
2029-01-27,0.0,53.61,21.44,15.01,0.09,0.0,0.05,0.0,0.0,15.01
2029-01-28,0.0,53.61,21.44,15.01,0.09,0.0,0.05,0.0,0.0,15.01
2029-01-29,0.0,53.61,21.44,15.01,0.1,0.0,0.055,0.0,0.0,15.01
2029-01-30,0.0,53.61,21.44,15.01,0.1,0.0,0.06,0.0,0.0,15.01
2029-01-31,0.0,53.61,21.44,15.01,0.1,0.0,0.06,0.0,0.0,15.01
2029-02-01,0.0,47.81,19.12,13.39,0.11,0.0,0.06,0.0,0.0,13.39
2029-02-02,0.0,47.81,19.12,13.39,0.11,0.0,0.06,0.0,0.0,13.39
2029-02-03,0.0,47.81,19.12,13.39,0.11,0.0,0.06,0.0,0.0,13.39
2029-02-04,0.0,47.81,19.12,13.39,0.11,0.0,0.06,0.0,0.0,13.39
2029-02-05,0.0,47.81,19.12,13.39,0.11,0.0,0.06,0.0,0.0,13.39
2029-02-06,0.0,47.81,19.12,13.39,0.12,0.0,0.07,0.0,0.0,13.39
2029-02-07,0.0,47.81,19.12,13.39,0.12,0.0,0.07,0.0,0.0,13.39
2029-02-08,0.0,47.81,19.12,13.39,0.12,0.0,0.07,0.0,0.0,13.39
