Date,Gibe-III,Koysha
2029-01-01,0.0,0.0
2029-01-02,9.21823,6.97941
2029-01-03,18.43473,13.95719
2029-01-04,27.65038,20.93334
2029-01-05,29.4278,23.52858
2029-01-06,31.02991,24.74142
2029-01-07,32.63203,25.95398
2029-01-08,33.86526,27.01462
2029-01-09,35.08019,27.93431
2029-01-10,36.29511,28.85399
2029-01-11,37.30907,29.72801
2029-01-12,38.30742,30.48354
2029-01-13,39.30578,31.23907
2029-01-14,40.17681,31.9911
2029-01-15,41.0341,32.64
2029-01-16,41.89138,33.2889
2029-01-17,42.66077,33.93749
2029-01-18,43.4177,34.52629
2029-01-19,44.17464,35.09907
2029-01-20,44.86731,35.67185
2029-01-21,45.54867,36.21356
2029-01-22,46.22996,36.7292
2029-01-23,46.86239,37.24471
2029-01-24,47.48439,37.74674
2029-01-25,48.10634,38.21728
2029-01-26,48.68998,38.68782
2029-01-27,49.26387,39.1565
2029-01-28,49.83777,39.59073
2029-01-29,50.38106,40.02496
2029-01-30,50.91508,40.45909
2029-01-31,51.4491,40.86892
2029-02-01,51.95821,41.27286
2029-02-02,52.40429,41.63297
2029-02-03,52.85037,41.98445
2029-02-04,53.28529,42.32191
2029-02-05,53.70568,42.65936
2029-02-06,54.12607,42.99681
2029-02-07,54.54553,43.31977
2029-02-08,54.94351,43.63762
2029-02-09,55.34149,43.95547
2029-02-10,55.73947,44.27177
2029-02-11,56.1249,44.57273
2029-02-12,56.50319,44.8737
2029-02-13,56.88148,45.17467
2029-02-14,57.25557,45.46902
2029-02-15,57.61647,45.75515
2029-02-16,57.97738,46.04114
2029-02-17,58.33825,46.32713
2029-02-18,58.68599,46.6026
2029-02-19,59.03128,46.87545
2029-02-20,59.37658,47.1483
2029-02-21,59.71567,47.41935
2029-02-22,60.04699,47.68045
2029-02-23,60.37823,47.94155
2029-02-24,60.70892,48.20265
2029-02-25,61.0275,48.45841
2029-02-26,61.34609,48.7088
2029-02-27,61.66467,48.9592
2029-02-28,61.9758,49.2096
2029-03-01,62.28278,49.4518
2029-03-02,62.54313,49.6558
2029-03-03,62.80348,49.85973
2029-03-04,63.05551,50.0636
2029-03-05,63.30684,50.2623
2029-03-06,63.55818,50.45879
2029-03-07,63.80951,50.65529
2029-03-08,64.05327,50.85178
2029-03-09,64.29632,51.04563
2029-03-10,64.53937,51.23526
2029-03-11,64.78242,51.42488
2029-03-12,65.01856,51.6145
2029-03-13,65.25397,51.80364
2029-03-14,65.48937,51.98706
2029-03-15,65.72478,52.17048
2029-03-16,65.95387,52.3539
2029-03-17,66.18219,52.5372
2029-03-18,66.41051,52.71613
2029-03-19,66.63884,52.89371
2029-03-20,66.86138,53.0713
2029-03-21,67.08312,53.24888
2029-03-22,67.30485,53.42409
2029-03-23,67.52659,53.59637
2029-03-24,67.74303,53.76859
