Date,Gibe-III,Koysha
2029-01-01,0.0,0.0
2029-01-02,595946.0,330887.0
2029-01-03,1191781.0,661697.0
2029-01-04,1787560.0,992430.0
2029-01-05,2152894.0,1223642.0
2029-01-06,2512740.0,1423411.0
2029-01-07,2872585.0,1623133.0
2029-01-08,3179431.0,1806853.0
2029-01-09,3483636.0,1975724.0
2029-01-10,3787840.0,2144596.0
2029-01-11,4062994.0,2308595.0
2029-01-12,4335881.0,2460039.0
2029-01-13,4608767.0,2611483.0
2029-01-14,4862562.0,2762542.0
2029-01-15,5114286.0,2902268.0
2029-01-16,5366011.0,3041994.0
2029-01-17,5604017.0,3181654.0
2029-01-18,5840060.0,3314472.0
2029-01-19,6076102.0,3445456.0
2029-01-20,6301716.0,3576440.0
2029-01-21,6525481.0,3703727.0
2029-01-22,6749226.0,3827910.0
2029-01-23,6964745.0,3952065.0
2029-01-24,7178508.0,4074540.0
2029-01-25,7392252.0,4193128.0
2029-01-26,7599314.0,4311716.0
2029-01-27,7804679.0,4430066.0
2029-01-28,8010044.0,4544016.0
2029-01-29,8209908.0,4657966.0
2029-01-30,8408086.0,4771890.0
2029-01-31,8606264.0,4882596.0
2029-02-01,8799832.0,4992528.0
2029-02-02,8970949.0,5090530.0
2029-02-03,9142066.0,5187362.0
2029-02-04,9311059.0,5282289.0
2029-02-05,9477289.0,5377217.0
2029-02-06,9643520.0,5472144.0
2029-02-07,9809552.0,5565024.0
2029-02-08,9971394.0,5657193.0
2029-02-09,10133235.0,5749361.0
2029-02-10,10295076.0,5841308.0
2029-02-11,10454411.0,5931061.0
2029-02-12,10612301.0,6020814.0
2029-02-13,10770192.0,6110568.0
2029-02-14,10927225.0,6199351.0
2029-02-15,11081564.0,6286932.0
2029-02-16,11235903.0,6374467.0
2029-02-17,11390226.0,6462001.0
2029-02-18,11541800.0,6547961.0
2029-02-19,11692866.0,6633527.0
2029-02-20,11843931.0,6719093.0
2029-02-21,11993676.0,6804385.0
2029-02-22,12141764.0,6888153.0
2029-02-23,12289822.0,6971922.0
2029-02-24,12437758.0,7055690.0
2029-02-25,12583068.0,7138624.0
2029-02-26,12728378.0,7220699.0
2029-02-27,12873689.0,7302774.0
2029-02-28,13017342.0,7384848.0
2029-03-01,13160075.0,7465619.0
2029-03-02,13281121.0,7533853.0
2029-03-03,13402167.0,7602066.0
2029-03-04,13521344.0,7670258.0
2029-03-05,13640349.0,7737610.0
2029-03-06,13759354.0,7804607.0
2029-03-07,13878359.0,7871603.0
2029-03-08,13995624.0,7938599.0
2029-03-09,14112721.0,8005160.0
2029-03-10,14229818.0,8071002.0
2029-03-11,14346914.0,8136844.0
2029-03-12,14462400.0,8202686.0
2029-03-13,14577706.0,8268447.0
2029-03-14,14693013.0,8333250.0
2029-03-15,14808320.0,8398052.0
2029-03-16,14922132.0,8462854.0
2029-03-17,15035754.0,8527617.0
2029-03-18,15149376.0,8591634.0
2029-03-19,15262998.0,8655422.0
2029-03-20,15375232.0,8719210.0
2029-03-21,15487265.0,8782998.0
2029-03-22,15599298.0,8846376.0
2029-03-23,15711331.0,8909247.0
2029-03-24,15822072.0,8972099.0
2029-03-25,15932602.0,9034932.0
2029-03-26,16043132.0,9097652.0
2029-03-27,16153661.0,9159621.0
2029-03-28,16263002.0,9221590.0
2029-03-29,16372106.0,9283559.0
2029-03-30,16481211.0,9345528.0
2029-03-31,16590315.0,9406815.0
2029-04-01,16698313.0,9467930.0
2029-04-02,16853806.0,9556084.0
2029-04-03,17009273.0,9643928.0
2029-04-04,17163282.0,9730930.0
2029-04-05,17316900.0,9817931.0
2029-04-06,17470492.0,9904635.0
2029-04-07,17622348.0,9990541.0
2029-04-08,17774191.0,10076447.0
2029-04-09,17925653.0,10162086.0
2029-04-10,18075800.0,10246949.0
2029-04-11,18225948.0,10331811.0
2029-04-12,18375379.0,10416419.0
2029-04-13,18523916.0,10500286.0
2029-04-14,18672428.0,10584153.0
2029-04-15,18819943.0,10667779.0
2029-04-16,18966913.0,10750712.0
2029-04-17,19113870.0,10833628.0
2029-04-18,19259563.0,10916315.0
2029-04-19,19405041.0,10998356.0
2029-04-20,19550406.0,11080361.0
2029-04-21,19694463.0,11162150.0
2029-04-22,19838507.0,11243318.0
2029-04-23,19982160.0,11324468.0
2029-04-24,20124838.0,11405396.0
2029-04-25,20267504.0,11485726.0
2029-04-26,20409521.0,11566038.0
2029-04-27,20550859.0,11646141.0
2029-04-28,20692197.0,11725666.0
2029-04-29,20832638.0,11805190.0
2029-04-30,20972707.0,11884501.0
2029-05-01,21112753.0,11963250.0
2029-05-02,21321812.0,12081937.0
2029-05-03,21530591.0,12199717.0
2029-05-04,21737765.0,12317296.0
2029-05-05,21944528.0,12434013.0
2029-05-06,22149970.0,12550524.0
2029-05-07,22354781.0,12666200.0
2029-05-08,22558561.0,12781679.0
2029-05-09,22761502.0,12896351.0
2029-05-10,22963672.0,13010834.0
2029-05-11,23164810.0,13124535.0
2029-05-12,23365407.0,13238072.0
2029-05-13,23564804.0,13350833.0
2029-05-14,23763889.0,13463438.0
2029-05-15,23961603.0,13575291.0
2029-05-16,24159095.0,13687010.0
2029-05-17,24355295.0,13797982.0
2029-05-18,24551172.0,13908826.0
2029-05-19,24745986.0,14018945.0
2029-05-20,24940299.0,14128939.0
2029-05-21,25133766.0,14238247.0
2029-05-22,25326563.0,14347417.0
2029-05-23,25518719.0,14455921.0
2029-05-24,25710047.0,14564290.0
2029-05-25,25900926.0,14672029.0
2029-05-26,26090817.0,14779620.0
2029-05-27,26280453.0,14886600.0
2029-05-28,26468971.0,14993450.0
2029-05-29,26657304.0,15099691.0
2029-05-30,26844556.0,15205805.0
2029-05-31,27031553.0,15311327.0
2029-06-01,27217663.0,15416739.0
2029-06-02,27624123.0,15647220.0
2029-06-03,28027813.0,15876003.0
2029-06-04,28428529.0,16103243.0
2029-06-05,28826648.0,16328994.0
2029-06-06,29222256.0,16553280.0
2029-06-07,29615405.0,16776154.0
