Date,Gibe-III,Koysha
2029-01-01,0.0,0.0
2029-01-02,4631904.0,1852416.0
2029-01-03,9262944.0,3704400.0
2029-01-04,13893552.0,5555952.0
2029-01-05,18523728.0,7407504.0
2029-01-06,23153040.0,9258624.0
2029-01-07,27782352.0,11109312.0
2029-01-08,32411232.0,12960000.0
2029-01-09,37039680.0,14810688.0
2029-01-10,41668128.0,16661376.0
2029-01-11,46296144.0,18511200.0
2029-01-12,50923728.0,20361024.0
2029-01-13,55551312.0,22210848.0
2029-01-14,60178464.0,24060672.0
2029-01-15,64805184.0,25910496.0
2029-01-16,69431904.0,27760320.0
2029-01-17,74058624.0,29609280.0
2029-01-18,78684480.0,31458240.0
2029-01-19,83310336.0,33307200.0
2029-01-20,87936192.0,35156160.0
2029-01-21,92561616.0,37005120.0
2029-01-22,97186608.0,38854080.0
2029-01-23,101811600.0,40702608.0
2029-01-24,106436592.0,42550704.0
2029-01-25,111061152.0,44398800.0
2029-01-26,115685280.0,46246896.0
2029-01-27,120309408.0,48094992.0
2029-01-28,124933536.0,49943088.0
2029-01-29,129557664.0,51791184.0
2029-01-30,134180928.0,53638848.0
2029-01-31,138804192.0,55486080.0
2029-02-01,143427456.0,57333312.0
2029-02-02,147548736.0,58980096.0
2029-02-03,151670016.0,60626880.0
2029-02-04,155791296.0,62273664.0
2029-02-05,159912576.0,63920448.0
2029-02-06,164033856.0,65567232.0
2029-02-07,168154272.0,67213152.0
2029-02-08,172274688.0,68859072.0
2029-02-09,176395104.0,70504992.0
2029-02-10,180515520.0,72150912.0
2029-02-11,184635936.0,73796832.0
2029-02-12,188755488.0,75442752.0
2029-02-13,192875040.0,77088672.0
2029-02-14,196994592.0,78734592.0
2029-02-15,201114144.0,80380512.0
2029-02-16,205233696.0,82025568.0
2029-02-17,209352816.0,83670624.0
2029-02-18,213471504.0,85315680.0
2029-02-19,217590192.0,86960736.0
2029-02-20,221708880.0,88605792.0
2029-02-21,225827568.0,90250848.0
2029-02-22,229946256.0,91895904.0
2029-02-23,234064080.0,93540960.0
2029-02-24,238181904.0,95186016.0
2029-02-25,242299728.0,96831072.0
2029-02-26,246417552.0,98475264.0
2029-02-27,250535376.0,100119456.0
2029-02-28,254652768.0,101763648.0
2029-03-01,258769728.0,103407840.0
2029-03-02,262261152.0,104800608.0
2029-03-03,265752576.0,106192944.0
2029-03-04,269244000.0,107584848.0
2029-03-05,272734560.0,108976752.0
2029-03-06,276225120.0,110368656.0
2029-03-07,279715680.0,111760560.0
2029-03-08,283205808.0,113152464.0
2029-03-09,286695504.0,114544368.0
2029-03-10,290185200.0,115935408.0
2029-03-11,293674896.0,117326448.0
2029-03-12,297164160.0,118717488.0
2029-03-13,300652992.0,120108528.0
2029-03-14,304141824.0,121499568.0
2029-03-15,307630656.0,122890608.0
