Date,Gibe-III,Koysha
2029-01-01,0.0,0.0
2029-01-02,4631904.0,1852416.0
2029-01-03,9263808.0,3704832.0
2029-01-04,13895712.0,5557248.0
2029-01-05,18527616.0,7409664.0
2029-01-06,23159520.0,9262080.0
2029-01-07,27791424.0,11114496.0
2029-01-08,32423328.0,12966912.0
2029-01-09,37055232.0,14819328.0
2029-01-10,41687136.0,16671744.0
2029-01-11,46319040.0,18524160.0
2029-01-12,50950944.0,20376576.0
2029-01-13,55582848.0,22228992.0
2029-01-14,60214752.0,24081408.0
2029-01-15,64846656.0,25933824.0
2029-01-16,69478560.0,27786240.0
2029-01-17,74110464.0,29638656.0
2029-01-18,78742368.0,31491072.0
2029-01-19,83374272.0,33343488.0
2029-01-20,88006176.0,35195904.0
2029-01-21,92638080.0,37048320.0
2029-01-22,97269984.0,38900736.0
2029-01-23,101901888.0,40753152.0
2029-01-24,106533792.0,42605568.0
2029-01-25,111165696.0,44457984.0
2029-01-26,115797600.0,46310400.0
2029-01-27,120429504.0,48162816.0
2029-01-28,125061408.0,50015232.0
2029-01-29,129693312.0,51867648.0
2029-01-30,134325216.0,53720064.0
2029-01-31,138957120.0,55572480.0
2029-02-01,143589024.0,57424896.0
2029-02-02,147719808.0,59076864.0
2029-02-03,151850592.0,60728832.0
2029-02-04,155981376.0,62380800.0
2029-02-05,160112160.0,64032768.0
2029-02-06,164242944.0,65684736.0
2029-02-07,168373728.0,67336704.0
2029-02-08,172504512.0,68988672.0
2029-02-09,176635296.0,70640640.0
2029-02-10,180766080.0,72292608.0
2029-02-11,184896864.0,73944576.0
2029-02-12,189027648.0,75596544.0
2029-02-13,193158432.0,77248512.0
2029-02-14,197289216.0,78900480.0
2029-02-15,201420000.0,80552448.0
2029-02-16,205550784.0,82204416.0
2029-02-17,209681568.0,83856384.0
2029-02-18,213812352.0,85508352.0
2029-02-19,217943136.0,87160320.0
2029-02-20,222073920.0,88812288.0
2029-02-21,226204704.0,90464256.0
2029-02-22,230335488.0,92116224.0
2029-02-23,234466272.0,93768192.0
2029-02-24,238597056.0,95420160.0
2029-02-25,242727840.0,97072128.0
2029-02-26,246858624.0,98724096.0
2029-02-27,250989408.0,100376064.0
2029-02-28,255120192.0,102028032.0
2029-03-01,259250976.0,103680000.0
2029-03-02,262767456.0,105086592.0
2029-03-03,266283936.0,106493184.0
2029-03-04,269800416.0,107899776.0
2029-03-05,273316896.0,109306368.0
2029-03-06,276833376.0,110712960.0
2029-03-07,280349856.0,112119552.0
2029-03-08,283866336.0,113526144.0
2029-03-09,287382816.0,114932736.0
2029-03-10,290899296.0,116339328.0
2029-03-11,294415776.0,117745920.0
2029-03-12,297932256.0,119152512.0
2029-03-13,301448736.0,120559104.0
2029-03-14,304965216.0,121965696.0
2029-03-15,308481696.0,123372288.0
