Date,Gibe-III,Koysha
2029-01-01,0.0,0.0
2029-01-02,9.21823,6.97941
2029-01-03,18.43645,13.95882
2029-01-04,27.65468,20.93823
2029-01-05,29.42915,23.53
2029-01-06,31.03216,24.74369
2029-01-07,32.63517,25.95738
2029-01-08,33.86843,27.01806
2029-01-09,35.08427,27.9386
2029-01-10,36.3001,28.85915
2029-01-11,37.31401,29.7333
2029-01-12,38.3133,30.48989
2029-01-13,39.31258,31.24648
2029-01-14,40.18353,31.99837
2029-01-15,41.04178,32.64818
2029-01-16,41.90003,33.29799
2029-01-17,42.66925,33.9478
2029-01-18,43.42717,34.53646
2029-01-19,44.1851,35.11031
2029-01-20,44.87762,35.68416
2029-01-21,45.55993,36.22561
2029-01-22,46.24224,36.74221
2029-01-23,46.87453,37.25881
2029-01-24,47.49746,37.76071
2029-01-25,48.1204,38.23235
2029-01-26,48.70392,38.70399
2029-01-27,49.27878,39.17243
2029-01-28,49.85364,39.60768
2029-01-29,50.39673,40.04293
2029-01-30,50.93175,40.47817
2029-01-31,51.46676,40.88781
2029-02-01,51.97569,41.29289
2029-02-02,52.42281,41.65413
2029-02-03,52.86992,42.00535
2029-02-04,53.30468,42.34386
2029-02-05,53.72604,42.68238
2029-02-06,54.14739,43.02089
2029-02-07,54.56673,43.34363
2029-02-08,54.96571,43.66264
2029-02-09,55.36469,43.98166
2029-02-10,55.76367,44.29768
2029-02-11,56.14886,44.59975
2029-02-12,56.52818,44.90182
2029-02-13,56.9075,45.20389
2029-02-14,57.28138,45.49785
2029-02-15,57.64327,45.78504
2029-02-16,58.00516,46.07223
2029-02-17,58.36705,46.35942
2029-02-18,58.71456,46.63456
2029-02-19,59.06087,46.90855
2029-02-20,59.40718,47.18254
2029-02-21,59.74601,47.45322
2029-02-22,60.0783,47.71542
2029-02-23,60.41059,47.97762
2029-02-24,60.74104,48.23981
2029-02-25,61.06062,48.49512
2029-02-26,61.38021,48.7467
2029-02-27,61.6998,48.99828
2029-02-28,62.01065,49.2497
2029-03-01,62.31867,49.49166
2029-03-02,62.58088,49.69768
2029-03-03,62.84237,49.90371
2029-03-04,63.09557,50.10973
2029-03-05,63.34877,50.30883
2029-03-06,63.60198,50.5074
2029-03-07,63.85435,50.70596
2029-03-08,64.09927,50.90453
2029-03-09,64.34419,51.09857
2029-03-10,64.5891,51.29032
2029-03-11,64.83312,51.48206
2029-03-12,65.07039,51.6738
2029-03-13,65.30766,51.86305
2029-03-14,65.54493,52.04852
2029-03-15,65.78123,52.23399
2029-03-16,66.01142,52.41946
2029-03-17,66.24161,52.60416
2029-03-18,66.47179,52.78384
2029-03-19,66.70096,52.96352
2029-03-20,66.92456,53.1432
2029-03-21,67.14816,53.32288
2029-03-22,67.37177,53.49791
2029-03-23,67.5943,53.67223
2029-03-24,67.81177,53.84654
