Date,Gibe-III,Koysha
2029-01-01,0.0,0.0
2029-01-02,595946.0,330887.0
2029-01-03,1191892.0,661774.0
2029-01-04,1787838.0,992661.0
2029-01-05,2153196.0,1223875.0
2029-01-06,2513243.0,1423784.0
2029-01-07,2873290.0,1623693.0
2029-01-08,3180226.0,1807483.0
2029-01-09,3484658.0,1976513.0
2029-01-10,3789090.0,2145542.0
2029-01-11,4064344.0,2309656.0
2029-01-12,4337486.0,2461312.0
2029-01-13,4610627.0,2612968.0
2029-01-14,4864536.0,2764108.0
2029-01-15,5116543.0,2904030.0
2029-01-16,5368549.0,3043951.0
2029-01-17,5606663.0,3183873.0
2029-01-18,5843014.0,3316798.0
2029-01-19,6079364.0,3448027.0
2029-01-20,6305101.0,3579256.0
2029-01-21,6529180.0,3706629.0
2029-01-22,6753259.0,3831044.0
2029-01-23,6968918.0,3955459.0
2029-01-24,7183001.0,4078060.0
2029-01-25,7397084.0,4196926.0
2029-01-26,7604302.0,4315791.0
2029-01-27,7810013.0,4434248.0
2029-01-28,8015723.0,4548464.0
2029-01-29,8215723.0,4662681.0
2029-01-30,8414271.0,4776897.0
2029-01-31,8612819.0,4887738.0
2029-02-01,8806540.0,4997978.0
2029-02-02,8978052.0,5096289.0
2029-02-03,9149563.0,5193239.0
2029-02-04,9318726.0,5288465.0
2029-02-05,9485340.0,5383691.0
2029-02-06,9651953.0,5478917.0
2029-02-07,9818172.0,5571943.0
2029-02-08,9980421.0,5664450.0
2029-02-09,10142669.0,5756957.0
2029-02-10,10304917.0,5849034.0
2029-02-11,10464411.0,5939118.0
2029-02-12,10622732.0,6029201.0
2029-02-13,10781053.0,6119284.0
2029-02-14,10938263.0,6208178.0
2029-02-15,11093023.0,6296081.0
2029-02-16,11247783.0,6383983.0
2029-02-17,11402543.0,6471886.0
2029-02-18,11554302.0,6557983.0
2029-02-19,11705811.0,6643908.0
2029-02-20,11857320.0,6729834.0
2029-02-21,12007236.0,6815252.0
2029-02-22,12155759.0,6899372.0
2029-02-23,12304282.0,6983492.0
2029-02-24,12452408.0,7067613.0
2029-02-25,12598175.0,7150657.0
2029-02-26,12743943.0,7233120.0
2029-02-27,12889711.0,7315583.0
2029-02-28,13033548.0,7398020.0
2029-03-01,13176760.0,7478952.0
2029-03-02,13298674.0,7547864.0
2029-03-03,13420425.0,7616775.0
2029-03-04,13540314.0,7685686.0
2029-03-05,13660203.0,7753476.0
2029-03-06,13780092.0,7821179.0
2029-03-07,13899792.0,7888882.0
2029-03-08,14017788.0,7956585.0
2029-03-09,14135783.0,8023542.0
2029-03-10,14253779.0,8090121.0
2029-03-11,14371565.0,8156699.0
2029-03-12,14487785.0,8223277.0
2029-03-13,14604006.0,8289438.0
2029-03-14,14720226.0,8354964.0
2029-03-15,14836218.0,8420491.0
2029-03-16,14950769.0,8486018.0
2029-03-17,15065320.0,8551415.0
2029-03-18,15179872.0,8615956.0
2029-03-19,15294178.0,8680498.0
2029-03-20,15407154.0,8745039.0
2029-03-21,15520131.0,8809580.0
2029-03-22,15633108.0,8873318.0
2029-03-23,15745825.0,8936932.0
2029-03-24,15857313.0,9000546.0
2029-03-25,15968801.0,9064160.0
2029-03-26,16080290.0,9127249.0
2029-03-27,16191506.0,9189989.0
2029-03-28,16301584.0,9252728.0
2029-03-29,16411662.0,9315468.0
2029-03-30,16521739.0,9377931.0
2029-03-31,16631534.0,9439844.0
2029-04-01,16740272.0,9501757.0
2029-04-02,16897369.0,9591204.0
2029-04-03,17054312.0,9679901.0
2029-04-04,17209568.0,9768216.0
2029-04-05,17364824.0,9856532.0
2029-04-06,17519505.0,9944083.0
2029-04-07,17673006.0,10031324.0
2029-04-08,17826507.0,10118565.0
2029-04-09,17979050.0,10205031.0
2029-04-10,18130876.0,10291249.0
2029-04-11,18282701.0,10377468.0
2029-04-12,18433220.0,10462901.0
2029-04-13,18583443.0,10548146.0
2029-04-14,18733574.0,10633390.0
2029-04-15,18882264.0,10717840.0
2029-04-16,19030953.0,10802154.0
2029-04-17,19179194.0,10886468.0
2029-04-18,19326412.0,10969980.0
2029-04-19,19473630.0,11053404.0
2029-04-20,19620072.0,11136828.0
2029-04-21,19765877.0,11219445.0
2029-04-22,19911682.0,11302017.0
2029-04-23,20056410.0,11384589.0
2029-04-24,20200857.0,11466347.0
2029-04-25,20345254.0,11548102.0
2029-04-26,20488394.0,11629823.0
2029-04-27,20631533.0,11710794.0
2029-04-28,20774317.0,11791764.0
2029-04-29,20916197.0,11872666.0
2029-04-30,21058076.0,11952882.0
2029-05-01,21199317.0,12033098.0
2029-05-02,21410290.0,12152959.0
2029-05-03,21620359.0,12272194.0
2029-05-04,21829573.0,12390950.0
2029-05-05,22037637.0,12509135.0
2029-05-06,22245150.0,12626826.0
2029-05-07,22451285.0,12744000.0
2029-05-08,22657152.0,12860665.0
2029-05-09,22861429.0,12976861.0
2029-05-10,23065454.0,13092537.0
2029-05-11,23268189.0,13207789.0
2029-05-12,23470436.0,13322508.0
2029-05-13,23671677.0,13436847.0
2029-05-14,23872208.0,13550642.0
2029-05-15,24071999.0,13664097.0
2029-05-16,24270872.0,13776998.0
2029-05-17,24469254.0,13889596.0
2029-05-18,24666524.0,14001632.0
2029-05-19,24863538.0,14113400.0
2029-05-20,25059255.0,14224597.0
2029-05-21,25254760.0,14335560.0
2029-05-22,25449153.0,14445943.0
2029-05-23,25643165.0,14556124.0
2029-05-24,25836299.0,14665717.0
2029-05-25,26028864.0,14775139.0
2029-05-26,26220773.0,14883966.0
2029-05-27,26411934.0,14992649.0
2029-05-28,26602649.0,15100732.0
2029-05-29,26792445.0,15208697.0
2029-05-30,26981997.0,15316055.0
2029-05-31,27170468.0,15423321.0
2029-06-01,27358758.0,15529975.0
2029-06-02,27766020.0,15761234.0
2029-06-03,28170584.0,15990933.0
2029-06-04,28572520.0,16219116.0
2029-06-05,28971896.0,16445823.0
2029-06-06,29368778.0,16671092.0
2029-06-07,29762930.0,16894856.0
