Date,Canals to Kuraz Sugar Plantations,Flow A,Flow B,Flow C,Gibe-III Evaporation,Gibe-III Release,Koysha Evaporation,Koysha Release,Main Channel,Outflow to Lake Turkana
2029-01-01,0.0,53.61,21.44,15.01,0.015,0.0,0.01,0.0,0.0,15.01
2029-01-02,0.0,53.61,21.44,15.01,0.085,0.0,0.05,0.0,0.0,15.01
2029-01-03,0.0,53.61,21.44,15.01,0.15500000000000003,0.0,0.09,0.0,0.0,15.01
2029-01-04,0.0,53.61,21.44,15.01,0.22,0.0,0.125,0.0,0.0,15.01
2029-01-05,0.0,53.61,21.44,15.01,0.26,0.0,0.14500000000000002,0.0,0.0,15.01
2029-01-06,0.0,53.61,21.44,15.01,0.3,0.0,0.175,0.0,0.0,15.01
2029-01-07,0.0,53.61,21.44,15.01,0.345,0.0,0.195,0.0,0.0,15.01
2029-01-08,0.0,53.61,21.44,15.01,0.38,0.0,0.215,0.0,0.0,15.01
2029-01-09,0.0,53.61,21.44,15.01,0.415,0.0,0.235,0.0,0.0,15.01
2029-01-10,0.0,53.61,21.44,15.01,0.45,0.0,0.255,0.0,0.0,15.01
2029-01-11,0.0,53.61,21.44,15.01,0.48,0.0,0.275,0.0,0.0,15.01
2029-01-12,0.0,53.61,21.44,15.01,0.515,0.0,0.295,0.0,0.0,15.01
2029-01-13,0.0,53.61,21.44,15.01,0.545,0.0,0.305,0.0,0.0,15.01
2029-01-14,0.0,53.61,21.44,15.01,0.575,0.0,0.325,0.0,0.0,15.01
2029-01-15,0.0,53.61,21.44,15.01,0.605,0.0,0.345,0.0,0.0,15.01
2029-01-16,0.0,53.61,21.44,15.01,0.635,0.0,0.355,0.0,0.0,15.01
2029-01-17,0.0,53.61,21.44,15.01,0.66,0.0,0.375,0.0,0.0,15.01
2029-01-18,0.0,53.61,21.44,15.01,0.685,0.0,0.39,0.0,0.0,15.01
2029-01-19,0.0,53.61,21.44,15.01,0.715,0.0,0.405,0.0,0.0,15.01
2029-01-20,0.0,53.61,21.44,15.01,0.74,0.0,0.42,0.0,0.0,15.01
2029-01-21,0.0,53.61,21.44,15.01,0.765,0.0,0.435,0.0,0.0,15.01
2029-01-22,0.0,53.61,21.44,15.01,0.795,0.0,0.445,0.0,0.0,15.01
2029-01-23,0.0,53.61,21.44,15.01,0.815,0.0,0.46499999999999997,0.0,0.0,15.01
2029-01-24,0.0,53.61,21.44,15.01,0.845,0.0,0.475,0.0,0.0,15.01
2029-01-25,0.0,53.61,21.44,15.01,0.865,0.0,0.49,0.0,0.0,15.01
2029-01-26,0.0,53.61,21.44,15.01,0.89,0.0,0.505,0.0,0.0,15.01
2029-01-27,0.0,53.61,21.44,15.01,0.915,0.0,0.515,0.0,0.0,15.01
