Date,Gibe-III,Koysha
2029-01-01,0.0,0.0
2029-01-02,9.21565,6.97615
2029-01-03,18.41926,13.93929
2029-01-04,27.61083,20.8894
2029-01-05,29.41494,23.51443
2029-01-06,31.01018,24.71991
2029-01-07,32.60422,25.9237
2029-01-08,33.83714,26.98414
2029-01-09,35.04435,27.89545
2029-01-10,36.25077,28.80591
2029-01-11,37.26508,29.68054
2029-01-12,38.25542,30.42743
2029-01-13,39.2451,31.17361
2029-01-14,40.11685,31.91943
2029-01-15,40.9659,32.5665
2029-01-16,41.81446,33.20585
2029-01-17,42.58471,33.8449
2029-01-18,43.3333,34.43556
2029-01-19,44.08154,34.99897
2029-01-20,44.7753,35.56198
2029-01-21,45.44819,36.1055
2029-01-22,46.12076,36.61161
2029-01-23,46.75438,37.11749
2029-01-24,47.36785,37.62146
2029-01-25,47.98096,38.08265
2029-01-26,48.56597,38.54351
2029-01-27,49.13128,39.00405
2029-01-28,49.69634,39.43888
2029-01-29,50.241,39.86337
2029-01-30,50.76643,40.28755
2029-01-31,51.29162,40.69991
2029-02-01,51.80217,41.09422
2029-02-02,52.23942,41.44422
2029-02-03,52.67648,41.79404
2029-02-04,53.11273,42.12556
2029-02-05,53.52426,42.45292
2029-02-06,53.93561,42.78011
2029-02-07,54.34679,43.10587
2029-02-08,54.74577,43.41387
2029-02-09,55.13486,43.72163
2029-02-10,55.52379,44.02921
2029-02-11,55.91108,44.33172
2029-02-12,56.28052,44.62266
2029-02-13,56.64981,44.91343
2029-02-14,57.01893,45.20405
2029-02-15,57.37781,45.48696
2029-02-16,57.72975,45.76296
2029-02-17,58.08153,46.03881
2029-02-18,58.43152,46.31451
2029-02-19,58.76787,46.58061
2029-02-20,59.10408,46.84335
2029-02-21,59.44021,47.10595
2029-02-22,59.7678,47.36841
2029-02-23,60.09004,47.61991
2029-02-24,60.41218,47.87079
2029-02-25,60.73272,48.12154
2029-02-26,61.04231,48.37051
2029-02-27,61.35177,48.61084
2029-02-28,61.66116,48.85104
2029-03-01,61.96346,49.09117
2029-03-02,62.20728,49.28273
2029-03-03,62.45094,49.46819
2029-03-04,62.69443,49.65345
2029-03-05,62.93382,49.83853
2029-03-06,63.16864,50.02349
2029-03-07,63.40333,50.20522
2029-03-08,63.63784,50.38311
2029-03-09,63.87084,50.56088
2029-03-10,64.0974,50.73847
2029-03-11,64.32382,50.91588
2029-03-12,64.55011,51.08897
2029-03-13,64.77622,51.25999
2029-03-14,64.99606,51.43088
