Date,Gibe-III,Koysha
2029-01-01,0.0,0.0
2029-01-02,595779.0,330733.0
2029-01-03,1190780.0,660848.0
2029-01-04,1785004.0,990346.0
2029-01-05,2150006.0,1221311.0
2029-01-06,2508307.0,1419868.0
2029-01-07,2866339.0,1618145.0
2029-01-08,3172390.0,1801255.0
2029-01-09,3474664.0,1968590.0
2029-01-10,3776739.0,2135766.0
2029-01-11,4050970.0,2299081.0
2029-01-12,4321666.0,2448792.0
2029-01-13,4592183.0,2598361.0
2029-01-14,4844958.0,2747860.0
2029-01-15,5094261.0,2886442.0
2029-01-16,5343424.0,3024112.0
2029-01-17,5580298.0,3161716.0
2029-01-18,5813740.0,3293722.0
2029-01-19,6047071.0,3422564.0
2029-01-20,6271496.0,3551314.0
2029-01-21,6492482.0,3677701.0
2029-01-22,6713363.0,3799592.0
2029-01-23,6927627.0,3921425.0
2029-01-24,7138455.0,4042966.0
2029-01-25,7349164.0,4159198.0
2029-01-26,7554937.0,4275347.0
2029-01-27,7757233.0,4391412.0
2029-01-28,7959432.0,4504168.0
2029-01-29,8157929.0,4615561.0
2029-01-30,8352921.0,4726874.0
2029-01-31,8547822.0,4836603.0
2029-02-01,8739977.0,4943912.0
2029-02-02,8907704.0,5039164.0
2029-02-03,9075359.0,5134364.0
2029-02-04,9242824.0,5227056.0
2029-02-05,9405552.0,5319144.0
2029-02-06,9568211.0,5411183.0
2029-02-07,9730800.0,5502998.0
2029-02-08,9890982.0,5592312.0
2029-02-09,10049209.0,5681553.0
2029-02-10,10207368.0,5770746.0
2029-02-11,10365167.0,5859188.0
2029-02-12,10519365.0,5945949.0
2029-02-13,10673497.0,6032664.0
2029-02-14,10827563.0,6119331.0
2029-02-15,10979502.0,6204845.0
2029-02-16,11130005.0,6289322.0
2029-02-17,11280444.0,6373754.0
2029-02-18,11430474.0,6458140.0
2029-02-19,11577626.0,6541063.0
2029-02-20,11724714.0,6623461.0
2029-02-21,11871770.0,6705813.0
2029-02-22,12016974.0,6788121.0
2029-02-23,12161009.0,6868729.0
2029-02-24,12304997.0,6949220.0
2029-02-25,12448612.0,7029666.0
2029-02-26,12589821.0,7109814.0
2029-02-27,12730970.0,7188589.0
2029-02-28,12872088.0,7267322.0
2029-03-01,13011606.0,7346032.0
2029-03-02,13124969.0,7409068.0
2029-03-03,13238256.0,7471100.0
2029-03-04,13351469.0,7533070.0
2029-03-05,13463727.0,7594976.0
2029-03-06,13574911.0,7656839.0
2029-03-07,13686036.0,7718148.0
2029-03-08,13797074.0,7778802.0
2029-03-09,13907736.0,7839415.0
2029-03-10,14016889.0,7899965.0
2029-03-11,14125970.0,7960453.0
2029-03-12,14234993.0,8020210.0
2029-03-13,14343928.0,8079590.0
2029-03-14,14451377.0,8138930.0
2029-03-15,14558560.0,8198208.0
2029-03-16,14665657.0,8257446.0
2029-03-17,14772697.0,8315781.0
2029-03-18,14878830.0,8373962.0
2029-03-19,14984192.0,8432104.0
2029-03-20,15089497.0,8490184.0
2029-03-21,15194746.0,8548145.0
2029-03-22,15299590.0,8605252.0
2029-03-23,15403254.0,8662320.0
2029-03-24,15506862.0,8719329.0
2029-03-25,15610401.0,8776298.0
2029-03-26,15713871.0,8832992.0
2029-03-27,15816087.0,8889046.0
2029-03-28,15918084.0,8945040.0
2029-03-29,16020012.0,9000995.0
2029-03-30,16121872.0,9056892.0
2029-03-31,16223001.0,9112431.0
2029-04-01,16323464.0,9167482.0
2029-04-02,16466552.0,9245368.0
2029-04-03,16609492.0,9323156.0
2029-04-04,16750572.0,9400255.0
2029-04-05,16891518.0,9476791.0
2029-04-06,17032330.0,9553231.0
2029-04-07,17171467.0,9629472.0
2029-04-08,17310365.0,9704739.0
2029-04-09,17449132.0,9779894.0
2029-04-10,17586427.0,9854954.0
2029-04-11,17723364.0,9929339.0
2029-04-12,17860170.0,10003282.0
2029-04-13,17995704.0,10077133.0
2029-04-14,18130760.0,10150759.0
2029-04-15,18265698.0,10223543.0
2029-04-16,18399560.0,10296235.0
2029-04-17,18532820.0,10368835.0
2029-04-18,18665951.0,10440811.0
2029-04-19,18798209.0,10512410.0
2029-04-20,18929753.0,10583900.0
2029-04-21,19061171.0,10655196.0
2029-04-22,19191888.0,10725726.0
2029-04-23,19321768.0,10796167.0
2029-04-24,19451535.0,10866518.0
2029-04-25,19580782.0,10936337.0
