Date,Gibe-III,Koysha
2029-01-01,0.0,0.0
2029-01-02,4630608.0,1851552.0
2029-01-03,9255168.0,3699648.0
2029-01-04,13873680.0,5544288.0
2029-01-05,18486576.0,7385904.0
2029-01-06,23096016.0,9225792.0
2029-01-07,27702000.0,11063088.0
2029-01-08,32304096.0,12898656.0
2029-01-09,36903168.0,14732496.0
2029-01-10,41499216.0,16564608.0
2029-01-11,46092240.0,18394992.0
2029-01-12,50682672.0,20223648.0
2029-01-13,55270080.0,22050576.0
2029-01-14,59854896.0,23876640.0
2029-01-15,64437120.0,25700976.0
2029-01-16,69016752.0,27523584.0
2029-01-17,73593792.0,29345328.0
2029-01-18,78168672.0,31165344.0
2029-01-19,82741392.0,32984064.0
2029-01-20,87311520.0,34801488.0
2029-01-21,91879488.0,36617616.0
2029-01-22,96445296.0,38432448.0
2029-01-23,101008512.0,40246416.0
2029-01-24,105570000.0,42058656.0
2029-01-25,110128896.0,43870032.0
2029-01-26,114686064.0,45680112.0
2029-01-27,119241072.0,47488896.0
2029-01-28,123793920.0,49296816.0
2029-01-29,128345040.0,51103440.0
2029-01-30,132894000.0,52908768.0
2029-01-31,137440800.0,54713232.0
2029-02-01,141985872.0,56516400.0
2029-02-02,146025504.0,58116960.0
2029-02-03,150063408.0,59716656.0
2029-02-04,154099584.0,61315488.0
2029-02-05,158134032.0,62913024.0
2029-02-06,162166752.0,64509696.0
2029-02-07,166197744.0,66105504.0
2029-02-08,170227440.0,67700448.0
2029-02-09,174255840.0,69294096.0
2029-02-10,178282512.0,70886880.0
2029-02-11,182307456.0,72478800.0
2029-02-12,186330672.0,74069856.0
2029-02-13,190352160.0,75660048.0
2029-02-14,194371920.0,77249376.0
2029-02-15,198389952.0,78837840.0
2029-02-16,202407120.0,80425440.0
2029-02-17,206422560.0,82012176.0
2029-02-18,210436272.0,83598048.0
2029-02-19,214448256.0,85183056.0
2029-02-20,218458512.0,86767200.0
2029-02-21,222467904.0,88350480.0
2029-02-22,226475568.0,89932896.0
2029-02-23,230481504.0,91514448.0
2029-02-24,234486144.0,93095136.0
2029-02-25,238489488.0,94674960.0
2029-02-26,242491104.0,96253920.0
2029-02-27,246490992.0,97832016.0
2029-02-28,250490016.0,99409248.0
2029-03-01,254487312.0,100986048.0
2029-03-02,257757120.0,102253536.0
2029-03-03,261024768.0,103519728.0
2029-03-04,264290256.0,104784624.0
2029-03-05,267554016.0,106048224.0
2029-03-06,270815184.0,107310960.0
2029-03-07,274074624.0,108572400.0
2029-03-08,277331472.0,109832544.0
2029-03-09,280586592.0,111091824.0
2029-03-10,283839552.0,112349808.0
2029-03-11,287090352.0,113606496.0
2029-03-12,290339424.0,114862320.0
2029-03-13,293585904.0,116116848.0
2029-03-14,296830656.0,117370512.0
2029-03-15,300073680.0,118622880.0
2029-03-16,303314112.0,119874384.0
2029-03-17,306552816.0,121124592.0
2029-03-18,309789792.0,122373504.0
2029-03-19,313024176.0,123621552.0
2029-03-20,316256832.0,124868304.0
2029-03-21,319487760.0,126114192.0
2029-03-22,322716096.0,127358784.0
2029-03-23,325942704.0,128602512.0
2029-03-24,329167584.0,129844944.0
2029-03-25,332390304.0,131086512.0
2029-03-26,335610864.0,132326784.0
2029-03-27,338829696.0,133566192.0
2029-03-28,342046800.0,134804304.0
2029-03-29,345261744.0,136041552.0
2029-03-30,348474528.0,137277504.0
2029-03-31,351685584.0,138512592.0
2029-04-01,354894912.0,139746816.0
2029-04-02,359465904.0,141492960.0
2029-04-03,364032576.0,143236944.0
2029-04-04,368594928.0,144978336.0
2029-04-05,373152960.0,146717136.0
2029-04-06,377706672.0,148453776.0
2029-04-07,382256064.0,150188256.0
2029-04-08,386801136.0,151920144.0
